AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
3,0,1,0,1,2,4,.274,.369,.433,.802,18,10,-0.033, 0.81,0.031,-0.064%,-0.03%, 1.27, -0.1,0,0,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
2,1,0,0,2,0,4,.297,.355,.482,.837,15,5,0.040, 0.83,0.068,-0.028%, 0.04%, 1.31, 0.1,1,3,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
4,1,1,2,0,2,4,.251,.341,.469,.810,22,14,0.235, 1.16,0.304,-0.069%, 0.22%, 1.81, 0.8,7,1,HR,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
4,0,1,0,0,2,4,.282,.347,.560,.907,15,12,-0.022, 0.65,0.026,-0.047%,-0.02%, 1.02, -0.3,0,0,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
3,0,0,0,1,3,4,.226,.282,.418,.700,25,13,-0.079, 0.75,0.002,-0.081%,-0.07%, 1.18, -0.7,,,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
4,1,1,0,0,0,4,.262,.312,.468,.780,19,12,-0.012, 0.59,0.029,-0.042%,-0.01%, 0.93, -0.2,13,0,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
3,1,1,2,0,2,3,.207,.273,.389,.662,13,8,0.073, 1.07,0.125,-0.052%, 0.07%, 1.67, 1.2,1,0,HR,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
3,0,0,0,0,1,3,.248,.324,.360,.684,15,9,-0.043, 0.55,0.000,-0.043%,-0.04%, 0.87, -0.5,0,2,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
3,0,0,0,0,1,3,.288,.319,.500,.819,11,7,-0.048, 0.60,0.000,-0.048%,-0.04%, 0.94, -0.5,4,0,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,1,0,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
