,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Brandon Nimmo CF,5,2,2,0,0,2,5,.269,.355,.430,.785,29,20,0.014, 0.66,0.060,-0.046%, 0.01%, 1.04, -0.0,0,0,,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Francisco Lindor SS,5,2,1,3,0,0,5,.244,.317,.433,.750,16,11,0.159, 0.55,0.185,-0.026%, 0.15%, 0.87, 2.7,0,2,HR,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Pete Alonso 1B,5,0,1,0,0,3,5,.268,.343,.521,.864,18,12,-0.018, 0.30,0.012,-0.031%,-0.02%, 0.47, -1.0,7,1,,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
   Tommy Hunter P,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Luis Guillorme 2B,4,0,1,1,0,1,4,.308,.382,.389,.771,26,16,-0.003, 0.43,0.033,-0.035%,-0.00%, 0.68, 1.0,2,1,2B,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Mark Canha LF,4,1,1,1,0,3,4,.273,.371,.383,.754,21,15,-0.005, 0.41,0.036,-0.041%,-0.01%, 0.65, -0.2,1,0,HR,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
   Ender Inciarte LF,0,0,0,0,0,0,0,.125,.125,.125,.250,,,,,,,,,,0,0,,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Dominic Smith DH-1B,3,0,0,0,1,1,4,.198,.280,.294,.573,16,7,-0.024, 0.34,0.007,-0.031%,-0.02%, 0.55, -0.4,0,1,,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Eduardo Escobar 3B,4,1,1,1,0,0,4,.217,.273,.387,.660,13,10,0.088, 0.26,0.103,-0.015%, 0.08%, 0.41, 0.2,0,1,HR,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Travis Jankowski RF,3,0,0,0,1,0,4,.176,.288,.176,.465,16,8,-0.009, 0.20,0.005,-0.015%,-0.01%, 0.32, -0.4,2,0,,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Tomás Nido C,3,1,1,0,1,0,4,.211,.256,.236,.492,13,7,0.038, 0.38,0.046,-0.008%, 0.04%, 0.59, 0.2,13,1,,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Chris Bassitt P,,,,,,,,,,,,,,,,,,,,,1,1,,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
   Drew Smith P,,,,,,,,,,,,,,,,,,,,,0,0,,84° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
