AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
4,1,1,1,1,0,6,.259,.300,.370,.670,20,14,0.077, 1.58,0.162,-0.085%,0%, 0.00, -0.0,1,1,SF,75° F, Wind 0mph, In Dome.
6,2,1,2,0,2,6,.239,.329,.397,.726,19,14,0.005, 2.07,0.197,-0.192%,0%, 0.00, -0.0,4,0,SB,75° F, Wind 0mph, In Dome.
5,2,4,2,1,0,6,.240,.307,.413,.721,9,8,0.596, 1.50,0.596,0.000%,0%, 0.00, 3.6,15,0,"2·2B,IW",75° F, Wind 0mph, In Dome.
4,0,1,0,0,1,4,.217,.273,.404,.678,9,6,-0.066, 1.04,0.059,-0.124%,0%, 0.00, -0.7,9,0,CS,75° F, Wind 0mph, In Dome.
2,1,1,1,0,0,2,.500,.500,1.000,1.500,10,7,-0.005, 2.50,0.098,-0.103%,0%, 0.00, 0.9,1,0,2B,75° F, Wind 0mph, In Dome.
3,0,0,0,0,1,3,.236,.297,.314,.611,12,9,-0.078, 0.98,0.000,-0.078%,0%, 0.00, -0.7,,,,75° F, Wind 0mph, In Dome.
2,1,0,1,1,0,3,.145,.221,.319,.540,10,5,-0.062, 1.58,0.008,-0.070%,0%, 0.00, -0.4,,,,75° F, Wind 0mph, In Dome.
5,2,1,1,1,2,6,.226,.296,.363,.659,22,14,-0.104, 1.27,0.055,-0.159%,0%, 0.00, 0.3,1,3,,75° F, Wind 0mph, In Dome.
6,0,1,0,0,1,6,.133,.161,.133,.295,23,16,-0.130, 1.11,0.011,-0.142%,0%, 0.00, -1.2,1,0,,75° F, Wind 0mph, In Dome.
2,1,1,1,1,1,3,.208,.289,.268,.557,16,9,0.119, 0.90,0.132,-0.013%,0%, 0.00, 1.2,1,0,,75° F, Wind 0mph, In Dome.
3,2,1,4,0,2,3,.231,.258,.380,.638,13,8,-0.024, 2.37,0.118,-0.142%,0%, 0.00, 2.9,0,0,HR,75° F, Wind 0mph, In Dome.
5,2,1,0,1,0,6,.207,.289,.287,.576,17,11,0.072, 1.29,0.132,-0.060%,0%, 0.00, 0.1,3,2,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
