Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Jordan Lyles,BAL,11,11,0,0,62.0,73,31,54,19,7,3,4,0,0,0,4.5,1.48
Bruce Zimmermann,BAL,11,11,0,0,57.1,66,31,42,11,13,2,4,0,0,0,4.87,1.34
Tyler Wells,BAL,10,10,0,0,43.2,40,18,28,7,5,2,4,0,0,0,3.71,1.08
Keegan Akin,BAL,14,0,0,0,33.2,18,6,30,9,2,1,1,0,0,1,1.6,0.8
Kyle Bradish,BAL,7,7,0,0,33.0,40,25,35,11,8,1,3,0,0,0,6.82,1.55
Spenser Watkins,BAL,8,8,0,0,30.0,36,20,14,15,5,0,1,0,0,0,6.0,1.7
Dillon Tate,BAL,23,0,0,0,26.2,19,5,20,4,1,0,2,1,0,6,1.69,0.86
Jorge Lopez,BAL,22,0,0,0,25.2,13,3,24,13,0,3,3,6,2,0,1.05,1.01
Joey Krehbiel,BAL,22,0,0,0,23.0,18,7,16,8,3,2,3,0,0,5,2.74,1.13
Felix Bautista,BAL,22,0,0,0,22.0,17,5,23,9,3,1,1,2,0,3,2.05,1.18
Bryan Baker,BAL,20,2,0,0,21.1,25,13,23,7,1,1,3,0,1,1,5.48,1.5
Cionel Perez,BAL,20,0,0,0,16.2,15,2,17,9,1,4,0,0,0,4,1.08,1.44
Paul Fry,BAL,12,0,0,0,12.0,9,8,12,7,1,0,0,0,0,1,6.0,1.33
Mike Baumann,BAL,6,0,0,0,11.0,11,6,8,6,1,1,2,0,0,0,4.91,1.55
Travis Lakins,BAL,6,0,0,0,10.1,14,11,8,6,3,0,1,0,0,0,9.58,1.94
John Means,BAL,2,2,0,0,8.0,8,3,7,2,0,0,0,0,0,0,3.38,1.25
Denyi Reyes,BAL,3,1,0,0,7.2,8,2,3,1,0,0,0,0,0,0,2.35,1.17
Logan Gillaspie,BAL,7,0,0,0,6.2,8,1,1,0,0,0,0,0,1,0,1.35,1.2
Marcos Diplan,BAL,5,0,0,0,5.2,4,1,8,5,0,0,0,0,0,0,1.59,1.59
Zac Lowther,BAL,1,0,0,0,5.1,8,5,1,2,0,0,0,0,0,0,8.44,1.88
Chris Ellis,BAL,2,2,0,0,4.1,5,5,2,6,0,0,0,0,0,0,10.38,2.54
Alexander Wells,BAL,2,0,0,0,3.2,5,2,6,0,2,0,0,0,0,0,4.91,1.36
Cody Sedlock,BAL,1,0,0,0,3.0,6,5,3,1,0,0,0,0,0,0,15.0,2.33
Beau Sulser,BAL,1,0,0,0,3.0,7,2,0,0,0,0,0,0,0,0,6.0,2.33
Nick Vespi,BAL,1,0,0,0,2.0,1,0,3,1,0,1,0,0,0,0,0.0,1.0
Logan Allen,BAL,3,0,0,0,1.2,3,2,1,2,0,0,0,0,0,0,10.8,3.0
