Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Shane Bieber,CLE,10,10,0,0,60.2,54,21,62,16,4,3,3,0,0,0,3.12,1.15
Cal Quantrill,CLE,9,9,0,0,53.2,45,21,33,19,3,2,3,0,0,0,3.52,1.19
Triston McKenzie,CLE,9,8,0,0,51.0,31,15,45,13,6,3,4,0,0,0,2.65,0.86
Zach Plesac,CLE,9,9,0,0,49.1,54,27,33,13,8,1,4,0,0,0,4.93,1.36
Aaron Civale,CLE,7,7,0,0,31.0,38,27,30,9,6,2,3,0,0,0,7.84,1.52
Eli Morgan,CLE,13,1,0,0,23.1,10,6,31,3,2,1,1,0,0,3,2.31,0.56
Emmanuel Clase,CLE,22,0,0,0,20.1,15,5,23,4,1,1,2,8,2,0,2.21,0.93
Trevor Stephan,CLE,19,0,0,0,18.0,16,8,18,5,0,2,2,1,1,3,4.0,1.17
Konnor Pilkington,CLE,6,3,0,0,17.0,17,5,23,10,0,1,0,0,0,0,2.65,1.59
Sam Hentges,CLE,15,0,0,0,16.0,8,2,19,2,0,0,0,0,0,0,1.13,0.63
Bryan Shaw,CLE,21,0,0,0,16.0,13,8,13,7,3,1,0,0,0,3,4.5,1.25
Nick Sandlin,CLE,15,0,0,0,15.0,9,5,9,15,2,4,2,0,0,4,3.0,1.6
Enyel De Los Santos,CLE,13,0,0,0,13.2,6,4,19,5,0,0,0,0,0,1,2.63,0.8
Anthony Gose,CLE,12,0,0,0,11.1,8,6,14,6,2,1,0,0,1,0,4.76,1.24
Anthony Castro,CLE,6,0,0,0,6.2,7,3,9,3,2,0,0,0,0,0,4.05,1.5
Logan Allen,CLE,4,0,0,0,6.0,9,3,6,3,0,1,0,0,0,0,4.5,2.0
Kirk McCarty,CLE,1,0,0,0,3.0,4,4,3,2,2,0,0,0,0,0,12.0,2.0
Tanner Tully,CLE,1,0,0,0,2.0,2,1,0,1,1,0,0,0,0,0,4.5,1.5
