Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Justin Verlander,HOU,10,10,0,0,64.2,40,16,61,12,9,6,2,0,0,0,2.23,0.8
Framber Valdez,HOU,10,10,1,0,63.0,49,18,50,22,2,5,2,0,0,0,2.57,1.13
Jose Urquidy,HOU,10,10,0,0,51.0,69,27,40,8,9,5,2,0,0,0,4.76,1.51
Luis Garcia,HOU,9,9,0,0,48.2,37,17,51,15,7,3,3,0,0,0,3.14,1.07
Cristian Javier,HOU,10,6,0,0,41.0,29,11,52,15,3,3,2,0,0,0,2.41,1.07
Jake Odorizzi,HOU,7,7,0,0,31.2,25,11,21,12,1,3,2,0,0,0,3.13,1.17
Phil Maton,HOU,22,0,0,0,22.2,22,8,15,5,3,0,1,0,1,6,3.18,1.19
Hector Neris,HOU,24,0,0,0,22.1,12,5,24,3,1,1,2,0,0,10,2.01,0.67
Bryan Abreu,HOU,15,0,0,0,21.2,18,7,30,9,1,3,0,0,0,2,2.91,1.25
Rafael Montero,HOU,22,0,0,0,20.2,12,1,23,5,1,3,0,3,0,6,0.44,0.82
Ryne Stanek,HOU,19,0,0,0,17.0,7,2,14,9,1,0,0,1,0,3,1.06,0.94
Blake Taylor,HOU,19,0,0,0,16.0,15,7,9,10,1,1,1,0,0,4,3.94,1.56
Ryan Pressly,HOU,14,0,0,0,13.0,13,4,10,4,1,1,1,10,2,0,2.77,1.31
Seth Martinez,HOU,6,0,0,0,11.0,5,0,8,4,0,0,0,0,0,0,0.0,0.82
Ronel Blanco,HOU,7,0,0,0,6.1,8,5,7,4,1,0,0,0,0,0,7.11,1.89
Parker Mushinski,HOU,5,0,0,0,5.1,5,3,7,1,0,0,0,0,0,0,5.06,1.13
Pedro Baez,HOU,3,0,0,0,2.1,5,3,2,3,0,0,0,0,0,0,11.57,3.43
