,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Marcus Semien 2B,4,1,3,0,1,0,5,.241,.299,.399,.699,18,13,0.145, 0.74,0.147,-0.002%, 0.05%, 0.40, 1.0,2,2,,75° F, Wind 0mph, In Dome.
Corey Seager SS,3,1,1,2,1,1,5,.246,.322,.468,.790,13,8,0.123, 1.64,0.145,-0.022%, 0.04%, 0.89, 0.7,0,0,"2B,SF,IW",75° F, Wind 0mph, In Dome.
Adolis García RF,4,1,1,0,1,2,5,.239,.283,.447,.730,22,10,-0.158, 1.82,0.033,-0.191%,-0.05%, 0.99, -0.1,1,0,,75° F, Wind 0mph, In Dome.
Jonah Heim C,4,1,2,1,0,0,4,.267,.320,.480,.799,10,8,0.064, 0.73,0.123,-0.060%, 0.02%, 0.40, 0.2,16,0,"2·2B,GDP",75° F, Wind 0mph, In Dome.
Nathaniel Lowe 1B,4,0,0,1,0,0,4,.274,.328,.436,.765,10,8,-0.096, 1.05,0.000,-0.096%,-0.03%, 0.57, -1.1,4,0,,75° F, Wind 0mph, In Dome.
Leody Taveras CF,4,0,2,1,0,0,4,.338,.359,.500,.859,16,11,-0.010, 0.88,0.070,-0.080%,-0.00%, 0.48, 0.5,2,0,CS,75° F, Wind 0mph, In Dome.
Kole Calhoun LF,4,0,0,0,0,3,4,.228,.283,.402,.686,14,11,-0.079, 0.66,0.000,-0.079%,-0.03%, 0.36, -1.1,1,0,,75° F, Wind 0mph, In Dome.
Elier Hernandez DH,3,1,2,0,0,1,3,.667,.667,.667,1.333,12,9,0.014, 0.35,0.025,-0.011%, 0.01%, 0.19, 0.5,,,,75° F, Wind 0mph, In Dome.
   Josh Smith PH-DH,1,0,0,0,0,0,1,.247,.374,.329,.702,3,2,-0.090, 3.51,0.000,-0.090%,-0.03%, 1.91, -0.2,,,,75° F, Wind 0mph, In Dome.
Charlie Culberson 3B,3,0,1,0,0,0,3,.253,.289,.291,.580,8,6,0.030, 0.44,0.052,-0.022%, 0.01%, 0.24, 0.1,1,1,"2B,GDP",75° F, Wind 0mph, In Dome.
   Brad Miller PH,1,0,0,0,0,1,1,.210,.258,.337,.595,6,4,-0.067, 2.68,0.000,-0.067%,-0.02%, 1.46, -0.2,,,,75° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,75° F, Wind 0mph, In Dome.
Martin Perez P,,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
   Garrett Richards P,,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
   Matt Moore P,,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
   Dennis Santana P,,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
   Brock Burke P,,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
   Josh Sborz P,,,,,,,,,,,,,,,,,,,,,0,0,,75° F, Wind 0mph, In Dome.
