,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Marcus Semien 2B,4,0,0,0,0,0,4,.237,.297,.393,.690,17,10,-0.063, 1.45,0.052,-0.115%,-0.01%, 0.28, -0.7,1,2,,77° F, Wind 0mph, Sunny, No Precipitation.
Corey Seager SS,4,0,0,0,0,2,4,.243,.320,.467,.787,13,8,-0.161, 1.71,0.000,-0.161%,-0.02%, 0.34, -1.1,3,2,,77° F, Wind 0mph, Sunny, No Precipitation.
Jonah Heim C,4,0,1,1,0,0,4,.262,.319,.464,.783,12,8,0.070, 1.45,0.163,-0.093%, 0.01%, 0.28, 0.3,8,1,2B,77° F, Wind 0mph, Sunny, No Precipitation.
Adolis García RF,3,1,1,0,1,1,4,.252,.298,.472,.770,13,8,0.036, 1.35,0.112,-0.076%, 0.01%, 0.26, 0.4,3,0,SB,77° F, Wind 0mph, Sunny, No Precipitation.
Leody Taveras CF,4,0,1,0,0,0,4,.342,.383,.523,.906,12,10,-0.059, 1.39,0.049,-0.108%,-0.01%, 0.27, -0.7,0,0,,77° F, Wind 0mph, Sunny, No Precipitation.
Charlie Culberson LF,3,0,1,1,0,0,3,.256,.287,.300,.587,12,6,0.070, 1.24,0.141,-0.071%, 0.01%, 0.24, 0.3,0,0,"2B,GDP",77° F, Wind 0mph, Sunny, No Precipitation.
   Kole Calhoun PH,1,0,0,0,0,0,1,.219,.279,.381,.660,2,2,-0.049, 2.08,0.000,-0.049%,-0.01%, 0.41, -0.3,,,,77° F, Wind 0mph, Sunny, No Precipitation.
Ezequiel Duran 3B,3,0,0,0,1,2,4,.262,.303,.405,.708,21,12,-0.048, 1.10,0.038,-0.085%,-0.01%, 0.22, -0.5,1,1,,77° F, Wind 0mph, Sunny, No Precipitation.
Nick Solak DH,2,0,0,0,0,1,2,.194,.275,.292,.567,8,6,-0.064, 1.17,0.000,-0.064%,-0.01%, 0.23, -0.5,,,,77° F, Wind 0mph, Sunny, No Precipitation.
   Josh Smith PH-DH-DH,2,0,0,0,0,0,2,.210,.315,.267,.581,4,3,-0.109, 2.14,0.000,-0.109%,-0.01%, 0.42, -0.7,,,,77° F, Wind 0mph, Sunny, No Precipitation.
Elier Hernandez 1B,2,1,1,0,0,0,2,.278,.278,.389,.667,7,4,0.081, 0.90,0.093,-0.012%, 0.01%, 0.17, 0.5,7,1,2B,77° F, Wind 0mph, Sunny, No Precipitation.
   Nathaniel Lowe PH-1B,1,0,1,0,0,0,1,.274,.323,.447,.769,4,3,0.061, 0.96,0.061,0.000%, 0.01%, 0.19, 0.4,1,0,2B,77° F, Wind 0mph, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,77° F, Wind 0mph, Sunny, No Precipitation.
Jon Gray P,,,,,,,,,,,,,,,,,,,,,0,1,,77° F, Wind 0mph, Sunny, No Precipitation.
   Brett Martin P,,,,,,,,,,,,,,,,,,,,,0,1,,77° F, Wind 0mph, Sunny, No Precipitation.
   Jonathan Hernandez P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 0mph, Sunny, No Precipitation.
