,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Luis Garcia SS,5,0,0,0,0,2,5,.296,.305,.415,.720,14,13,-0.044, 0.35,0.000,-0.044%,0%, 0.00, -1.3,0,1,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Josh Bell 1B,4,1,3,0,1,1,5,.305,.385,.497,.882,19,10,0.079, 0.31,0.081,-0.002%,0%, 0.00, 1.7,12,0,2·2B,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Juan Soto RF,2,0,0,1,3,0,5,.247,.405,.490,.895,22,7,0.011, 0.59,0.061,-0.050%,0%, 0.00, 1.0,1,0,GDP,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Nelson Cruz DH,2,0,1,0,0,1,2,.242,.324,.361,.685,11,6,-0.008, 1.14,0.031,-0.039%,0%, 0.00, -0.2,,,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
   Ehire Adrianza PH-DH-DH,2,0,0,0,1,1,3,.185,.260,.215,.476,19,11,0.007, 0.54,0.026,-0.020%,0%, 0.00, -0.3,,,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Keibert Ruiz C,4,0,0,0,1,1,5,.255,.317,.355,.672,22,14,-0.083, 1.02,0.022,-0.105%,0%, 0.00, -1.3,12,0,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Yadiel Hernández LF,3,0,0,0,0,1,3,.265,.307,.406,.713,16,11,-0.078, 1.08,0.000,-0.078%,0%, 0.00, -1.5,1,0,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
   Lane Thomas PH,1,0,0,0,0,0,1,.226,.281,.385,.666,10,8,-0.001, 0.03,0.000,-0.001%,0%, 0.00, -0.2,,,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Cesar Hernandez 2B,3,1,2,1,0,0,4,.244,.306,.307,.614,16,9,0.036, 0.51,0.053,-0.017%,0%, 0.00, 1.8,0,3,"2B,HBP",85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Maikel Franco 3B,4,1,1,0,0,1,4,.234,.264,.358,.622,14,10,-0.076, 0.75,0.002,-0.078%,0%, 0.00, -0.9,0,7,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Victor Robles CF,4,1,1,1,0,1,4,.235,.304,.296,.600,11,8,-0.023, 0.36,0.007,-0.031%,0%, 0.00, 0.8,1,0,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
Patrick Corbin P,,,,,,,,,,,,,,,,,,,,,0,0,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
   Erasmo Ramirez P,,,,,,,,,,,,,,,,,,,,,0,1,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
   Carl Edwards Jr. P,,,,,,,,,,,,,,,,,,,,,0,0,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
   Kyle Finnegan P,,,,,,,,,,,,,,,,,,,,,0,0,,85° F, Wind 6mph from Right to Left, Cloudy, No Precipitation.
