,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
DeMar DeRozan,43:49,7.0,16.0,43.8,1.0,3.0,33.3,3.0,4.0,75.0,0.0,7.0,7.0,7.0,3.0,1.0,3.0,0.0,18.0,14.0,01/08/2024,Charlotte Hornets,44.25,PHX @ LAC
Patrick Williams,22:49,2.0,6.0,33.3,1.0,2.0,50.0,3.0,4.0,75.0,1.0,4.0,5.0,0.0,1.0,1.0,2.0,1.0,8.0,2.0,01/08/2024,Charlotte Hornets,17.75,PHX @ LAC
Andre Drummond,22:31,9.0,12.0,75.0,0.0,0.0,0.0,3.0,3.0,100.0,5.0,10.0,15.0,0.0,0.0,0.0,2.0,1.0,21.0,16.0,01/08/2024,Charlotte Hornets,38.75,PHX @ LAC
Alex Caruso,34:12,2.0,7.0,28.6,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0,4.0,5.0,17.0,01/08/2024,Charlotte Hornets,18.5,PHX @ LAC
Coby White,41:55,10.0,19.0,52.6,3.0,7.0,42.9,4.0,5.0,80.0,0.0,6.0,6.0,5.0,0.0,0.0,1.0,3.0,27.0,11.0,01/08/2024,Charlotte Hornets,43.0,PHX @ LAC
Nikola Vucevic,30:29,10.0,18.0,55.6,1.0,3.0,33.3,0.0,0.0,0.0,3.0,7.0,10.0,4.0,1.0,1.0,1.0,4.0,21.0,-9.0,01/08/2024,Charlotte Hornets,43.5,PHX @ LAC
Zach LaVine,35:40,2.0,8.0,25.0,2.0,6.0,33.3,3.0,4.0,75.0,1.0,2.0,3.0,5.0,0.0,2.0,2.0,1.0,9.0,-5.0,01/08/2024,Charlotte Hornets,24.25,PHX @ LAC
Ayo Dosunmu,17:35,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,6.0,-3.0,01/08/2024,Charlotte Hornets,11.75,PHX @ LAC
Dalen Terry,11:40,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,-4.0,01/08/2024,Charlotte Hornets,5.5,PHX @ LAC
Jevon Carter,4:20,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0,01/08/2024,Charlotte Hornets,2.0,PHX @ LAC
