,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Bojan Bogdanovic,27:04,6.0,12.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,14.0,-4.0,01/07/2024,Denver Nuggets,22.25,PHX @ LAC
Isaiah Livers,30:41,4.0,8.0,50.0,1.0,2.0,50.0,2.0,2.0,100.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,5.0,11.0,-1.0,01/07/2024,Denver Nuggets,21.25,PHX @ LAC
Jalen Duren,29:59,8.0,12.0,66.7,0.0,0.0,0.0,4.0,6.0,66.7,2.0,3.0,5.0,4.0,0.0,0.0,1.0,1.0,20.0,-14.0,01/07/2024,Denver Nuggets,31.75,PHX @ LAC
Jaden Ivey,27:19,4.0,11.0,36.4,0.0,6.0,0.0,5.0,8.0,62.5,1.0,3.0,4.0,6.0,1.0,0.0,4.0,2.0,13.0,-16.0,01/07/2024,Denver Nuggets,27.0,PHX @ LAC
Cade Cunningham,10:44,1.0,6.0,16.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,-2.0,01/07/2024,Denver Nuggets,11.75,PHX @ LAC
Alec Burks,19:50,6.0,9.0,66.7,3.0,3.0,100.0,3.0,3.0,100.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,18.0,-16.0,01/07/2024,Denver Nuggets,25.5,PHX @ LAC
Killian Hayes,25:09,1.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,-10.0,01/07/2024,Denver Nuggets,15.0,PHX @ LAC
Kevin Knox II,20:22,4.0,8.0,50.0,1.0,3.0,33.3,3.0,4.0,75.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,-13.0,01/07/2024,Denver Nuggets,17.75,PHX @ LAC
James Wiseman,18:01,4.0,7.0,57.1,0.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,-3.0,01/07/2024,Denver Nuggets,12.75,PHX @ LAC
Ausar Thompson,20:14,2.0,5.0,40.0,0.0,1.0,0.0,1.0,2.0,50.0,3.0,2.0,5.0,4.0,0.0,0.0,1.0,2.0,5.0,0.0,01/07/2024,Denver Nuggets,16.75,PHX @ LAC
Marcus Sasser,10:37,2.0,6.0,33.3,1.0,2.0,50.0,2.0,2.0,100.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,-6.0,01/07/2024,Denver Nuggets,11.5,PHX @ LAC
