,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Aaron Nesmith,31:52,3.0,13.0,23.1,0.0,7.0,0.0,2.0,2.0,100.0,1.0,3.0,4.0,0.0,3.0,1.0,0.0,2.0,8.0,-5.0,01/06/2024,Boston Celtics,21.0,PHX @ LAC
Jalen Smith,25:50,2.0,6.0,33.3,1.0,4.0,25.0,2.0,2.0,100.0,1.0,6.0,7.0,2.0,0.0,0.0,0.0,2.0,7.0,-7.0,01/06/2024,Boston Celtics,19.25,PHX @ LAC
Myles Turner,29:52,5.0,11.0,45.5,0.0,5.0,0.0,2.0,4.0,50.0,3.0,4.0,7.0,2.0,0.0,0.0,0.0,3.0,12.0,-11.0,01/06/2024,Boston Celtics,23.75,PHX @ LAC
Buddy Hield,30:37,6.0,16.0,37.5,3.0,10.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,15.0,-5.0,01/06/2024,Boston Celtics,23.5,PHX @ LAC
Tyrese Haliburton,34:42,5.0,17.0,29.4,2.0,9.0,22.2,5.0,5.0,100.0,1.0,5.0,6.0,7.0,5.0,0.0,4.0,1.0,17.0,-14.0,01/06/2024,Boston Celtics,44.0,PHX @ LAC
Bennedict Mathurin,35:24,7.0,14.0,50.0,0.0,3.0,0.0,6.0,9.0,66.7,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,20.0,-21.0,01/06/2024,Boston Celtics,33.0,PHX @ LAC
Obi Toppin,23:11,4.0,8.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,-8.0,01/06/2024,Boston Celtics,16.25,PHX @ LAC
Isaiah Jackson,8:59,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,-8.0,01/06/2024,Boston Celtics,7.75,PHX @ LAC
T.J. McConnell,12:12,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,3.0,0.0,6.0,-3.0,01/06/2024,Boston Celtics,17.25,PHX @ LAC
Ben Sheppard,2:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,01/06/2024,Boston Celtics,1.25,PHX @ LAC
Jarace Walker,1:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,01/06/2024,Boston Celtics,1.5,PHX @ LAC
Jordan Nwora,1:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/06/2024,Boston Celtics,0.0,PHX @ LAC
Kendall Brown,1:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/06/2024,Boston Celtics,0.0,PHX @ LAC
Oscar Tshiebwe,1:06,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,01/06/2024,Boston Celtics,2.0,PHX @ LAC
