,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Brandon Ingram,37:21,11.0,18.0,61.1,1.0,1.0,100.0,11.0,12.0,91.7,1.0,3.0,4.0,6.0,2.0,0.0,2.0,4.0,34.0,0.0,12/19/2023,Memphis Grizzlies,51.5,LAC @ DAL
Zion Williamson,24:34,5.0,12.0,41.7,0.0,0.0,0.0,3.0,4.0,75.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,4.0,13.0,-13.0,12/19/2023,Memphis Grizzlies,21.75,LAC @ DAL
Jonas Valanciunas,32:56,9.0,12.0,75.0,1.0,1.0,100.0,3.0,3.0,100.0,4.0,10.0,14.0,1.0,1.0,1.0,2.0,5.0,22.0,5.0,12/19/2023,Memphis Grizzlies,44.5,LAC @ DAL
Herbert Jones,30:21,3.0,10.0,30.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,7.0,0.0,12/19/2023,Memphis Grizzlies,11.25,LAC @ DAL
CJ McCollum,41:10,6.0,11.0,54.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,18.0,9.0,12/19/2023,Memphis Grizzlies,37.25,LAC @ DAL
Trey Murphy III,20:60,2.0,6.0,33.3,0.0,1.0,0.0,3.0,3.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,-6.0,12/19/2023,Memphis Grizzlies,10.25,LAC @ DAL
Naji Marshall,17:24,1.0,7.0,14.3,1.0,4.0,25.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,-11.0,12/19/2023,Memphis Grizzlies,7.0,LAC @ DAL
Jose Alvarado,8:28,1.0,4.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,-9.0,12/19/2023,Memphis Grizzlies,4.5,LAC @ DAL
Cody Zeller,13:20,1.0,3.0,33.3,0.0,0.0,0.0,2.0,2.0,100.0,4.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,4.0,-2.0,12/19/2023,Memphis Grizzlies,14.5,LAC @ DAL
Dyson Daniels,13:26,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,17.0,12/19/2023,Memphis Grizzlies,7.75,LAC @ DAL
