,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Nicolas Batum,22:23,2.0,4.0,50.0,1.0,3.0,33.3,1.0,1.0,100.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,6.0,18.0,01/02/2024,Chicago Bulls,14.75,DEN @ GSW
Tobias Harris,29:53,9.0,13.0,69.2,1.0,4.0,25.0,1.0,3.0,33.3,1.0,7.0,8.0,2.0,0.0,2.0,1.0,0.0,20.0,32.0,01/02/2024,Chicago Bulls,37.0,DEN @ GSW
Joel Embiid,31:27,10.0,20.0,50.0,2.0,5.0,40.0,9.0,12.0,75.0,0.0,15.0,15.0,10.0,1.0,2.0,4.0,4.0,31.0,32.0,01/02/2024,Chicago Bulls,69.75,DEN @ GSW
Kelly Oubre Jr.,26:43,5.0,8.0,62.5,3.0,5.0,60.0,3.0,3.0,100.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,16.0,28.0,01/02/2024,Chicago Bulls,31.25,DEN @ GSW
Tyrese Maxey,29:19,6.0,12.0,50.0,4.0,7.0,57.1,5.0,6.0,83.3,0.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,21.0,24.0,01/02/2024,Chicago Bulls,31.25,DEN @ GSW
Patrick Beverley,14:06,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,15.0,01/02/2024,Chicago Bulls,7.25,DEN @ GSW
Danuel House Jr.,15:14,2.0,5.0,40.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,-2.0,01/02/2024,Chicago Bulls,6.0,DEN @ GSW
Jaden Springer,21:17,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,-15.0,01/02/2024,Chicago Bulls,12.5,DEN @ GSW
Marcus Morris Sr.,11:04,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,-7.0,01/02/2024,Chicago Bulls,6.0,DEN @ GSW
Paul Reed,12:57,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,-9.0,01/02/2024,Chicago Bulls,11.0,DEN @ GSW
KJ Martin,8:57,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-17.0,01/02/2024,Chicago Bulls,1.5,DEN @ GSW
Mo Bamba,7:03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,-12.0,01/02/2024,Chicago Bulls,3.5,DEN @ GSW
Ricky Council IV,6:01,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,01/02/2024,Chicago Bulls,0.0,DEN @ GSW
Kenneth Lofton Jr.,3:36,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-10.0,01/02/2024,Chicago Bulls,1.5,DEN @ GSW
