,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Harrison Barnes,33:55,5.0,12.0,41.7,5.0,8.0,62.5,1.0,2.0,50.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,3.0,16.0,2.0,01/05/2024,Toronto Raptors,26.0,OKC @ BKN
Keegan Murray,34:31,6.0,11.0,54.5,4.0,4.0,100.0,2.0,4.0,50.0,3.0,9.0,12.0,1.0,1.0,0.0,3.0,1.0,18.0,-3.0,01/05/2024,Toronto Raptors,37.0,OKC @ BKN
Domantas Sabonis,38:33,11.0,16.0,68.8,0.0,0.0,0.0,2.0,3.0,66.7,4.0,11.0,15.0,11.0,0.0,0.0,6.0,6.0,24.0,12.0,01/05/2024,Toronto Raptors,56.25,OKC @ BKN
Chris Duarte,16:25,4.0,6.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,10.0,2.0,01/05/2024,Toronto Raptors,12.0,OKC @ BKN
De'Aaron Fox,37:29,10.0,20.0,50.0,1.0,3.0,33.3,3.0,3.0,100.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,24.0,-1.0,01/05/2024,Toronto Raptors,38.0,OKC @ BKN
Malik Monk,31:53,6.0,16.0,37.5,3.0,9.0,33.3,0.0,1.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,1.0,4.0,15.0,10.0,01/05/2024,Toronto Raptors,32.75,OKC @ BKN
Davion Mitchell,10:31,3.0,8.0,37.5,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,6.0,01/05/2024,Toronto Raptors,11.75,OKC @ BKN
Trey Lyles,15:15,4.0,6.0,66.7,4.0,5.0,80.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,12.0,1.0,01/05/2024,Toronto Raptors,19.25,OKC @ BKN
Kevin Huerter,14:01,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,01/05/2024,Toronto Raptors,10.5,OKC @ BKN
JaVale McGee,7:27,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,-7.0,01/05/2024,Toronto Raptors,10.0,OKC @ BKN
