,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jayson Tatum,33:50,8.0,16.0,50.0,1.0,7.0,14.3,14.0,16.0,87.5,1.0,7.0,8.0,5.0,0.0,2.0,3.0,2.0,31.0,37.0,05/23/2022,51.5
Al Horford,33:04,1.0,2.0,50.0,1.0,1.0,100.0,2.0,2.0,100.0,2.0,11.0,13.0,3.0,0.0,4.0,0.0,2.0,5.0,33.0,05/23/2022,34.25
Robert Williams III,18:38,4.0,5.0,80.0,0.0,0.0,0.0,4.0,4.0,100.0,5.0,4.0,9.0,0.0,0.0,2.0,0.0,0.0,12.0,15.0,05/23/2022,27.25
Jaylen Brown,29:10,5.0,20.0,25.0,1.0,6.0,16.7,1.0,2.0,50.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,5.0,12.0,23.0,05/23/2022,23.75
Derrick White,40:52,4.0,14.0,28.6,1.0,8.0,12.5,4.0,6.0,66.7,0.0,8.0,8.0,6.0,3.0,1.0,3.0,0.0,13.0,15.0,05/23/2022,39.0
Payton Pritchard,24:45,5.0,8.0,62.5,3.0,6.0,50.0,1.0,2.0,50.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,14.0,-6.0,05/23/2022,26.0
Grant Williams,36:31,1.0,8.0,12.5,1.0,5.0,20.0,4.0,4.0,100.0,2.0,3.0,5.0,2.0,0.0,0.0,1.0,2.0,7.0,-1.0,05/23/2022,16.25
Aaron Nesmith,9:18,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,-11.0,05/23/2022,10.25
Daniel Theis,8:55,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,-11.0,05/23/2022,7.75
Nik Stauskas,1:39,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,05/23/2022,2.0
Malik Fitts,1:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05/23/2022,0.0
Juwan Morgan,1:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,05/23/2022,0.0
