,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
DeMar DeRozan,32:31,3.0,9.0,33.3,0.0,0.0,0.0,7.0,7.0,100.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,13.0,-6.0,10/22/2022,Cleveland Cavaliers,21.0
Patrick Williams,15:31,2.0,7.0,28.6,1.0,3.0,33.3,1.0,2.0,50.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,10/22/2022,Cleveland Cavaliers,11.75
Nikola Vucevic,30:47,7.0,12.0,58.3,2.0,3.0,66.7,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,3.0,2.0,3.0,16.0,-10.0,10/22/2022,Cleveland Cavaliers,31.5
Zach LaVine,28:20,9.0,17.0,52.9,2.0,6.0,33.3,3.0,4.0,75.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,2.0,23.0,-19.0,10/22/2022,Cleveland Cavaliers,37.75
Ayo Dosunmu,27:30,2.0,7.0,28.6,1.0,4.0,25.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,5.0,-5.0,10/22/2022,Cleveland Cavaliers,15.0
Javonte Green,13:44,2.0,5.0,40.0,0.0,2.0,0.0,2.0,3.0,66.7,1.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,6.0,-11.0,10/22/2022,Cleveland Cavaliers,20.75
Coby White,23:36,2.0,8.0,25.0,0.0,5.0,0.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,-30.0,10/22/2022,Cleveland Cavaliers,7.75
Andre Drummond,13:06,3.0,8.0,37.5,0.0,1.0,0.0,2.0,2.0,100.0,3.0,4.0,7.0,0.0,2.0,0.0,3.0,2.0,8.0,-16.0,10/22/2022,Cleveland Cavaliers,19.25
Goran Dragic,11:25,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,4.0,-16.0,10/22/2022,Cleveland Cavaliers,10.5
Alex Caruso,16:36,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,-15.0,10/22/2022,Cleveland Cavaliers,11.0
Derrick Jones Jr.,16:56,2.0,3.0,66.7,1.0,1.0,100.0,3.0,4.0,75.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,8.0,-12.0,10/22/2022,Cleveland Cavaliers,16.5
Dalen Terry,4:07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,10/22/2022,Cleveland Cavaliers,-0.5
Tony Bradley,4:07,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,10/22/2022,Cleveland Cavaliers,2.5
Marko Simonovic,1:44,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,10/22/2022,Cleveland Cavaliers,0.0
