,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Caris LeVert,29:34,5.0,10.0,50.0,1.0,2.0,50.0,1.0,2.0,50.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,1.0,12.0,-2.0,11/06/2022,Los Angeles Lakers,23.5
Evan Mobley,30:26,2.0,7.0,28.6,0.0,1.0,0.0,1.0,2.0,50.0,2.0,5.0,7.0,3.0,2.0,1.0,1.0,3.0,5.0,1.0,11/06/2022,Los Angeles Lakers,23.75
Jarrett Allen,27:45,5.0,13.0,38.5,0.0,0.0,0.0,6.0,6.0,100.0,3.0,8.0,11.0,0.0,2.0,2.0,1.0,4.0,16.0,5.0,11/06/2022,Los Angeles Lakers,37.25
Donovan Mitchell,37:09,10.0,17.0,58.8,1.0,7.0,14.3,12.0,13.0,92.3,1.0,4.0,5.0,2.0,1.0,1.0,3.0,1.0,33.0,6.0,11/06/2022,Los Angeles Lakers,45.25
Darius Garland,38:57,7.0,18.0,38.9,3.0,9.0,33.3,7.0,7.0,100.0,1.0,3.0,4.0,7.0,0.0,0.0,5.0,4.0,24.0,6.0,11/06/2022,Los Angeles Lakers,38.5
Cedi Osman,19:15,3.0,5.0,60.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,19.0,11/06/2022,Los Angeles Lakers,12.25
Dean Wade,24:50,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,1.0,0.0,4.0,2.0,13.0,11/06/2022,Los Angeles Lakers,15.0
Kevin Love,20:04,4.0,10.0,40.0,2.0,8.0,25.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,10.0,22.0,11/06/2022,Los Angeles Lakers,26.5
Isaac Okoro,5:56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,11/06/2022,Los Angeles Lakers,0.0
Robin Lopez,6:04,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,11/06/2022,Los Angeles Lakers,4.5
