,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Reggie Bullock,40:16,7.0,15.0,46.7,5.0,11.0,45.5,0.0,0.0,0.0,3.0,4.0,7.0,0.0,2.0,0.0,0.0,2.0,19.0,15.0,05/12/2022,34.25
Dorian Finney-Smith,25:02,1.0,4.0,25.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,5.0,4.0,19.0,05/12/2022,14.25
Dwight Powell,17:03,2.0,2.0,100.0,0.0,0.0,0.0,4.0,6.0,66.7,1.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,8.0,11.0,05/12/2022,15.75
Jalen Brunson,35:19,6.0,14.0,42.9,0.0,3.0,0.0,6.0,6.0,100.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,18.0,24.0,05/12/2022,28.25
Luka Doncic,35:17,11.0,26.0,42.3,2.0,8.0,25.0,9.0,14.0,64.3,1.0,10.0,11.0,8.0,4.0,0.0,1.0,4.0,33.0,15.0,05/12/2022,67.25
Maxi Kleber,25:23,3.0,6.0,50.0,3.0,5.0,60.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,4.0,9.0,11.0,05/12/2022,18.0
Davis Bertans,8:22,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,05/12/2022,4.25
Spencer Dinwiddie,20:35,5.0,7.0,71.4,5.0,7.0,71.4,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,15.0,2.0,05/12/2022,24.25
Frank Ntilikina,21:22,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,0.0,9.0,05/12/2022,13.25
Josh Green,3:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,05/12/2022,2.0
Sterling Brown,3:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,05/12/2022,4.5
Trey Burke,1:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,05/12/2022,0.0
Marquese Chriss,1:43,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,05/12/2022,3.25
Boban Marjanovic,1:43,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,05/12/2022,4.5
