,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Reggie Bullock,22:04,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,-18.0,11/07/2022,Brooklyn Nets,6.75
Dorian Finney-Smith,35:01,5.0,9.0,55.6,2.0,5.0,40.0,6.0,6.0,100.0,1.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0,18.0,-7.0,11/07/2022,Brooklyn Nets,24.25
JaVale McGee,3:25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.0,11/07/2022,Brooklyn Nets,-0.5
Spencer Dinwiddie,27:53,1.0,8.0,12.5,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,5.0,0.0,0.0,4.0,3.0,2.0,-3.0,11/07/2022,Brooklyn Nets,15.0
Luka Doncic,38:25,11.0,22.0,50.0,5.0,9.0,55.6,9.0,12.0,75.0,0.0,6.0,6.0,6.0,2.0,1.0,5.0,5.0,36.0,1.0,11/07/2022,Brooklyn Nets,58.5
Christian Wood,20:34,3.0,9.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,4.0,2.0,6.0,-1.0,11/07/2022,Brooklyn Nets,15.0
Tim Hardaway Jr.,13:48,4.0,8.0,50.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,6.0,11/07/2022,Brooklyn Nets,14.75
Maxi Kleber,29:24,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,3.0,5.0,18.0,11/07/2022,Brooklyn Nets,15.25
Josh Green,26:48,5.0,5.0,100.0,2.0,2.0,100.0,4.0,4.0,100.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,2.0,16.0,11.0,11/07/2022,Brooklyn Nets,25.25
Dwight Powell,22:38,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,1.0,1.0,2.0,2.0,2.0,7.0,11/07/2022,Brooklyn Nets,15.0
