,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/19/1987,BOS,SEA @ LAL,L,240,107,44,82,53.7,0,1,0.0,19,23,82.6,12,26,38,26,6,8,15,34,-11
04/16/1987,CHI,SEA @ LAL,W,240,117,41,77,53.2,2,2,100,33,43,76.7,12,28,40,21,5,5,12,21,3
04/15/1987,NJN,SEA @ LAL,W,240,136,48,85,56.5,5,10,50.0,35,42,83.3,15,23,38,38,11,6,13,21,20
04/13/1987,IND,PHX @ GOS,W,240,102,40,77,51.9,0,2,0.0,22,31,71.0,10,31,41,22,2,4,14,27,1
04/12/1987,NJN,PHX @ GOS,W,240,115,41,82,50.0,5,8,62.5,28,38,73.7,11,30,41,27,9,6,19,20,27
04/10/1987,DET,DEN @ HOU,W,240,101,31,78,39.7,2,3,66.7,37,45,82.2,16,31,47,20,9,10,16,27,2
04/08/1987,PHL,DEN @ HOU,W,240,110,44,80,55.0,3,8,37.5,19,29,65.5,11,36,47,35,10,11,15,26,18
04/06/1987,CLE,PHX @ SEA,W,240,110,47,89,52.8,0,3,0.0,16,19,84.2,16,29,45,40,9,4,18,36,5
04/04/1987,CHI,PHX @ SEA,W,240,110,43,83,51.8,2,3,66.7,22,30,73.3,12,36,48,28,6,11,13,29,13
04/03/1987,NYK,CHI @ WAS,W,240,126,51,93,54.8,4,9,44.4,20,24,83.3,18,32,50,33,6,12,13,22,37
04/01/1987,MIL,CHI @ WAS,L,240,92,34,91,37.4,1,5,20.0,23,29,79.3,20,29,49,18,4,3,20,26,-12
03/28/1987,IND,DET @ SEA,L,240,114,42,89,47.2,2,5,40.0,28,35,80.0,17,27,44,27,4,7,9,23,-6
03/26/1987,DAL,DET @ SEA,W,240,120,49,86,57.0,2,4,50.0,20,34,58.8,16,29,45,29,10,6,14,20,8
03/24/1987,WAS,UTH @ LAC,W,240,96,35,76,46.1,3,5,60.0,23,30,76.7,14,30,44,13,14,7,27,25,9
03/21/1987,NYK,UTH @ LAC,W,240,97,37,76,48.7,0,2,0.0,23,32,71.9,11,32,43,19,3,8,13,23,12
03/20/1987,MIL,HOU @ UTH,W,240,114,39,79,49.4,2,5,40.0,34,47,72.3,18,34,52,27,12,8,16,26,17
03/18/1987,PHL,HOU @ UTH,L,240,107,47,90,52.2,1,3,33.3,12,14,85.7,18,28,46,26,8,0,15,28,-2
