,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/11/2018,BOS,DET @ CHI,L,240,97,37,91,40.7,11,40,27.5,12,16,75.0,10,34,44,27,10,6,16,12,-13
04/09/2018,CHI,DET @ CHI,W,240,114,41,82,50.0,18,42,42.9,14,15,93.3,6,32,38,32,8,10,18,15,9
04/07/2018,CHI,SAC @ SAS,W,240,124,46,92,50.0,24,55,43.6,8,11,72.7,5,41,46,36,11,10,15,18,28
04/05/2018,MIL,BKN @ MIL,W,240,119,41,75,54.7,19,39,48.7,18,21,85.7,4,37,41,30,3,12,20,21,8
04/03/2018,PHI,BKN @ MIL,L,240,95,34,81,42.0,17,42,40.5,10,23,43.5,3,33,36,20,5,6,18,15,-26
04/01/2018,DET,MIL @ DEN,L,240,96,37,87,42.5,12,43,27.9,10,15,66.7,6,34,40,23,5,5,12,22,-12
03/31/2018,MIA,MIL @ DEN,W,265,110,39,91,42.9,10,35,28.6,22,28,78.6,7,40,47,28,11,5,17,24,1
03/28/2018,ORL,PHI @ ATL,W,240,111,40,87,46.0,12,34,35.3,19,22,86.4,11,37,48,28,6,5,9,17,7
03/25/2018,CLE,BOS @ PHX,L,240,114,38,83,45.8,17,37,45.9,21,26,80.8,7,31,38,27,7,3,10,23,-7
03/23/2018,TOR,MIL @ CHI,L,240,112,41,84,48.8,11,27,40.7,19,31,61.3,5,35,40,21,5,9,11,23,-4
03/21/2018,CHA,MIL @ CHI,L,240,105,39,93,41.9,13,37,35.1,14,21,66.7,10,36,46,22,6,11,13,36,-6
03/19/2018,MEM,MEM @ BKN,W,240,118,36,72,50.0,16,40,40.0,30,40,75.0,9,32,41,27,5,9,22,22,3
03/17/2018,DAL,MEM @ BKN,W,240,114,43,84,51.2,14,36,38.9,14,19,73.7,10,33,43,25,4,6,10,14,8
03/16/2018,PHI,MEM @ BKN,L,240,116,40,89,44.9,15,30,50.0,21,27,77.8,11,36,47,25,4,5,12,22,-4
03/13/2018,TOR,DAL @ TOR,L,240,102,35,86,40.7,15,36,41.7,17,19,89.5,9,29,38,21,9,6,12,19,-14
03/11/2018,PHI,DEN @ LAL,L,240,97,33,85,38.8,10,28,35.7,21,24,87.5,13,29,42,17,5,5,18,19,-23
03/08/2018,CHA,CHI @ DET,W,240,125,47,92,51.1,11,32,34.4,20,22,90.9,9,34,43,30,7,7,12,27,14
03/06/2018,GSW,CHI @ DET,L,240,101,36,85,42.4,9,34,26.5,20,25,80.0,10,28,38,24,7,1,16,18,-13
03/04/2018,LAC,POR @ LAL,L,240,120,40,92,43.5,19,45,42.2,21,23,91.3,13,31,44,30,8,4,14,21,-3
03/01/2018,SAC,DEN @ MEM,L,265,111,40,96,41.7,17,46,37.0,14,17,82.4,16,35,51,27,10,4,22,14,-5
02/27/2018,CLE,DEN @ MEM,L,240,123,44,82,53.7,12,32,37.5,23,30,76.7,3,33,36,29,6,0,13,21,-6
02/26/2018,CHI,ORL @ OKC,W,240,104,40,90,44.4,16,42,38.1,8,8,100,7,41,48,31,4,9,15,20,17
02/22/2018,CHA,MIA @ NOP,L,240,96,36,93,38.7,14,43,32.6,10,14,71.4,11,30,41,27,6,8,10,23,-15
02/14/2018,IND,MIA @ NOP,L,240,103,35,83,42.2,13,35,37.1,20,27,74.1,9,35,44,24,4,2,14,20,-5
02/12/2018,LAC,SAC @ HOU,L,240,101,41,89,46.1,12,40,30.0,7,10,70.0,10,27,37,27,10,6,13,15,-13
02/10/2018,NOP,WAS @ CHI,L,290,128,43,114,37.7,21,59,35.6,21,22,95.5,18,42,60,30,10,3,17,30,-10
02/07/2018,DET,WAS @ CHI,L,240,106,39,90,43.3,17,51,33.3,11,12,91.7,8,42,50,33,4,6,20,20,-9
02/06/2018,HOU,SAS @ PHX,L,240,113,41,85,48.2,16,35,45.7,15,17,88.2,10,27,37,24,8,2,11,17,-10
02/04/2018,MIL,SAS @ PHX,L,240,94,37,90,41.1,9,29,31.0,11,14,78.6,11,25,36,25,5,1,9,19,-15
02/02/2018,LAL,DAL @ SAC,L,240,99,37,82,45.1,9,29,31.0,16,23,69.6,5,33,38,20,7,8,12,18,-3
01/31/2018,PHI,LAL @ ORL,W,240,116,39,77,50.6,13,32,40.6,25,28,89.3,9,30,39,19,3,9,14,26,8
01/30/2018,NYK,LAL @ ORL,L,240,95,36,87,41.4,9,37,24.3,14,16,87.5,11,38,49,15,6,3,18,21,-16
01/27/2018,MIN,CHA @ MIA,L,240,97,38,82,46.3,9,30,30.0,12,15,80.0,11,32,43,22,3,7,16,19,-14
01/26/2018,MIL,CHA @ MIA,L,240,91,33,89,37.1,8,34,23.5,17,20,85.0,11,34,45,18,5,2,14,19,-25
01/23/2018,OKC,MIN @ POR,L,240,108,37,79,46.8,16,38,42.1,18,25,72.0,8,37,45,27,1,5,14,25,-1
01/21/2018,DET,MIN @ POR,W,240,101,37,80,46.3,13,31,41.9,14,20,70.0,7,39,46,23,1,3,15,18,1
01/19/2018,MIA,TOR @ MIN,W,240,101,36,76,47.4,9,32,28.1,20,26,76.9,10,34,44,20,5,8,14,18,6
01/17/2018,SAS,DEN @ LAC,L,240,95,35,83,42.2,13,36,36.1,12,18,66.7,6,41,47,23,3,1,14,28,-5
01/15/2018,NYK,DEN @ LAC,L,240,104,32,87,36.8,11,32,34.4,29,36,80.6,11,34,45,16,5,3,11,23,-15
01/13/2018,WAS,OKC @ CHA,L,265,113,42,99,42.4,12,43,27.9,17,20,85.0,13,34,47,28,6,3,16,22,-6
01/12/2018,ATL,OKC @ CHA,W,240,110,40,87,46.0,13,34,38.2,17,26,65.4,13,30,43,29,8,1,15,24,5
01/10/2018,DET,OKC @ MIN,L,240,80,27,74,36.5,12,37,32.4,14,15,93.3,2,33,35,19,11,2,20,11,-34
01/08/2018,TOR,OKC @ MIN,L,265,113,39,100,39.0,12,33,36.4,23,28,82.1,11,44,55,22,8,2,16,27,-1
01/06/2018,BOS,OKC @ MIN,L,240,85,30,91,33.0,6,31,19.4,19,22,86.4,12,43,55,11,2,11,18,14,-2
01/03/2018,MIN,HOU @ DET,W,240,98,37,72,51.4,14,30,46.7,10,11,90.9,4,34,38,22,3,3,20,23,1
