,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/19/1992,MIA,DET @ CHI,W,240,109,44,84,52.4,1,4,25.0,20,24,83.3,14,33,47,24,7,3,8,16,16
04/15/1992,DET,MIN @ LAC,W,240,92,41,86,47.7,1,4,25.0,9,14,64.3,19,22,41,23,8,5,11,18,3
04/14/1992,PHL,MIN @ LAC,W,240,99,41,87,47.1,2,4,50.0,15,17,88.2,16,34,50,27,3,4,11,18,5
04/12/1992,CHH,MIL @ PHL,W,240,128,56,92,60.9,0,3,0.0,16,23,69.6,10,46,56,33,11,5,20,15,26
04/10/1992,MIL,MIL @ PHL,W,240,109,44,83,53.0,0,3,0.0,21,28,75.0,17,33,50,29,7,8,19,15,9
04/08/1992,NYK,CHH @ CLE,W,240,93,40,79,50.6,3,4,75.0,10,18,55.6,9,32,41,24,10,7,14,18,4
04/07/1992,CLE,CHH @ CLE,W,240,100,46,86,53.5,0,0,-,8,14,57.1,15,33,48,35,4,6,13,17,3
04/05/1992,CHI,CHH @ CLE,W,240,97,39,81,48.1,2,5,40.0,17,18,94.4,10,28,38,25,5,5,11,17,11
04/03/1992,IND,PHX @ LAL,L,240,97,42,97,43.3,0,5,0.0,13,16,81.3,14,36,50,32,12,3,12,21,-4
04/01/1992,WAS,MIA @ PHL,W,240,120,47,80,58.8,1,5,20.0,25,30,83.3,11,28,39,27,6,5,10,17,14
03/29/1992,ATL,MIA @ PHL,W,240,117,54,88,61.4,3,8,37.5,6,10,60.0,6,43,49,38,5,12,19,24,24
03/27/1992,DET,HOU @ POR,W,240,106,41,86,47.7,2,7,28.6,22,24,91.7,13,31,44,23,8,1,11,22,19
03/25/1992,NJN,BOS @ NJN,W,240,118,48,80,60.0,4,4,100,18,24,75.0,11,23,34,31,11,5,14,18,8
03/22/1992,GOS,BOS @ NJN,W,240,114,45,81,55.6,1,5,20.0,23,26,88.5,9,38,47,27,10,6,19,20,17
03/20/1992,DET,ORL @ CHI,W,265,104,44,98,44.9,2,5,40.0,14,14,100,17,36,53,27,8,0,8,18,5
03/18/1992,CLE,ORL @ CHI,W,240,96,44,87,50.6,1,4,25.0,7,9,77.8,13,29,42,24,5,3,11,24,2
03/17/1992,MIL,LAC @ HOU,L,240,106,45,91,49.5,1,6,16.7,15,21,71.4,12,29,41,31,8,6,16,15,-21
03/15/1992,POR,LAC @ HOU,W,290,152,55,100,55.0,2,9,22.2,40,48,83.3,9,35,44,38,10,6,13,34,4
03/13/1992,NJN,DEN @ MIA,L,240,108,41,81,50.6,0,6,0.0,26,30,86.7,12,26,38,22,9,4,16,19,-2
03/11/1992,CHI,DEN @ MIA,L,240,85,37,96,38.5,0,5,0.0,11,14,78.6,16,28,44,25,7,4,19,19,-34
03/10/1992,MIA,PHX @ CLE,L,240,101,37,80,46.3,0,2,0.0,27,33,81.8,11,33,44,19,2,6,13,27,-7
03/08/1992,ORL,PHX @ CLE,W,240,111,45,82,54.9,3,6,50.0,18,27,66.7,12,33,45,28,7,10,14,16,18
03/06/1992,LAC,NJN @ UTH,W,240,117,42,95,44.2,3,6,50.0,30,37,81.1,18,33,51,28,12,11,8,21,17
03/04/1992,ORL,NJN @ UTH,W,240,125,49,90,54.4,3,7,42.9,24,28,85.7,11,39,50,33,8,12,11,18,25
03/01/1992,DAL,WAS @ ORL,W,240,101,38,85,44.7,1,8,12.5,24,27,88.9,11,32,43,28,12,5,9,13,10
02/28/1992,ATL,BOS @ ATL,L,240,90,40,82,48.8,0,4,0.0,10,13,76.9,8,31,39,27,11,4,19,22,-12
02/26/1992,IND,BOS @ ATL,W,240,130,50,95,52.6,2,2,100,28,30,93.3,12,28,40,32,18,10,11,26,21
02/25/1992,NJN,BOS @ ATL,L,240,95,39,105,37.1,4,9,44.4,13,21,61.9,15,32,47,18,10,5,10,21,-14
02/23/1992,IND,UTH @ POR,L,240,95,39,89,43.8,0,3,0.0,17,22,77.3,13,29,42,24,8,5,11,23,-7
02/21/1992,CHH,UTH @ POR,W,240,113,47,88,53.4,0,2,0.0,19,26,73.1,13,37,50,27,3,7,16,17,3
02/19/1992,GOS,PHX @ GOS,L,240,112,42,89,47.2,2,5,40.0,26,34,76.5,22,31,53,22,8,5,17,27,-5
02/17/1992,UTH,PHX @ GOS,L,240,83,33,84,39.3,3,6,50.0,14,17,82.4,12,35,47,21,8,2,12,23,-5
02/16/1992,LAL,NYK @ MIA,W,240,114,48,82,58.5,0,3,0.0,18,23,78.3,17,35,52,29,5,2,22,21,7
02/14/1992,HOU,BOS @ HOU,L,240,99,40,90,44.4,2,8,25.0,17,25,68.0,17,26,43,24,4,7,13,16,-6
02/12/1992,DAL,BOS @ HOU,L,240,100,39,93,41.9,2,4,50.0,20,29,69.0,21,32,53,17,11,5,17,30,-8
02/11/1992,SAN,BOS @ HOU,L,240,84,36,80,45.0,1,6,16.7,11,16,68.8,10,32,42,17,10,1,19,18,-16
02/05/1992,HOU,NJN @ WAS,W,240,98,38,83,45.8,0,2,0.0,22,28,78.6,14,40,54,26,9,7,14,19,13
02/01/1992,PHL,LAL @ PHX,L,240,110,46,87,52.9,2,5,40.0,16,20,80.0,6,24,30,25,7,2,10,23,-16
01/31/1992,MIL,LAL @ PHX,L,240,100,37,86,43.0,2,6,33.3,24,31,77.4,18,28,46,17,8,4,19,27,-2
01/28/1992,WAS,DEN @ GOS,W,240,98,37,83,44.6,2,3,66.7,22,25,88.0,15,31,46,13,13,4,17,18,11
01/26/1992,DET,DEN @ GOS,W,240,106,44,81,54.3,0,0,-,18,21,85.7,15,24,39,23,9,5,12,17,15
01/24/1992,PHX,NYK @ LAC,L,240,93,38,95,40.0,0,1,0.0,17,20,85.0,17,25,42,22,9,8,9,18,-7
01/22/1992,ORL,CHI @ CHH,W,240,107,45,78,57.7,0,0,-,17,26,65.4,8,32,40,25,11,10,13,20,12
01/20/1992,CLE,CHI @ CHH,W,240,107,48,89,53.9,0,1,0.0,11,11,100,12,26,38,32,8,6,10,21,5
01/19/1992,SAN,CHI @ CHH,W,240,98,36,85,42.4,1,2,50.0,25,27,92.6,18,31,49,16,9,6,12,22,9
01/17/1992,PHL,SAN @ BOS,W,240,98,41,87,47.1,1,4,25.0,15,17,88.2,15,29,44,23,7,10,17,24,3
01/15/1992,NJN,NJN @ BOS,L,240,120,48,89,53.9,0,3,0.0,24,28,85.7,12,29,41,25,4,7,10,20,-10
01/11/1992,NYK,NJN @ BOS,L,240,96,38,80,47.5,0,5,0.0,20,24,83.3,8,28,36,13,4,2,7,22,-4
01/10/1992,MIN,PHL @ CLE,L,240,94,37,85,43.5,0,6,0.0,20,26,76.9,14,25,39,17,8,5,13,25,-10
01/08/1992,NYK,NYK @ BOS,W,240,99,39,82,47.6,0,0,-,21,22,95.5,16,24,40,18,7,4,11,17,4
01/06/1992,SAC,NYK @ BOS,W,240,110,39,85,45.9,1,2,50.0,31,36,86.1,12,33,45,22,9,13,13,16,2
01/04/1992,MIN,NYK @ BOS,L,240,96,42,91,46.2,0,2,0.0,12,16,75.0,18,34,52,19,4,12,11,21,-4
01/03/1992,CLE,NJN @ CHI,L,240,100,41,89,46.1,0,4,0.0,18,21,85.7,14,27,41,23,4,2,13,19,-11
12/30/1991,LAC,NJN @ CHI,W,240,97,38,91,41.8,2,4,50.0,19,26,73.1,18,38,56,22,6,8,15,26,11
12/28/1991,DEN,HOU @ CLE,L,240,90,35,93,37.6,1,8,12.5,19,23,82.6,16,40,56,15,4,10,15,27,-7
12/27/1991,SEA,HOU @ CLE,W,240,110,44,79,55.7,3,4,75.0,19,24,79.2,14,31,45,23,9,3,15,14,23
12/25/1991,CHI,DET @ ORL,L,240,99,39,90,43.3,1,3,33.3,20,28,71.4,12,30,42,20,5,6,17,21,-22
12/21/1991,MIA,DET @ ORL,L,240,101,42,87,48.3,0,2,0.0,17,20,85.0,15,25,40,20,3,3,15,25,-11
12/20/1991,UTH,NJN @ IND,W,240,112,44,87,50.6,3,7,42.9,21,25,84.0,13,29,42,29,8,10,12,17,11
12/18/1991,MIL,NJN @ IND,W,240,131,53,89,59.6,3,9,33.3,22,23,95.7,11,30,41,36,7,8,13,14,14
12/17/1991,ORL,LAL @ CHI,W,240,105,41,78,52.6,2,7,28.6,21,28,75.0,11,28,39,27,8,7,20,18,7
12/14/1991,NYK,LAL @ CHI,L,240,101,42,103,40.8,0,2,0.0,17,19,89.5,26,24,50,17,7,2,10,18,-10
12/13/1991,SEA,SEA @ BOS,W,240,117,48,81,59.3,0,3,0.0,21,24,87.5,8,35,43,28,7,5,15,13,20
12/09/1991,DEN,ORL @ UTH,W,240,132,56,101,55.4,3,10,30.0,17,21,81.0,14,38,52,35,11,9,14,17,38
12/06/1991,NYK,ORL @ UTH,W,240,103,37,83,44.6,3,5,60.0,26,30,86.7,16,34,50,23,6,3,10,19,11
12/04/1991,MIA,LAC @ DEN,W,240,124,50,84,59.5,3,6,50.0,21,23,91.3,13,31,44,37,10,7,15,22,27
11/30/1991,ATL,WAS @ POR,L,240,102,42,93,45.2,4,7,57.1,14,17,82.4,17,26,43,29,5,5,17,23,-27
11/29/1991,LAL,WAS @ POR,W,240,114,47,85,55.3,1,4,25.0,19,25,76.0,12,36,48,30,6,4,11,16,23
11/27/1991,ORL,NJN @ SAN,W,240,101,40,77,51.9,3,9,33.3,18,24,75.0,6,35,41,23,8,10,17,21,9
