,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/24/1994,NYK,CHH @ WAS,L,240,76,28,75,37.3,4,14,28.6,16,26,61.5,13,23,36,18,8,1,11,23,-16
04/22/1994,BOS,CHH @ WAS,L,290,94,38,99,38.4,3,10,30.0,15,24,62.5,16,38,54,23,7,5,15,26,-10
04/18/1994,ATL,UTH @ DEN,W,240,87,34,78,43.6,4,10,40.0,15,22,68.2,14,33,47,25,12,4,17,22,17
04/17/1994,ORL,GOS @ LAC,L,240,101,43,91,47.3,4,11,36.4,11,18,61.1,11,22,33,30,11,6,10,24,-17
04/15/1994,CHH,GOS @ LAC,W,240,88,36,84,42.9,4,11,36.4,12,14,85.7,12,36,48,23,3,5,12,20,3
04/13/1994,MIA,LAC @ SEA,W,240,96,35,74,47.3,7,16,43.8,19,28,67.9,9,28,37,19,7,6,14,21,6
04/12/1994,NJN,LAC @ SEA,W,240,111,49,88,55.7,3,7,42.9,10,13,76.9,13,34,47,35,7,9,16,27,6
04/09/1994,MIL,MIN @ SAN,W,240,125,50,81,61.7,4,8,50.0,21,25,84.0,11,37,48,40,10,5,19,21,26
04/08/1994,IND,MIN @ SAN,W,240,100,36,73,49.3,6,10,60.0,22,29,75.9,10,26,36,24,16,3,20,28,6
04/05/1994,WAS,CLE @ NYK,W,240,114,46,92,50.0,2,6,33.3,20,31,64.5,22,37,59,30,12,2,15,23,26
04/03/1994,DET,DEN @ PHX,W,240,96,34,81,42.0,3,7,42.9,25,33,75.8,12,26,38,25,10,1,13,17,3
04/01/1994,DET,DEN @ PHX,W,240,102,38,78,48.7,3,6,50.0,23,30,76.7,17,35,52,24,9,3,18,22,7
03/29/1994,PHL,HOU @ GOS,W,240,106,43,84,51.2,6,9,66.7,14,20,70.0,14,31,45,31,6,9,12,22,3
03/26/1994,IND,NJN @ WAS,W,240,90,31,68,45.6,1,10,10.0,27,37,73.0,16,22,38,22,11,4,17,25,2
03/25/1994,NJN,NJN @ WAS,L,240,87,37,89,41.6,1,7,14.3,12,14,85.7,13,34,47,19,13,3,21,23,-23
03/23/1994,PHL,NJN @ WAS,W,240,99,43,80,53.8,0,3,0.0,13,17,76.5,11,40,51,19,10,4,23,23,12
03/22/1994,NYK,ORL @ UTH,L,240,78,30,74,40.5,3,11,27.3,15,22,68.2,11,23,34,17,9,3,11,20,-9
03/20/1994,MIN,ORL @ UTH,W,240,90,41,89,46.1,2,5,40.0,6,10,60.0,10,34,44,30,8,6,11,24,10
03/18/1994,SEA,SAC @ SAN,W,240,87,38,75,50.7,2,11,18.2,9,16,56.3,13,26,39,26,8,2,16,19,3
03/16/1994,BOS,SAC @ SAN,W,240,101,40,80,50.0,1,3,33.3,20,25,80.0,13,32,45,23,6,4,17,25,1
03/15/1994,ORL,DET @ SEA,W,240,108,45,98,45.9,6,10,60.0,12,18,66.7,23,20,43,32,16,3,8,20,10
03/12/1994,SAC,DET @ SEA,W,240,111,47,93,50.5,3,11,27.3,14,22,63.6,20,26,46,31,12,6,14,21,17
03/11/1994,ATL,DAL @ LAC,L,240,77,33,75,44.0,0,5,0.0,11,13,84.6,13,25,38,13,3,3,21,23,-31
03/08/1994,ATL,LAC @ DAL,W,240,116,48,80,60.0,11,17,64.7,9,15,60.0,8,26,34,39,19,6,16,23,21
03/06/1994,CLE,LAC @ DAL,L,240,95,31,75,41.3,2,8,25.0,31,37,83.8,17,30,47,14,5,2,16,27,-4
03/04/1994,POR,LAC @ DAL,L,240,96,40,97,41.2,2,10,20.0,14,22,63.6,22,30,52,26,5,7,13,19,-19
03/02/1994,LAL,ORL @ DEN,L,240,89,38,87,43.7,6,19,31.6,7,12,58.3,22,27,49,26,2,2,15,23,-8
02/28/1994,CLE,ORL @ DEN,L,240,81,32,73,43.8,3,11,27.3,14,17,82.4,10,23,33,26,8,6,19,26,-8
02/26/1994,IND,HOU @ UTH,L,240,86,35,81,43.2,1,5,20.0,15,21,71.4,17,31,48,21,8,1,16,26,-10
02/25/1994,WAS,HOU @ UTH,W,240,116,51,88,58.0,2,4,50.0,12,14,85.7,12,27,39,36,7,11,10,16,22
02/23/1994,GOS,SAC @ LAC,W,240,123,49,89,55.1,2,5,40.0,23,26,88.5,12,49,61,36,7,3,19,22,23
02/21/1994,CHH,SAC @ LAC,W,240,118,47,78,60.3,3,6,50.0,21,28,75.0,13,34,47,36,7,4,17,15,25
02/20/1994,NYK,DAL @ DET,L,240,68,29,69,42.0,2,12,16.7,8,17,47.1,6,25,31,15,7,4,19,23,-18
02/18/1994,DEN,DAL @ DET,L,240,84,32,85,37.6,2,6,33.3,18,25,72.0,16,30,46,26,5,6,18,28,-25
02/16/1994,MIA,NJN @ BOS,L,240,101,41,79,51.9,3,11,27.3,16,24,66.7,10,24,34,26,9,3,13,28,-8
02/10/1994,MIL,GOS @ NYK,W,240,97,41,80,51.3,4,7,57.1,11,15,73.3,11,29,40,31,12,3,17,15,17
02/08/1994,LAC,GOS @ NYK,W,240,118,49,89,55.1,3,7,42.9,17,23,73.9,12,35,47,32,13,9,11,17,29
02/06/1994,PHX,GOS @ IND,L,240,88,32,82,39.0,6,14,42.9,18,23,78.3,13,23,36,23,6,2,7,25,-1
02/04/1994,GOS,GOS @ IND,W,240,101,37,81,45.7,2,8,25.0,25,35,71.4,15,24,39,22,12,6,14,23,2
02/03/1994,UTH,DEN @ SAC,W,240,94,37,73,50.7,4,14,28.6,16,25,64.0,10,25,35,29,15,3,18,20,9
02/01/1994,DEN,DEN @ SAC,W,240,118,48,82,58.5,2,8,25.0,20,24,83.3,9,22,31,28,15,3,6,18,20
01/28/1994,MIL,NYK @ POR,W,240,113,44,86,51.2,5,13,38.5,20,25,80.0,11,29,40,34,14,3,13,27,17
01/27/1994,CLE,NYK @ POR,L,240,84,36,77,46.8,1,3,33.3,11,20,55.0,9,27,36,24,3,6,13,19,-16
01/24/1994,DET,DET @ GOS,W,240,92,36,84,42.9,2,4,50.0,18,22,81.8,17,28,45,28,8,1,11,19,6
01/22/1994,IND,ORL @ PHL,W,240,90,34,70,48.6,2,5,40.0,20,24,83.3,10,30,40,21,8,6,16,25,9
01/21/1994,IND,ORL @ PHL,W,240,96,40,83,48.2,2,7,28.6,14,22,63.6,17,18,35,25,10,5,9,14,1
01/19/1994,WAS,ORL @ PHL,W,240,84,39,88,44.3,2,7,28.6,4,8,50.0,13,27,40,25,15,6,18,23,1
01/17/1994,PHL,LAC @ ORL,W,240,121,53,96,55.2,5,8,62.5,10,12,83.3,17,27,44,40,16,1,13,12,30
01/15/1994,HOU,MIA @ SEA,W,240,82,36,78,46.2,0,5,0.0,10,15,66.7,8,36,44,23,4,3,14,20,6
01/14/1994,UTH,MIA @ SEA,W,240,107,42,84,50.0,3,8,37.5,20,27,74.1,17,32,49,26,3,8,14,19,16
01/12/1994,ATL,LAC @ PHL,L,240,81,32,72,44.4,0,3,0.0,17,22,77.3,10,28,38,19,11,3,27,16,-11
01/08/1994,DAL,LAC @ PHL,W,240,100,40,82,48.8,2,4,50.0,18,30,60.0,16,39,55,30,12,5,16,17,19
01/07/1994,WAS,PHL @ HOU,W,240,99,43,93,46.2,0,4,0.0,13,21,61.9,16,31,47,22,9,6,8,18,7
01/05/1994,ORL,PHL @ HOU,L,240,90,37,86,43.0,0,6,0.0,16,29,55.2,16,31,47,26,8,2,13,26,-15
01/04/1994,DET,PHL @ HOU,W,240,97,38,78,48.7,2,6,33.3,19,26,73.1,12,28,40,28,7,7,11,17,6
12/30/1993,CHH,DET @ CHI,L,240,95,38,85,44.7,0,5,0.0,19,24,79.2,12,32,44,17,4,3,15,22,-20
12/29/1993,NJN,PHL @ PHX,W,240,94,33,83,39.8,2,8,25.0,26,37,70.3,17,36,53,20,9,9,11,20,8
12/25/1993,ORL,MIN @ DEN,W,240,95,42,88,47.7,2,10,20.0,9,15,60.0,15,21,36,29,13,1,13,18,2
12/23/1993,DET,MIN @ DEN,W,240,81,34,72,47.2,2,6,33.3,11,16,68.8,12,26,38,22,10,4,16,24,9
12/22/1993,MIN,MIN @ DEN,W,240,106,40,82,48.8,5,8,62.5,21,32,65.6,14,26,40,28,15,4,16,23,8
12/20/1993,CHH,HOU @ SAN,W,240,109,48,96,50.0,2,5,40.0,11,13,84.6,21,28,49,32,7,3,13,22,12
