,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/16/2003,TOR,LAL @ GSW,W,240,96,38,94,40.4,3,5,60.0,17,22,77.3,17,34,51,24,9,8,14,21,10
04/14/2003,DET,LAL @ GSW,L,240,88,38,73,52.1,1,3,33.3,11,13,84.6,10,35,45,22,4,4,17,28,-1
04/12/2003,NYK,CLE @ DET,W,265,104,36,98,36.7,1,6,16.7,31,37,83.8,23,42,65,23,6,4,16,21,5
04/11/2003,ATL,CLE @ DET,L,240,89,39,90,43.3,4,10,40.0,7,15,46.7,16,37,53,24,7,6,19,21,-20
04/09/2003,NOH,GSW @ PHX,L,240,81,32,83,38.6,3,7,42.9,14,17,82.4,16,25,41,22,11,4,20,23,-19
04/08/2003,WAS,GSW @ PHX,L,240,91,37,82,45.1,3,9,33.3,14,18,77.8,19,30,49,25,7,5,23,23,-9
04/05/2003,NOH,PHX @ DEN,W,240,79,34,91,37.4,1,6,16.7,10,15,66.7,19,29,48,25,3,13,16,18,3
04/04/2003,MIL,PHX @ DEN,L,240,93,32,79,40.5,5,13,38.5,24,28,85.7,12,40,52,22,6,5,19,20,-2
04/02/2003,IND,HOU @ PHI,L,240,82,34,76,44.7,1,4,25.0,13,16,81.3,5,31,36,26,7,5,17,24,-21
03/29/2003,BOS,PHI @ ORL,L,240,106,43,85,50.6,9,18,50.0,11,14,78.6,10,33,43,27,8,8,14,22,-4
03/28/2003,BOS,GSW @ PHI,L,240,95,37,77,48.1,9,22,40.9,12,16,75.0,7,30,37,28,8,5,21,32,-9
03/26/2003,TOR,GSW @ PHI,L,240,83,31,81,38.3,3,14,21.4,18,20,90.0,12,35,47,17,8,5,23,14,-6
03/25/2003,GSW,GSW @ PHI,W,240,124,51,98,52.0,3,13,23.1,19,23,82.6,17,37,54,36,8,8,16,26,21
03/23/2003,NJN,MEM @ ORL,W,240,93,40,70,57.1,2,7,28.6,11,15,73.3,8,30,38,25,4,5,26,19,5
03/21/2003,ORL,MEM @ ORL,L,240,85,32,70,45.7,3,10,30.0,18,28,64.3,7,32,39,23,4,7,23,20,-24
03/19/2003,MEM,DET @ NYK,L,240,101,43,89,48.3,2,12,16.7,13,22,59.1,17,25,42,28,8,3,23,21,-27
03/18/2003,DAL,DET @ NYK,L,240,93,33,87,37.9,4,20,20.0,23,32,71.9,18,34,52,23,9,3,19,24,-21
03/16/2003,UTA,NJN @ BOS,W,240,122,50,83,60.2,7,11,63.6,15,22,68.2,13,36,49,34,8,7,15,22,27
03/11/2003,MIA,WAS @ DET,L,240,75,27,83,32.5,1,8,12.5,20,25,80.0,13,33,46,12,8,6,7,23,-2
03/08/2003,MEM,ORL @ WAS,L,240,89,33,70,47.1,7,17,41.2,16,24,66.7,8,23,31,17,10,4,28,26,-26
03/07/2003,NOH,ORL @ WAS,L,240,76,31,80,38.8,4,14,28.6,10,14,71.4,12,33,45,16,6,12,23,23,-26
03/05/2003,ATL,LAC @ BOS,L,240,105,40,95,42.1,2,13,15.4,23,28,82.1,23,19,42,25,8,6,15,25,-6
03/04/2003,NYK,DEN @ ATL,L,240,80,33,81,40.7,2,10,20.0,12,18,66.7,11,39,50,18,11,1,19,21,-9
