,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/24/1993,HOU,BOS @ WAS,W,240,128,49,95,51.6,10,20,50.0,20,24,83.3,14,23,37,21,14,0,16,22,5
04/23/1993,MIN,BOS @ WAS,W,240,103,35,74,47.3,1,8,12.5,32,45,71.1,12,34,46,20,8,5,20,24,3
04/21/1993,DEN,WAS @ MIA,L,240,112,44,90,48.9,2,6,33.3,22,28,78.6,10,24,34,19,8,7,15,20,-25
04/20/1993,LAC,WAS @ MIA,L,240,98,39,100,39.0,1,13,7.7,19,24,79.2,22,37,59,21,10,8,16,24,-9
04/17/1993,SAC,SAN @ SEA,L,265,107,43,107,40.2,6,16,37.5,15,23,65.2,22,36,58,26,5,4,13,27,-1
04/16/1993,DEN,SAN @ SEA,W,240,99,34,82,41.5,3,11,27.3,28,36,77.8,17,30,47,15,12,7,17,27,13
04/14/1993,LAL,BOS @ NJN,L,240,99,40,98,40.8,3,16,18.8,16,20,80.0,25,27,52,23,8,3,15,19,-13
04/12/1993,UTH,BOS @ NJN,L,240,94,40,94,42.6,5,19,26.3,9,17,52.9,16,27,43,16,4,6,11,22,-13
04/10/1993,GOS,CHI @ DET,L,240,94,36,99,36.4,7,21,33.3,15,22,68.2,17,31,48,23,8,2,13,29,-6
04/08/1993,POR,HOU @ UTH,L,240,107,45,88,51.1,6,12,50.0,11,20,55.0,10,32,42,27,6,4,20,30,-19
04/06/1993,SEA,HOU @ UTH,W,240,109,43,75,57.3,6,10,60.0,17,22,77.3,11,19,30,23,5,3,13,22,2
04/04/1993,LAC,DAL @ LAC,L,240,115,50,90,55.6,5,9,55.6,10,19,52.6,14,24,38,25,12,4,19,24,-4
04/02/1993,GOS,DAL @ LAC,L,240,93,39,100,39.0,2,13,15.4,13,21,61.9,23,21,44,19,11,3,19,28,-41
03/31/1993,SEA,WAS @ IND,L,240,96,35,77,45.5,4,15,26.7,22,29,75.9,14,31,45,21,6,6,19,24,-7
03/28/1993,SAN,WAS @ IND,L,240,107,44,85,51.8,7,17,41.2,12,17,70.6,19,17,36,25,9,1,17,32,-7
03/26/1993,BOS,POR @ CHH,L,240,97,38,78,48.7,2,9,22.2,19,23,82.6,15,23,38,21,7,4,18,30,-9
03/24/1993,WAS,POR @ CHH,W,240,101,41,74,55.4,6,13,46.2,13,20,65.0,8,25,33,28,7,0,18,29,3
03/23/1993,ATL,CHH @ NJN,L,240,107,44,91,48.4,6,14,42.9,13,15,86.7,20,20,40,21,9,1,15,30,-18
03/21/1993,NJN,CHH @ NJN,L,240,84,35,92,38.0,6,13,46.2,8,15,53.3,14,26,40,12,15,5,19,21,-22
03/19/1993,PHL,ORL @ DEN,W,240,89,37,82,45.1,5,8,62.5,10,17,58.8,14,24,38,25,10,1,20,23,2
03/17/1993,ORL,ORL @ DAL,W,240,102,37,80,46.3,4,8,50.0,24,35,68.6,12,31,43,18,6,7,16,26,6
03/15/1993,UTH,ORL @ DAL,L,240,96,37,87,42.5,2,7,28.6,20,26,76.9,12,29,41,22,9,8,18,30,-13
03/13/1993,SAC,ORL @ DAL,L,240,94,38,80,47.5,4,12,33.3,14,22,63.6,8,27,35,25,7,7,25,28,-28
03/12/1993,PHX,SEA @ MIA,L,240,98,40,90,44.4,1,5,20.0,17,23,73.9,16,26,42,15,10,7,23,27,-18
03/10/1993,POR,SEA @ MIA,L,240,96,35,85,41.2,5,11,45.5,21,28,75.0,9,32,41,20,9,3,20,36,-28
03/09/1993,SAN,MIA @ HOU,L,240,84,36,92,39.1,0,4,0.0,12,19,63.2,14,23,37,17,13,2,22,25,-35
03/06/1993,PHX,MIA @ HOU,L,240,102,40,91,44.0,6,14,42.9,16,19,84.2,14,31,45,24,8,2,17,31,-7
03/05/1993,HOU,HOU @ DAL,L,240,86,37,85,43.5,1,6,16.7,11,18,61.1,11,32,43,18,8,10,19,29,-19
03/03/1993,CHI,HOU @ DAL,L,240,97,41,80,51.3,3,5,60.0,12,17,70.6,8,16,24,26,7,2,13,19,-28
03/02/1993,MIL,LAL @ DEN,L,240,86,34,89,38.2,3,13,23.1,15,22,68.2,16,27,43,18,10,4,21,31,-34
02/28/1993,IND,LAL @ DEN,L,240,96,36,88,40.9,2,12,16.7,22,36,61.1,17,30,47,14,4,2,9,30,-14
02/26/1993,MIN,SAN @ MIA,L,240,89,33,75,44.0,3,11,27.3,20,26,76.9,8,21,29,21,9,4,17,29,-10
02/24/1993,DEN,SAN @ MIA,L,240,92,36,99,36.4,1,12,8.3,19,31,61.3,23,24,47,21,10,2,21,36,-21
02/17/1993,CLE,PHL @ DET,L,240,97,42,99,42.4,2,10,20.0,11,17,64.7,17,29,46,21,4,7,14,24,-27
02/16/1993,NYK,PHL @ DET,L,240,87,34,85,40.0,3,10,30.0,16,21,76.2,12,24,36,19,8,2,18,28,-30
02/13/1993,PHL,ORL @ DET,L,240,96,40,95,42.1,5,10,50.0,11,16,68.8,16,25,41,23,11,9,24,26,-23
02/12/1993,BOS,MIN @ IND,L,240,100,36,87,41.4,3,10,30.0,25,33,75.8,12,29,41,21,3,1,16,24,-9
02/10/1993,WAS,MIN @ IND,L,240,102,37,89,41.6,4,13,30.8,24,32,75.0,19,30,49,22,11,3,15,27,-8
02/08/1993,LAL,LAC @ SAN,L,265,100,37,79,46.8,1,9,11.1,25,34,73.5,8,41,49,18,9,6,21,33,-8
02/06/1993,DEN,LAC @ SAN,L,240,93,39,88,44.3,3,8,37.5,12,16,75.0,14,28,42,13,11,3,26,35,-18
02/05/1993,IND,LAC @ SAN,W,240,105,42,94,44.7,2,7,28.6,19,26,73.1,25,25,50,19,6,7,13,32,1
02/03/1993,HOU,MIN @ HOU,L,240,102,43,93,46.2,2,6,33.3,14,18,77.8,17,31,48,18,5,8,12,29,-17
02/01/1993,NJN,MIN @ HOU,L,240,96,36,79,45.6,3,7,42.9,21,32,65.6,17,31,48,22,6,5,26,35,-19
01/30/1993,PHX,SEA @ CHH,L,240,105,43,96,44.8,1,6,16.7,18,27,66.7,18,32,50,30,7,8,16,25,-21
01/29/1993,SAC,SEA @ CHH,L,240,120,47,94,50.0,3,10,30.0,23,28,82.1,14,33,47,22,5,8,16,33,-10
01/26/1993,CHI,ATL @ NYK,L,240,88,30,82,36.6,2,9,22.2,26,35,74.3,11,26,37,19,9,7,20,22,-35
01/24/1993,MIA,ATL @ NYK,L,240,106,36,75,48.0,1,8,12.5,33,44,75.0,15,23,38,15,6,2,16,31,-16
01/23/1993,ORL,HOU @ NJN,L,240,106,42,102,41.2,3,7,42.9,19,23,82.6,22,24,46,23,6,1,11,32,-21
01/21/1993,DEN,HOU @ NJN,L,240,94,37,93,39.8,2,9,22.2,18,23,78.3,22,26,48,16,6,6,17,19,-16
01/19/1993,DET,SEA @ LAL,W,240,113,45,81,55.6,6,10,60.0,17,25,68.0,11,38,49,22,2,2,18,31,10
