,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/16/2014,GSW,PHI @ MIA,L,240,112,37,84,44.0,9,34,26.5,29,35,82.9,9,33,42,23,4,4,19,28,-4
04/15/2014,LAC,PHI @ MIA,L,240,105,35,82,42.7,8,29,27.6,27,30,90.0,13,30,43,20,10,4,19,26,-12
04/12/2014,UTA,MEM @ PHX,W,240,101,35,84,41.7,7,22,31.8,24,29,82.8,14,38,52,23,5,5,18,26,7
04/10/2014,GSW,PHI @ MEM,W,240,100,39,104,37.5,10,34,29.4,12,19,63.2,25,38,63,23,9,5,17,18,1
04/09/2014,HOU,PHI @ MEM,W,240,123,50,101,49.5,11,28,39.3,12,14,85.7,10,34,44,31,10,8,11,21,7
04/06/2014,HOU,DEN @ HOU,L,265,125,51,107,47.7,14,31,45.2,9,13,69.2,15,39,54,28,8,8,21,24,-5
04/04/2014,MEM,DEN @ HOU,L,240,92,29,80,36.3,7,23,30.4,27,32,84.4,14,32,46,16,7,4,20,27,-8
04/02/2014,NOP,SAC @ GSW,W,240,137,52,92,56.5,15,27,55.6,18,25,72.0,8,32,40,33,8,12,11,29,30
03/31/2014,MEM,MEM @ DEN,L,240,92,36,73,49.3,6,20,30.0,14,24,58.3,11,32,43,20,7,3,14,23,-2
03/28/2014,SAS,IND @ WAS,L,240,102,35,87,40.2,6,23,26.1,26,35,74.3,10,31,41,15,7,8,12,19,-31
03/26/2014,SAS,IND @ WAS,L,240,103,38,83,45.8,7,19,36.8,20,25,80.0,9,34,43,22,13,6,18,22,-5
03/24/2014,OKC,NYK @ LAL,L,240,96,30,77,39.0,9,28,32.1,27,40,67.5,12,30,42,20,7,2,21,25,-21
03/23/2014,WAS,NYK @ LAL,W,240,105,40,91,44.0,11,27,40.7,14,18,77.8,10,28,38,26,15,6,15,20,3
03/21/2014,DAL,ORL @ UTA,L,240,106,40,81,49.4,13,30,43.3,13,21,61.9,10,25,35,24,8,4,16,19,-16
03/19/2014,DET,ORL @ UTA,W,240,118,44,86,51.2,11,27,40.7,19,27,70.4,10,36,46,27,7,5,12,24,9
03/17/2014,LAC,WAS @ SAC,W,240,110,38,93,40.9,6,25,24.0,28,33,84.8,19,36,55,22,11,4,17,23,10
03/15/2014,ATL,DEN @ ATL,L,240,92,34,83,41.0,8,25,32.0,16,25,64.0,12,42,54,27,7,7,21,24,-5
03/14/2014,MIA,DEN @ ATL,W,240,111,39,82,47.6,8,21,38.1,25,29,86.2,9,32,41,26,13,2,17,21,4
03/12/2014,ORL,DEN @ ATL,W,240,120,47,92,51.1,10,22,45.5,16,24,66.7,12,40,52,30,4,6,14,16,8
03/10/2014,CHA,NYK @ BOS,L,240,98,36,83,43.4,5,24,20.8,21,31,67.7,6,37,43,16,4,5,15,23,-7
03/09/2014,NOP,NYK @ BOS,L,265,107,40,85,47.1,7,23,30.4,20,26,76.9,12,33,45,28,11,6,27,30,-4
03/07/2014,LAL,NYK @ CLE,W,240,134,54,99,54.5,14,24,58.3,12,21,57.1,7,36,43,36,8,4,13,24,8
03/05/2014,DAL,CHI @ DET,W,240,115,37,79,46.8,11,24,45.8,30,36,83.3,16,27,43,27,12,6,15,16,5
03/03/2014,MIN,CHI @ DET,L,240,128,50,95,52.6,12,33,36.4,16,25,64.0,9,32,41,23,9,5,18,37,-4
03/01/2014,POR,WAS @ PHI,L,240,96,33,83,39.8,7,23,30.4,23,35,65.7,10,30,40,20,4,2,11,24,-6
02/27/2014,BKN,WAS @ PHI,L,240,89,30,81,37.0,6,22,27.3,23,33,69.7,15,31,46,14,6,6,24,22,-23
