,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/13/2004,TOR,NOH @ WAS,L,240,78,29,75,38.7,1,8,12.5,19,25,76.0,9,30,39,19,10,2,12,19,-9
04/12/2004,WAS,NOH @ WAS,W,240,101,39,75,52.0,8,15,53.3,15,16,93.8,11,31,42,29,11,6,27,17,22
04/10/2004,ORL,SAS @ POR,W,240,101,43,88,48.9,6,16,37.5,9,15,60.0,11,23,34,34,12,6,7,14,12
04/09/2004,TOR,SAS @ POR,W,240,74,26,77,33.8,3,13,23.1,19,31,61.3,17,38,55,19,6,3,19,15,8
04/06/2004,ORL,NJN @ IND,W,240,102,42,82,51.2,6,13,46.2,12,19,63.2,11,30,41,33,10,11,15,19,16
04/04/2004,IND,MEM @ UTA,W,240,79,27,70,38.6,4,11,36.4,21,30,70.0,6,34,40,18,7,9,11,21,18
04/02/2004,MIA,MIA @ DET,W,240,92,32,80,40.0,7,14,50.0,21,26,80.8,9,32,41,20,5,11,11,23,8
03/31/2004,LAC,MIA @ DET,W,240,108,37,77,48.1,7,18,38.9,27,39,69.2,10,24,34,29,18,6,10,22,9
03/27/2004,NYK,CLE @ SAS,W,240,100,38,82,46.3,3,9,33.3,21,26,80.8,12,31,43,28,9,8,9,22,15
03/25/2004,SAS,NJN @ BOS,L,240,75,33,73,45.2,3,10,30.0,6,13,46.2,7,24,31,24,11,4,17,23,-9
03/23/2004,NOH,NJN @ BOS,L,240,81,31,74,41.9,5,17,29.4,14,19,73.7,8,31,39,19,9,8,16,20,-1
03/21/2004,CLE,LAC @ DEN,W,240,96,36,79,45.6,4,15,26.7,20,22,90.9,8,30,38,25,9,5,7,24,20
03/19/2004,DEN,LAC @ DEN,W,240,94,40,75,53.3,2,9,22.2,12,20,60.0,7,29,36,30,10,8,15,12,19
03/18/2004,NJN,DEN @ DET,W,240,89,33,73,45.2,6,9,66.7,17,20,85.0,15,32,47,22,10,4,18,24,18
03/14/2004,PHI,PHX @ HOU,W,240,85,32,64,50.0,6,15,40.0,15,24,62.5,5,25,30,23,8,10,16,19,16
03/10/2004,CHI,CHI @ NJN,W,240,98,41,75,54.7,5,13,38.5,11,14,78.6,6,37,43,26,12,9,22,16,33
03/07/2004,SEA,PHX @ DAL,W,240,86,33,73,45.2,7,24,29.2,13,14,92.9,11,23,34,22,10,3,12,18,21
03/06/2004,DEN,PHX @ DAL,W,240,97,40,83,48.2,4,15,26.7,13,17,76.5,22,34,56,33,10,8,18,17,31
03/04/2004,POR,IND @ UTA,W,240,83,34,77,44.2,5,20,25.0,10,15,66.7,16,35,51,22,8,9,14,17,15
03/01/2004,UTA,NOH @ WAS,L,240,86,26,70,37.1,3,15,20.0,31,38,81.6,11,29,40,13,7,10,15,22,-8
02/29/2004,LAC,NOH @ WAS,W,240,100,33,68,48.5,4,14,28.6,30,39,76.9,8,33,41,23,7,7,12,15,12
02/27/2004,ATL,NOH @ WAS,W,240,105,38,74,51.4,5,10,50.0,24,37,64.9,11,36,47,31,9,11,15,19,22
02/25/2004,CHI,PHX @ SEA,W,240,107,35,73,47.9,4,6,66.7,33,44,75.0,14,25,39,25,9,8,15,25,19
02/23/2004,PHI,GSW @ IND,W,240,76,26,63,41.3,2,7,28.6,22,28,78.6,8,36,44,12,10,14,22,17,10
02/22/2004,ORL,GSW @ IND,L,240,86,32,77,41.6,5,14,35.7,17,26,65.4,15,31,46,24,5,8,12,22,-1
02/20/2004,MIN,MIN @ DET,L,240,87,33,77,42.9,4,12,33.3,17,25,68.0,15,36,51,20,4,5,16,22,-1
02/18/2004,MIL,MIN @ DET,W,240,102,37,87,42.5,5,16,31.3,23,40,57.5,14,32,46,22,11,14,10,29,4
02/17/2004,NYK,DET @ NYK,L,240,88,33,92,35.9,6,13,46.2,16,19,84.2,18,27,45,14,11,5,10,21,-4
02/11/2004,SAC,DET @ NYK,L,240,94,38,80,47.5,4,9,44.4,14,21,66.7,18,30,48,24,11,3,15,19,-2
02/10/2004,NJN,DET @ NYK,L,240,78,30,79,38.0,2,10,20.0,16,23,69.6,7,28,35,16,10,6,15,26,-11
02/07/2004,DAL,TOR @ PHX,L,240,108,40,72,55.6,2,6,33.3,26,31,83.9,11,24,35,22,8,5,18,25,-3
02/06/2004,NOH,TOR @ PHX,L,240,81,30,78,38.5,2,15,13.3,19,24,79.2,13,29,42,15,3,9,13,24,-11
02/03/2004,CLE,SEA @ PHX,L,240,82,33,86,38.4,3,9,33.3,13,23,56.5,15,34,49,17,3,9,14,18,-3
02/02/2004,MIA,GSW @ MEM,W,265,102,37,90,41.1,5,14,35.7,23,31,74.2,17,27,44,19,8,5,11,22,2
01/31/2004,MEM,GSW @ MEM,W,240,80,34,79,43.0,1,9,11.1,11,16,68.8,15,30,45,17,9,7,16,21,2
01/30/2004,TOR,LAC @ MIA,W,265,90,33,82,40.2,2,7,28.6,22,27,81.5,10,35,45,11,8,3,18,21,1
01/28/2004,BOS,LAC @ MIA,W,240,106,32,72,44.4,5,13,38.5,37,43,86.0,7,29,36,17,9,5,13,22,3
01/25/2004,ATL,NJN @ PHI,L,240,82,30,70,42.9,1,12,8.3,21,30,70.0,12,26,38,18,7,9,19,20,-9
01/23/2004,MIN,DET @ MIN,L,240,79,27,72,37.5,6,12,50.0,19,23,82.6,9,36,45,19,8,8,16,15,-1
01/20/2004,IND,DET @ MIN,L,240,69,25,64,39.1,1,5,20.0,18,27,66.7,9,29,38,18,2,4,21,20,-12
01/19/2004,SAS,NJN @ DAL,W,240,85,30,73,41.1,8,17,47.1,17,21,81.0,12,31,43,19,10,8,18,17,8
01/17/2004,MIL,NJN @ DAL,W,240,99,38,74,51.4,2,6,33.3,21,23,91.3,11,34,45,21,8,7,18,21,5
01/16/2004,WAS,SEA @ WAS,W,240,98,40,77,51.9,7,15,46.7,11,15,73.3,14,34,48,31,9,12,20,13,21
01/14/2004,TOR,SEA @ WAS,W,240,95,30,79,38.0,3,14,21.4,32,41,78.0,16,38,54,15,3,5,11,18,4
01/13/2004,CHI,SEA @ WAS,W,240,105,37,86,43.0,7,15,46.7,24,31,77.4,22,34,56,24,3,4,13,18,16
01/11/2004,DAL,DET @ CHI,W,240,115,40,78,51.3,13,20,65.0,22,30,73.3,13,27,40,28,8,7,16,19,13
01/07/2004,HOU,IND @ DAL,W,240,85,31,78,39.7,6,15,40.0,17,23,73.9,13,37,50,22,8,8,10,20,19
01/05/2004,BOS,LAL @ MIN,W,240,78,34,83,41.0,1,12,8.3,9,12,75.0,10,40,50,18,11,6,17,20,10
01/03/2004,GSW,LAL @ MIN,W,240,99,39,77,50.6,6,10,60.0,15,18,83.3,7,30,37,27,8,8,13,20,6
01/02/2004,PHX,SAC @ LAC,W,240,93,35,90,38.9,5,21,23.8,18,19,94.7,21,33,54,26,6,6,14,15,12
12/31/2003,POR,SAC @ LAC,W,240,78,32,77,41.6,4,7,57.1,10,12,83.3,11,30,41,22,8,9,10,12,7
12/29/2003,NOH,TOR @ DEN,W,240,108,42,77,54.5,6,14,42.9,18,26,69.2,11,29,40,22,4,5,18,25,9
12/27/2003,ATL,TOR @ DEN,W,240,87,36,84,42.9,6,19,31.6,9,12,75.0,14,28,42,17,5,5,11,15,3
12/26/2003,NJN,TOR @ UTA,L,240,79,31,82,37.8,5,18,27.8,12,18,66.7,11,33,44,20,4,10,12,22,-3
12/23/2003,MIL,TOR @ UTA,L,240,78,31,86,36.0,4,14,28.6,12,18,66.7,22,31,53,16,6,4,13,20,-5
12/21/2003,UTA,MEM @ SAC,W,240,96,36,67,53.7,6,13,46.2,18,26,69.2,9,26,35,24,4,3,20,29,21
12/19/2003,IND,MEM @ SAC,L,240,75,28,63,44.4,2,7,28.6,17,22,77.3,9,31,40,15,7,9,19,19,-5
12/17/2003,CHI,CLE @ PHI,W,240,77,32,69,46.4,0,6,0.0,13,18,72.2,10,30,40,21,7,10,20,23,4
12/12/2003,SEA,ORL @ CHI,L,240,72,29,76,38.2,0,8,0.0,14,17,82.4,20,18,38,16,4,8,19,19,-21
12/11/2003,CLE,DEN @ PHI,L,240,86,28,78,35.9,3,8,37.5,27,32,84.4,10,18,28,19,12,2,14,25,-9
12/09/2003,PHI,DEN @ PHI,L,240,76,28,75,37.3,7,14,50.0,13,16,81.3,9,30,39,18,7,14,14,18,-2
12/06/2003,HOU,GSW @ MIN,L,240,80,27,66,40.9,1,7,14.3,25,34,73.5,3,29,32,13,6,1,11,15,-6
12/03/2003,MIA,SAS @ ORL,W,240,87,29,81,35.8,1,6,16.7,28,33,84.8,19,35,54,15,8,14,11,21,14
12/01/2003,NYK,IND @ PHX,W,265,79,28,73,38.4,2,8,25.0,21,28,75.0,10,32,42,16,15,5,24,19,1
11/29/2003,WAS,IND @ PHX,W,240,80,27,66,40.9,3,6,50.0,23,29,79.3,11,36,47,14,7,2,15,19,11
11/28/2003,CLE,CLE @ DET,W,240,92,32,78,41.0,3,6,50.0,25,34,73.5,12,32,44,21,5,6,13,20,4
11/26/2003,PHI,CLE @ DET,L,240,86,33,72,45.8,6,18,33.3,14,19,73.7,10,26,36,18,8,7,20,20,-4
11/24/2003,ATL,CLE @ DET,W,240,94,35,83,42.2,2,11,18.2,22,27,81.5,14,25,39,18,12,4,13,22,5
11/23/2003,NOH,DET @ ATL,L,240,80,32,80,40.0,5,16,31.3,11,17,64.7,18,36,54,28,3,6,18,14,-1
11/21/2003,NYK,DET @ ATL,W,240,94,31,78,39.7,3,11,27.3,29,37,78.4,12,35,47,17,7,14,14,23,9
11/19/2003,MEM,MEM @ SEA,W,240,99,37,77,48.1,5,7,71.4,20,27,74.1,16,30,46,20,8,7,18,26,7
11/18/2003,LAL,MEM @ SEA,W,240,106,42,74,56.8,2,9,22.2,20,24,83.3,14,32,46,23,6,5,17,24,10
11/15/2003,PHX,WAS @ ATL,W,240,100,35,74,47.3,3,8,37.5,27,39,69.2,10,26,36,15,12,4,10,18,9
11/14/2003,LAL,WAS @ ATL,L,240,89,37,87,42.5,2,10,20.0,13,13,100,12,24,36,22,8,8,15,28,-5
11/12/2003,GSW,MIN @ CHI,L,265,85,33,82,40.2,2,8,25.0,17,21,81.0,10,34,44,26,7,4,20,24,-2
11/11/2003,SAC,MIN @ CHI,L,240,91,31,78,39.7,2,7,28.6,27,35,77.1,11,36,47,9,6,5,16,26,-6
11/09/2003,NJN,DEN @ TOR,W,240,98,35,80,43.8,3,10,30.0,25,33,75.8,14,27,41,25,11,3,16,25,14
11/07/2003,MIL,DEN @ TOR,W,240,105,39,87,44.8,5,10,50.0,22,28,78.6,16,34,50,23,8,9,12,25,6
11/05/2003,BOS,IND @ NJN,W,240,96,33,80,41.3,8,18,44.4,22,32,68.8,21,24,45,19,12,5,18,19,8
11/01/2003,ORL,UTA @ DAL,W,240,96,35,84,41.7,3,7,42.9,23,28,82.1,18,32,50,17,7,5,15,17,11
10/31/2003,MIA,UTA @ DAL,W,240,93,30,69,43.5,5,14,35.7,28,35,80.0,14,26,40,15,6,9,16,27,12
