,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/24/1994,SAC,CHH @ WAS,L,240,97,42,95,44.2,3,18,16.7,10,19,52.6,17,32,49,27,12,4,20,23,-8
04/23/1994,LAL,CHH @ WAS,W,240,126,50,97,51.5,5,15,33.3,21,27,77.8,18,42,60,39,7,8,14,14,35
04/21/1994,SAC,UTH @ DEN,W,240,121,50,90,55.6,6,11,54.5,15,23,65.2,14,40,54,38,10,3,19,20,25
04/18/1994,LAC,GOS @ LAC,W,265,134,56,109,51.4,4,14,28.6,18,26,69.2,17,28,45,35,18,6,15,15,3
04/16/1994,UTH,GOS @ LAC,W,240,109,41,81,50.6,4,13,30.8,23,37,62.2,14,34,48,30,7,5,23,22,4
04/14/1994,POR,LAC @ SEA,W,240,113,43,91,47.3,6,16,37.5,21,35,60.0,13,26,39,30,10,4,17,17,5
04/12/1994,LAL,LAC @ SEA,W,240,128,52,87,59.8,1,5,20.0,23,38,60.5,11,30,41,36,10,11,13,15,11
04/11/1994,DAL,MIN @ SAN,W,240,122,46,96,47.9,7,14,50.0,23,30,76.7,16,34,50,33,15,6,16,10,14
04/09/1994,MIN,MIN @ SAN,W,240,117,43,81,53.1,3,12,25.0,28,42,66.7,14,27,41,29,11,8,19,25,12
04/07/1994,HOU,CLE @ NYK,L,240,102,45,93,48.4,2,9,22.2,10,19,52.6,13,23,36,28,9,4,16,19,-32
04/05/1994,SAN,CLE @ NYK,W,240,106,47,84,56.0,2,4,50.0,10,19,52.6,16,20,36,21,9,4,13,16,5
04/02/1994,SEA,DEN @ PHX,L,240,109,41,84,48.8,7,13,53.8,20,30,66.7,21,27,48,22,8,5,31,33,-10
04/01/1994,MIN,DEN @ PHX,W,240,146,60,96,62.5,7,17,41.2,19,28,67.9,13,28,41,45,12,8,12,24,37
03/30/1994,HOU,HOU @ GOS,L,240,104,41,87,47.1,4,10,40.0,18,29,62.1,10,33,43,30,5,3,14,21,-10
03/29/1994,UTH,HOU @ GOS,W,240,116,40,83,48.2,4,10,40.0,32,47,68.1,16,31,47,21,11,10,10,19,3
03/26/1994,SAN,NJN @ WAS,L,240,101,41,79,51.9,4,12,33.3,15,21,71.4,6,27,33,30,6,8,15,27,-11
03/24/1994,MIL,NJN @ WAS,W,240,114,45,84,53.6,2,10,20.0,22,34,64.7,14,22,36,29,12,4,17,24,2
03/22/1994,ORL,ORL @ UTH,W,240,117,48,87,55.2,3,11,27.3,18,29,62.1,13,28,41,34,9,8,20,20,1
03/19/1994,DAL,SAC @ SAN,W,240,116,45,88,51.1,2,6,33.3,24,29,82.8,23,30,53,23,9,8,19,21,9
03/17/1994,HOU,SAC @ SAN,L,240,99,43,101,42.6,5,16,31.3,8,12,66.7,16,28,44,21,12,5,13,20,-13
03/15/1994,WAS,DET @ SEA,W,240,123,53,89,59.6,3,10,30.0,14,21,66.7,13,33,46,33,12,9,20,27,30
03/13/1994,LAC,DET @ SEA,L,265,117,49,97,50.5,4,15,26.7,15,23,65.2,16,30,46,26,17,8,23,20,-3
