,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/17/2002,LAC,LAC @ GSW,W,240,107,39,83,47.0,5,10,50.0,24,28,85.7,9,38,47,25,11,10,14,25,4
04/16/2002,SAC,LAC @ GSW,L,240,106,44,92,47.8,5,15,33.3,13,16,81.3,8,27,35,20,9,6,11,22,-14
04/13/2002,UTA,BOS @ MIN,L,240,101,39,82,47.6,10,18,55.6,13,21,61.9,13,34,47,29,7,7,22,32,-8
04/12/2002,DEN,MIL @ IND,L,240,89,35,78,44.9,3,15,20.0,16,25,64.0,14,28,42,22,8,7,26,24,-8
04/10/2002,SAC,MIL @ IND,L,240,116,46,103,44.7,6,18,33.3,18,29,62.1,24,28,52,26,13,4,18,21,-2
04/08/2002,MIN,HOU @ MIA,L,240,93,37,88,42.0,8,21,38.1,11,15,73.3,14,29,43,22,5,7,11,23,-7
04/06/2002,POR,HOU @ MIA,L,240,86,39,88,44.3,2,13,15.4,6,9,66.7,10,29,39,26,6,7,19,12,-27
04/05/2002,DEN,HOU @ MEM,W,240,108,41,88,46.6,4,14,28.6,22,33,66.7,16,38,54,20,10,11,20,29,4
04/02/2002,POR,DET @ MIA,W,240,107,46,85,54.1,10,20,50.0,5,9,55.6,12,30,42,23,8,6,13,22,16
03/30/2002,MEM,DET @ MIA,L,240,99,39,94,41.5,0,12,0.0,21,28,75.0,21,29,50,23,11,5,15,17,-6
03/29/2002,DET,ATL @ MIA,L,240,103,39,87,44.8,9,19,47.4,16,24,66.7,14,33,47,23,5,6,18,29,-7
03/27/2002,BOS,ATL @ MIA,L,240,99,36,90,40.0,10,22,45.5,17,26,65.4,18,38,56,25,9,3,18,22,-3
03/26/2002,MIN,ATL @ MIA,W,240,115,44,85,51.8,6,17,35.3,21,26,80.8,12,36,48,29,6,8,15,27,9
03/24/2002,HOU,CHI @ ORL,L,240,104,39,92,42.4,5,18,27.8,21,24,87.5,14,20,34,18,8,7,11,22,-12
03/23/2002,UTA,CHI @ ORL,L,240,103,36,81,44.4,5,19,26.3,26,37,70.3,10,27,37,24,9,12,14,23,-9
03/21/2002,LAC,SEA @ DEN,L,240,96,36,87,41.4,5,14,35.7,19,25,76.0,15,31,46,17,4,3,10,26,-20
03/19/2002,SEA,GSW @ SEA,L,240,93,35,72,48.6,4,13,30.8,19,29,65.5,11,18,29,23,9,2,19,21,-17
03/18/2002,WAS,GSW @ SEA,L,240,96,33,76,43.4,10,28,35.7,20,31,64.5,17,27,44,26,3,6,16,22,-3
03/16/2002,DAL,GSW @ SEA,L,240,100,38,79,48.1,4,14,28.6,20,28,71.4,13,29,42,16,8,5,19,19,-17
03/14/2002,LAL,PHX @ CHH,L,240,102,36,88,40.9,5,14,35.7,25,33,75.8,13,35,48,17,8,6,14,31,-8
03/12/2002,IND,SEA @ HOU,L,240,101,38,87,43.7,3,14,21.4,22,31,71.0,15,32,47,13,8,5,18,26,-14
03/11/2002,ATL,SEA @ HOU,L,240,96,33,81,40.7,3,9,33.3,27,39,69.2,16,29,45,14,5,5,13,17,-25
03/09/2002,DAL,SEA @ HOU,L,240,105,41,83,49.4,5,14,35.7,18,29,62.1,14,32,46,23,8,5,16,23,-2
03/08/2002,HOU,POR @ DEN,W,240,108,38,89,42.7,3,12,25.0,29,33,87.9,16,42,58,20,8,4,13,20,13
03/05/2002,SAS,CLE @ PHI,L,240,88,36,89,40.4,5,7,71.4,11,18,61.1,15,33,48,20,7,3,18,19,-21
03/02/2002,LAC,CHI @ NJN,L,240,95,38,79,48.1,3,11,27.3,16,24,66.7,20,23,43,19,6,6,18,23,-14
03/01/2002,SAC,CHI @ NJN,L,240,108,40,91,44.0,3,12,25.0,25,31,80.6,20,29,49,26,11,3,18,18,-8
02/27/2002,DEN,MIA @ PHI,W,240,110,32,71,45.1,3,11,27.3,43,52,82.7,17,44,61,22,10,9,30,27,17
02/25/2002,IND,MIA @ PHI,L,265,97,36,102,35.3,4,13,30.8,21,30,70.0,17,36,53,20,9,12,11,40,-5
02/23/2002,CHI,MIN @ SAS,L,240,91,35,91,38.5,2,12,16.7,19,22,86.4,12,30,42,20,10,12,15,14,-14
02/22/2002,MIL,MIN @ SAS,L,240,112,46,83,55.4,6,14,42.9,14,20,70.0,9,23,32,25,5,9,13,23,-4
02/20/2002,PHI,GSW @ PHI,L,240,107,34,83,41.0,4,10,40.0,35,48,72.9,20,30,50,18,9,7,22,26,-7
02/19/2002,NJN,GSW @ PHI,L,240,115,45,102,44.1,2,15,13.3,23,29,79.3,24,28,52,27,8,8,14,27,-8
02/17/2002,ATL,MEM @ CHH,L,240,94,29,79,36.7,5,16,31.3,31,45,68.9,15,36,51,18,7,17,18,23,-6
02/15/2002,SAS,MEM @ CHH,L,240,99,34,83,41.0,5,20,25.0,26,31,83.9,19,27,46,14,7,6,18,32,-9
02/13/2002,BOS,MEM @ CHH,W,240,92,36,94,38.3,4,18,22.2,16,23,69.6,18,43,61,21,7,11,18,23,17
02/05/2002,SEA,HOU @ CLE,L,240,87,33,78,42.3,2,10,20.0,19,22,86.4,18,22,40,18,7,3,17,16,-26
02/03/2002,PHX,HOU @ CLE,L,240,97,40,89,44.9,5,12,41.7,12,19,63.2,12,25,37,28,7,6,11,18,-1
02/01/2002,PHX,LAC @ BOS,L,240,98,38,96,39.6,3,10,30.0,19,22,86.4,19,24,43,21,12,7,15,26,-6
01/29/2002,HOU,MIN @ PHI,L,265,96,40,95,42.1,6,17,35.3,10,18,55.6,16,28,44,21,7,6,18,24,-4
