,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/15/2015,UTA,BOS @ MIL,W,240,117,41,76,53.9,12,28,42.9,23,34,67.6,4,45,49,28,9,13,19,19,26
04/13/2015,CHA,NYK @ ATL,W,240,100,35,85,41.2,9,35,25.7,21,26,80.8,10,39,49,19,9,10,12,18,10
04/12/2015,NOP,NYK @ ATL,W,240,121,39,73,53.4,9,24,37.5,34,48,70.8,9,31,40,16,6,6,11,18,7
04/10/2015,SAS,MIN @ LAL,L,240,103,31,66,47.0,9,21,42.9,32,53,60.4,9,30,39,19,9,5,20,26,-1
04/08/2015,SAS,MIN @ LAL,L,240,98,39,84,46.4,10,25,40.0,10,16,62.5,8,31,39,25,7,3,15,12,-12
04/05/2015,OKC,CHA @ MIA,W,240,115,38,81,46.9,8,28,28.6,31,50,62.0,12,30,42,18,14,4,10,25,3
04/02/2015,DAL,DET @ CHI,W,240,108,34,77,44.2,11,31,35.5,29,40,72.5,17,38,55,24,9,2,20,24,7
04/01/2015,SAC,DET @ CHI,W,240,115,41,89,46.1,18,40,45.0,15,25,60.0,14,28,42,24,14,13,17,17,4
03/30/2015,TOR,HOU @ TOR,L,240,96,35,84,41.7,8,27,29.6,18,31,58.1,12,29,41,21,7,3,14,22,-3
03/29/2015,WAS,HOU @ TOR,W,240,99,34,80,42.5,9,29,31.0,22,33,66.7,16,37,53,18,12,6,20,25,8
03/27/2015,MIN,HOU @ TOR,W,240,120,44,83,53.0,20,44,45.5,12,17,70.6,13,28,41,34,10,6,18,26,10
03/25/2015,NOP,MIN @ HOU,W,240,95,40,81,49.4,6,22,27.3,9,12,75.0,12,31,43,29,7,4,18,22,2
03/23/2015,IND,SAS @ DAL,W,240,110,31,65,47.7,13,24,54.2,35,37,94.6,4,31,35,16,11,5,19,25,10
03/21/2015,PHX,SAS @ DAL,L,240,102,41,87,47.1,10,34,29.4,10,12,83.3,4,32,36,28,7,5,18,21,-15
03/19/2015,DEN,POR @ ORL,W,240,118,37,83,44.6,12,30,40.0,32,40,80.0,10,39,49,27,8,4,16,19,10
03/17/2015,ORL,ATL @ GSW,W,240,107,39,78,50.0,11,27,40.7,18,27,66.7,12,35,47,27,7,6,16,14,13
03/15/2015,LAC,ATL @ GSW,W,240,100,32,86,37.2,7,30,23.3,29,36,80.6,11,32,43,17,7,3,13,22,2
03/12/2015,UTA,BOS @ IND,L,240,91,34,79,43.0,7,32,21.9,16,24,66.7,8,29,37,19,8,2,9,22,-18
