,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/13/2011,ORL,NYK @ BOS,L,240,74,27,88,30.7,9,25,36.0,11,16,68.8,9,26,35,16,11,1,18,23,-18
04/10/2011,NYK,TOR @ MIL,L,240,109,39,88,44.3,5,14,35.7,26,33,78.8,12,36,48,20,4,4,14,25,-1
04/08/2011,ATL,TOR @ MIL,W,240,114,42,86,48.8,4,13,30.8,26,33,78.8,15,34,49,23,9,2,11,23,12
04/06/2011,WAS,DEN @ OKC,W,240,136,50,84,59.5,13,24,54.2,23,29,79.3,6,32,38,32,10,7,19,23,24
04/03/2011,NOH,PHX @ CHI,L,240,96,37,81,45.7,9,26,34.6,13,19,68.4,11,22,33,21,8,6,12,23,-12
04/01/2011,MIL,MEM @ NOH,W,240,89,36,78,46.2,3,11,27.3,14,19,73.7,13,34,47,16,2,6,13,18,1
03/30/2011,DET,MEM @ NOH,W,240,111,41,86,47.7,6,25,24.0,23,25,92.0,14,28,42,20,9,6,15,14,10
03/28/2011,BOS,CLE @ CHA,W,240,107,42,77,54.5,6,15,40.0,17,22,77.3,8,28,36,18,7,4,15,22,7
03/26/2011,DET,CLE @ CHA,L,240,88,36,76,47.4,9,18,50.0,7,19,36.8,14,28,42,27,8,8,19,14,-12
03/25/2011,SAC,NYK @ CHA,L,240,93,32,91,35.2,4,25,16.0,25,30,83.3,17,35,52,15,5,6,15,16,-17
03/23/2011,CHA,IND @ CHA,W,240,111,39,72,54.2,6,14,42.9,27,34,79.4,6,31,37,20,9,3,13,24,23
03/21/2011,NJN,IND @ CHA,W,240,102,35,72,48.6,5,16,31.3,27,30,90.0,6,38,44,19,5,6,19,13,4
03/19/2011,MEM,IND @ CHA,L,240,78,26,73,35.6,7,26,26.9,19,26,73.1,7,29,36,11,9,6,20,20,-21
03/18/2011,CHI,PHI @ POR,W,265,115,40,93,43.0,5,13,38.5,30,35,85.7,16,34,50,20,8,4,12,33,7
03/16/2011,BOS,OKC @ MIA,L,240,80,33,88,37.5,5,14,35.7,9,13,69.2,19,30,49,21,5,3,15,24,-12
03/15/2011,NYK,OKC @ MIA,W,240,119,46,88,52.3,4,11,36.4,23,30,76.7,13,33,46,26,8,6,18,19,2
03/13/2011,NYK,OKC @ MIA,W,240,106,40,70,57.1,5,12,41.7,21,27,77.8,5,28,33,19,5,7,15,27,13
03/11/2011,TOR,POR @ ATL,L,240,98,35,78,44.9,7,15,46.7,21,27,77.8,13,21,34,18,9,1,14,24,-10
