,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/16/2014,POR,PHI @ MIA,L,240,104,34,84,40.5,8,34,23.5,28,33,84.8,8,34,42,20,4,4,8,20,-6
04/15/2014,DEN,PHI @ MIA,W,240,117,44,83,53.0,9,24,37.5,20,30,66.7,7,34,41,29,11,4,15,21,12
04/12/2014,SAC,MEM @ PHX,W,240,117,41,81,50.6,9,19,47.4,26,36,72.2,10,33,43,31,6,8,11,26,16
04/09/2014,OKC,PHI @ MEM,L,240,101,36,86,41.9,8,27,29.6,21,34,61.8,15,37,52,23,7,5,17,22,-6
04/06/2014,LAL,DEN @ HOU,W,240,120,47,83,56.6,10,19,52.6,16,26,61.5,8,44,52,28,12,5,17,17,23
04/03/2014,DAL,SAC @ GSW,L,240,107,39,91,42.9,6,27,22.2,23,29,79.3,12,29,41,26,7,4,6,20,-6
04/02/2014,PHX,SAC @ GSW,W,240,112,37,79,46.8,11,26,42.3,27,30,90.0,10,26,36,18,10,4,14,24,4
03/31/2014,MIN,MEM @ DEN,W,240,114,38,82,46.3,12,30,40.0,26,32,81.3,13,36,49,23,8,4,18,18,10
03/29/2014,HOU,MEM @ DEN,W,240,118,42,89,47.2,12,41,29.3,22,36,61.1,12,31,43,26,10,10,9,29,11
03/27/2014,DAL,IND @ WAS,W,240,109,38,82,46.3,11,26,42.3,22,25,88.0,13,28,41,22,10,3,20,24,6
03/26/2014,NOP,IND @ WAS,L,240,96,33,80,41.3,13,30,43.3,17,28,60.7,12,28,40,25,7,9,13,21,-2
03/24/2014,MIL,NYK @ LAL,W,240,106,38,78,48.7,8,18,44.4,22,27,81.5,7,33,40,29,7,6,13,17,8
03/22/2014,DET,NYK @ LAL,W,240,112,45,83,54.2,11,29,37.9,11,17,64.7,7,33,40,31,13,10,13,15,9
03/17/2014,DEN,WAS @ SAC,L,240,100,36,92,39.1,5,21,23.8,23,25,92.0,16,27,43,22,13,5,16,28,-10
03/16/2014,CLE,WAS @ SAC,W,240,102,42,94,44.7,8,28,28.6,10,15,66.7,10,31,41,32,8,3,7,20,22
03/14/2014,UTA,DEN @ ATL,W,240,96,37,76,48.7,9,23,39.1,13,20,65.0,6,26,32,20,12,3,11,16,9
03/12/2014,GSW,DEN @ ATL,W,240,111,43,88,48.9,8,18,44.4,17,24,70.8,11,38,49,23,7,9,11,21,13
03/10/2014,PHX,NYK @ BOS,W,240,112,43,78,55.1,4,14,28.6,22,31,71.0,9,33,42,25,11,4,22,28,7
03/08/2014,ATL,NYK @ CLE,W,240,109,42,79,53.2,7,22,31.8,18,24,75.0,13,22,35,26,7,4,18,21,1
03/06/2014,LAL,NYK @ CLE,W,240,142,57,103,55.3,12,26,46.2,16,22,72.7,16,48,64,34,16,5,18,21,48
03/04/2014,PHX,CHI @ DET,W,240,104,40,78,51.3,8,20,40.0,16,22,72.7,9,31,40,26,7,5,15,21,8
03/01/2014,NOP,WAS @ PHI,W,240,108,38,81,46.9,9,25,36.0,23,32,71.9,9,36,45,25,9,9,13,22,32
02/26/2014,HOU,WAS @ PHI,W,240,101,41,93,44.1,8,24,33.3,11,13,84.6,14,28,42,25,12,8,13,23,8
02/24/2014,NOP,DET @ SAS,W,240,123,43,83,51.8,16,28,57.1,21,26,80.8,10,30,40,34,4,5,9,28,13
02/23/2014,OKC,DET @ SAS,W,240,125,42,81,51.9,13,30,43.3,28,39,71.8,10,34,44,26,8,2,17,23,8
02/21/2014,MEM,MIN @ UTA,L,240,96,31,80,38.8,7,24,29.2,27,43,62.8,13,34,47,23,6,4,12,15,-6
02/18/2014,SAS,HOU @ LAL,L,240,103,35,81,43.2,6,21,28.6,27,38,71.1,9,29,38,19,11,6,12,20,-10
02/12/2014,POR,MEM @ ORL,W,240,122,46,79,58.2,4,10,40.0,26,31,83.9,5,28,33,24,13,2,8,20,5
02/09/2014,PHI,MEM @ ORL,W,240,123,50,89,56.2,9,28,32.1,14,17,82.4,11,48,59,33,12,9,23,20,45
02/07/2014,TOR,DAL @ BOS,W,240,118,36,71,50.7,9,24,37.5,37,54,68.5,10,35,45,25,6,4,12,28,13
02/05/2014,MIA,MIN @ OKC,L,240,112,37,86,43.0,7,25,28.0,31,42,73.8,21,31,52,26,8,2,20,24,-4
02/03/2014,DEN,MIN @ OKC,L,240,115,42,84,50.0,6,21,28.6,25,34,73.5,9,28,37,31,12,5,11,27,-1
02/01/2014,UTA,MIN @ OKC,W,240,102,38,74,51.4,2,12,16.7,24,37,64.9,14,31,45,25,7,6,11,22,15
01/30/2014,GSW,UTA @ LAC,L,240,92,31,76,40.8,8,24,33.3,22,34,64.7,8,26,34,17,6,1,13,15,-19
01/29/2014,WAS,PHI @ BOS,W,240,110,36,73,49.3,6,15,40.0,32,42,76.2,8,35,43,21,5,3,19,16,7
01/27/2014,MIL,PHI @ BOS,W,240,114,43,79,54.4,14,28,50.0,14,19,73.7,11,36,47,29,9,3,20,25,28
01/25/2014,TOR,POR @ GSW,W,240,126,46,84,54.8,12,22,54.5,22,25,88.0,8,24,32,20,10,1,7,23,8
01/24/2014,CHI,POR @ GSW,W,240,112,41,76,53.9,13,21,61.9,17,26,65.4,10,30,40,26,4,2,7,17,17
01/22/2014,CHA,LAL @ MIA,L,240,91,39,90,43.3,6,26,23.1,7,9,77.8,10,33,43,24,5,4,14,19,-4
01/20/2014,DET,LAL @ MIA,W,240,112,40,72,55.6,9,21,42.9,23,37,62.2,15,29,44,27,7,7,19,19,9
01/18/2014,IND,LAL @ CHI,L,240,92,33,83,39.8,5,20,25.0,21,24,87.5,9,30,39,17,3,4,13,18,-14
01/17/2014,NYK,LAL @ CHI,W,240,109,33,78,42.3,8,30,26.7,35,42,83.3,8,36,44,17,9,4,11,27,14
01/15/2014,DAL,SAC @ MEM,W,240,129,42,83,50.6,17,34,50.0,28,37,75.7,11,27,38,34,6,4,12,17,2
01/10/2014,LAL,SAS @ NOP,W,240,123,45,92,48.9,7,23,30.4,26,35,74.3,13,43,56,24,16,13,10,23,36
01/08/2014,BOS,CHI @ MIL,W,240,111,36,79,45.6,11,30,36.7,28,39,71.8,7,30,37,26,11,4,13,23,6
01/06/2014,ORL,CHI @ MIL,W,240,101,35,83,42.2,11,31,35.5,20,24,83.3,13,38,51,30,9,10,14,17,20
01/04/2014,SAS,MIN @ PHI,L,240,92,37,79,46.8,3,15,20.0,15,21,71.4,7,26,33,21,6,3,18,24,-24
01/03/2014,DAL,MIN @ PHI,W,240,119,40,82,48.8,9,23,39.1,30,38,78.9,13,33,46,21,5,4,10,16,7
01/01/2014,CHA,BKN @ OKC,W,240,112,47,85,55.3,11,34,32.4,7,10,70.0,8,36,44,36,9,3,15,20,27
12/30/2013,PHX,BKN @ OKC,L,240,88,31,85,36.5,7,20,35.0,19,26,73.1,14,34,48,17,8,4,20,23,-19
12/28/2013,UTA,WAS @ DET,W,240,98,35,77,45.5,3,14,21.4,25,32,78.1,7,34,41,20,14,4,13,16,8
12/26/2013,POR,PHX @ GSW,L,265,112,49,110,44.5,8,20,40.0,6,12,50.0,12,36,48,24,11,5,6,22,-4
12/25/2013,GSW,PHX @ GSW,L,240,103,40,81,49.4,4,18,22.2,19,23,82.6,6,32,38,22,6,9,13,24,-2
12/22/2013,MIN,BOS @ IND,W,265,120,46,97,47.4,7,29,24.1,21,27,77.8,16,29,45,24,14,1,13,23,4
12/21/2013,DEN,BOS @ IND,W,240,112,39,86,45.3,13,33,39.4,21,31,67.7,11,35,46,26,9,8,17,20,21
12/18/2013,NOP,CHI @ OKC,W,240,108,33,78,42.3,11,29,37.9,31,36,86.1,11,38,49,25,4,8,9,16,13
12/16/2013,SAS,CHI @ OKC,W,240,115,39,76,51.3,11,23,47.8,26,35,74.3,9,34,43,19,12,4,19,20,23
12/14/2013,WAS,MIN @ BOS,W,240,113,39,69,56.5,9,21,42.9,26,31,83.9,5,29,34,27,9,3,10,20,16
12/12/2013,BKN,CHI @ MIL,L,240,93,26,70,37.1,6,24,25.0,35,52,67.3,9,34,43,15,6,1,15,20,-9
12/11/2013,BOS,CHI @ MIL,W,240,96,34,76,44.7,6,17,35.3,22,34,64.7,8,29,37,20,9,6,13,17,8
12/09/2013,PHI,DEN @ WAS,W,240,94,35,82,42.7,5,27,18.5,19,29,65.5,9,40,49,20,10,4,12,22,11
12/07/2013,CLE,DEN @ WAS,L,240,82,28,87,32.2,7,35,20.0,19,26,73.1,10,35,45,24,9,7,13,21,-6
12/05/2013,MEM,ORL @ NYK,W,240,101,38,80,47.5,11,20,55.0,14,18,77.8,10,30,40,22,6,5,15,24,20
