,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/13/2016,UTA,NOP @ MIN,W,240,101,41,85,48.2,6,25,24.0,13,15,86.7,8,39,47,19,6,3,14,17,5
04/11/2016,OKC,NOP @ MIN,L,240,79,23,81,28.4,7,31,22.6,26,30,86.7,10,38,48,15,8,1,15,20,-33
04/10/2016,HOU,CHI @ NOP,L,240,110,41,83,49.4,12,28,42.9,16,19,84.2,7,33,40,25,10,3,21,15,-20
04/08/2016,NOP,CHI @ NOP,L,240,102,34,81,42.0,11,24,45.8,23,27,85.2,10,24,34,18,9,5,13,23,-8
04/06/2016,LAC,SAS @ DEN,L,240,81,32,90,35.6,4,19,21.1,13,17,76.5,16,33,49,12,6,1,12,16,-10
04/05/2016,LAC,SAS @ DEN,L,240,81,26,83,31.3,6,20,30.0,23,25,92.0,14,29,43,11,10,3,15,23,-22
04/03/2016,BOS,DET @ MIA,L,240,100,37,90,41.1,6,21,28.6,20,29,69.0,11,36,47,22,6,4,11,17,-7
03/30/2016,MIA,DAL @ DET,W,265,102,37,102,36.3,6,20,30.0,22,29,75.9,19,30,49,14,9,5,10,21,2
03/28/2016,UTA,DAL @ DET,L,240,75,26,85,30.6,7,20,35.0,16,22,72.7,7,30,37,11,5,6,9,19,-48
03/27/2016,WAS,PHX @ MIN,L,240,88,33,87,37.9,7,28,25.0,15,17,88.2,12,30,42,15,12,0,18,26,-13
03/25/2016,DEN,CHA @ DET,L,240,105,37,85,43.5,10,23,43.5,21,26,80.8,7,36,43,23,6,3,11,19,-11
03/23/2016,PHX,CHA @ DET,L,240,107,39,93,41.9,7,27,25.9,22,26,84.6,14,27,41,13,6,6,10,24,-12
03/22/2016,MEM,CHA @ BKN,W,240,107,39,77,50.6,6,19,31.6,23,24,95.8,11,29,40,21,10,4,22,23,7
03/18/2016,PHX,GSW @ SAS,L,240,90,31,86,36.0,6,23,26.1,22,26,84.6,12,38,50,21,4,6,12,21,-5
03/15/2016,SAC,MIN @ MEM,L,240,98,37,84,44.0,5,26,19.2,19,26,73.1,10,39,49,20,10,5,22,23,-8
03/13/2016,NYK,MIN @ MEM,L,240,87,34,85,40.0,3,16,18.8,16,21,76.2,10,35,45,14,6,2,9,20,-3
03/10/2016,CLE,WAS @ DEN,L,240,108,42,80,52.5,7,22,31.8,17,21,81.0,4,30,34,18,8,4,11,22,-12
03/08/2016,ORL,NOP @ CHA,W,240,107,40,81,49.4,9,27,33.3,18,23,78.3,10,35,45,21,7,2,15,22,9
03/06/2016,GSW,NOP @ CHA,W,240,112,41,87,47.1,9,25,36.0,21,22,95.5,9,32,41,23,12,6,13,24,17
03/04/2016,ATL,POR @ DET,L,240,77,29,85,34.1,5,27,18.5,14,20,70.0,17,29,46,19,5,1,11,16,-29
03/02/2016,DEN,POR @ DET,L,240,107,35,79,44.3,11,31,35.5,26,32,81.3,6,25,31,19,7,4,9,25,-10
03/01/2016,BKN,NOP @ HOU,W,240,107,41,83,49.4,11,26,42.3,14,21,66.7,8,38,46,22,5,4,13,22,6
02/26/2016,MEM,MIA @ NYK,L,240,95,32,78,41.0,5,23,21.7,26,39,66.7,11,27,38,14,9,3,9,14,-17
02/24/2016,MEM,MIL @ BOS,L,240,119,39,88,44.3,17,39,43.6,24,33,72.7,15,30,45,16,5,3,7,21,-9
02/22/2016,MIL,MIL @ BOS,L,240,101,28,76,36.8,12,29,41.4,33,43,76.7,11,35,46,18,7,2,17,24,-7
02/21/2016,CHI,BOS @ DEN,L,240,115,43,93,46.2,7,21,33.3,22,33,66.7,17,27,44,13,5,4,8,20,-11
02/19/2016,SAS,BOS @ DEN,L,240,113,40,81,49.4,10,22,45.5,23,26,88.5,12,24,36,20,5,4,16,17,-6
02/10/2016,CLE,DEN @ SAC,L,240,111,38,86,44.2,13,28,46.4,22,27,81.5,11,33,44,16,5,3,11,19,-9
02/08/2016,IND,SAC @ CLE,L,240,87,29,93,31.2,8,35,22.9,21,26,80.8,14,37,51,13,10,2,12,24,-2
02/06/2016,SAS,SAC @ CLE,L,240,102,34,86,39.5,10,30,33.3,24,27,88.9,13,33,46,19,5,3,9,22,-4
02/04/2016,NOP,SAS @ DAL,W,240,99,39,81,48.1,7,20,35.0,14,20,70.0,9,39,48,14,4,0,16,22,3
02/02/2016,MIN,TOR @ PHX,W,240,119,40,80,50.0,12,26,46.2,27,35,77.1,7,24,31,23,9,2,10,24,4
01/31/2016,CHA,TOR @ PHX,L,240,82,27,80,33.8,8,29,27.6,20,23,87.0,4,38,42,13,6,8,15,20,-19
01/29/2016,LAC,ORL @ BOS,L,240,93,34,78,43.6,5,13,38.5,20,25,80.0,11,37,48,19,6,4,18,21,-12
01/28/2016,CHI,ORL @ BOS,L,240,91,32,85,37.6,9,25,36.0,18,23,78.3,11,30,41,21,6,4,15,17,-23
01/26/2016,DAL,MIA @ BKN,L,240,90,30,74,40.5,7,25,28.0,23,28,82.1,8,39,47,15,4,7,14,25,-2
01/23/2016,POR,MIA @ BKN,L,240,103,34,69,49.3,7,17,41.2,28,32,87.5,4,26,30,14,4,6,19,20,-18
01/22/2016,SAS,ATL @ PHX,L,240,95,38,84,45.2,6,16,37.5,13,18,72.2,12,33,45,19,3,5,13,12,-13
01/20/2016,SAC,ATL @ PHX,L,240,93,32,90,35.6,4,25,16.0,25,31,80.6,12,29,41,17,6,5,10,22,-19
01/17/2016,HOU,ATL @ POR,L,240,95,37,82,45.1,6,19,31.6,15,19,78.9,3,33,36,25,8,7,14,16,-17
01/16/2016,UTA,MIL @ CHA,L,240,82,31,90,34.4,9,23,39.1,11,18,61.1,16,28,44,16,4,4,14,14,-27
01/14/2016,GSW,MIL @ CHA,L,240,98,40,90,44.4,4,23,17.4,14,24,58.3,16,31,47,17,13,3,21,19,-18
01/12/2016,NOP,DAL @ OKC,W,240,95,32,87,36.8,6,29,20.7,25,32,78.1,11,36,47,16,7,4,8,17,4
01/10/2016,UTA,DAL @ OKC,L,240,74,29,89,32.6,3,21,14.3,13,15,86.7,16,25,41,15,9,4,11,22,-12
01/08/2016,OKC,GSW @ SAC,L,240,113,40,84,47.6,9,26,34.6,24,25,96.0,10,24,34,19,9,5,13,22,-4
01/07/2016,SAC,GSW @ SAC,L,240,115,41,76,53.9,8,24,33.3,25,29,86.2,6,27,33,20,10,4,18,26,-3
01/05/2016,GSW,IND @ ORL,L,240,88,29,91,31.9,5,21,23.8,25,30,83.3,15,37,52,15,7,4,13,16,-21
01/03/2016,PHX,IND @ ORL,W,240,97,38,84,45.2,8,22,36.4,13,17,76.5,9,45,54,26,8,7,16,16,20
01/01/2016,PHI,MIL @ MIN,W,240,93,33,87,37.9,5,16,31.3,22,29,75.9,13,37,50,17,11,6,12,17,9
12/30/2015,BOS,PHX @ SAS,W,240,112,43,94,45.7,9,19,47.4,17,23,73.9,13,39,52,22,5,2,10,22,8
12/28/2015,CHA,PHX @ SAS,L,240,98,35,85,41.2,9,29,31.0,19,23,82.6,6,35,41,24,7,4,12,17,-10
