,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/17/2013,UTA,NOH @ DAL,W,240,86,34,84,40.5,4,13,30.8,14,20,70.0,19,38,57,22,7,8,11,24,16
04/15/2013,DAL,NOH @ DAL,W,240,103,38,80,47.5,7,21,33.3,20,25,80.0,16,34,50,24,10,3,17,22,6
04/13/2013,LAC,HOU @ PHX,L,240,87,34,83,41.0,6,13,46.2,13,20,65.0,12,31,43,19,6,5,11,20,-4
04/12/2013,HOU,HOU @ PHX,W,240,82,29,83,34.9,5,17,29.4,19,28,67.9,12,32,44,18,10,8,7,22,4
04/09/2013,CHA,CHI @ TOR,W,240,94,39,82,47.6,3,13,23.1,13,20,65.0,12,36,48,17,6,7,7,16,19
04/07/2013,SAC,MIN @ GSW,W,240,89,32,73,43.8,3,7,42.9,22,29,75.9,8,37,45,17,9,12,16,25,2
04/05/2013,LAL,MIN @ GSW,L,240,84,38,86,44.2,3,14,21.4,5,7,71.4,8,28,36,24,12,4,8,16,-2
04/03/2013,POR,TOR @ MIN,W,240,94,34,67,50.7,4,12,33.3,22,28,78.6,7,30,37,27,10,4,12,18,18
04/01/2013,SAS,CLE @ ATL,W,240,92,36,79,45.6,2,7,28.6,18,24,75.0,10,30,40,15,9,5,10,14,2
03/30/2013,MIN,CLE @ ATL,W,240,99,37,73,50.7,6,10,60.0,19,27,70.4,5,30,35,25,9,5,10,28,13
03/29/2013,HOU,WAS @ ORL,W,240,103,40,79,50.6,4,11,36.4,19,21,90.5,13,29,42,24,8,4,14,19,9
03/27/2013,NYK,WAS @ ORL,L,240,101,33,70,47.1,6,21,28.6,29,35,82.9,10,24,34,14,6,2,17,24,-7
03/25/2013,WAS,MIN @ DET,L,240,94,34,77,44.2,6,16,37.5,20,22,90.9,9,34,43,17,8,1,16,25,-13
03/23/2013,BOS,MIN @ DET,W,240,110,43,94,45.7,4,11,36.4,20,24,83.3,16,28,44,26,8,6,8,19,4
03/22/2013,NOH,UTA @ SAS,L,240,83,30,73,41.1,3,10,30.0,20,25,80.0,11,22,33,14,11,3,11,20,-7
03/20/2013,OKC,UTA @ SAS,W,265,90,32,89,36.0,6,15,40.0,20,24,83.3,19,35,54,11,5,5,19,27,1
03/18/2013,MIN,LAC @ SAC,W,240,92,40,82,48.8,5,16,31.3,7,11,63.6,11,38,49,19,6,10,13,21,15
03/16/2013,UTA,LAC @ SAC,L,240,84,33,77,42.9,4,12,33.3,14,22,63.6,11,31,42,14,4,6,12,22,-6
03/15/2013,DEN,CHA @ BOS,L,240,80,30,85,35.3,4,12,33.3,16,19,84.2,20,27,47,16,8,5,17,22,-7
03/13/2013,LAC,CHA @ BOS,W,240,96,37,68,54.4,6,12,50.0,16,21,76.2,10,21,31,20,8,3,13,25,11
