,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/17/2002,ORL,LAC @ GSW,W,240,103,45,85,52.9,6,9,66.7,7,9,77.8,7,37,44,33,9,4,13,19,14
04/16/2002,CHH,LAC @ GSW,L,240,81,31,81,38.3,2,8,25.0,17,25,68.0,12,34,46,12,8,7,12,23,-7
04/14/2002,NYK,BOS @ MIN,L,240,67,28,71,39.4,2,12,16.7,9,16,56.3,12,35,47,14,3,6,24,18,-27
04/12/2002,ORL,BOS @ MIN,W,240,99,37,82,45.1,5,16,31.3,20,23,87.0,11,40,51,26,8,6,16,21,5
04/10/2002,BOS,MIL @ IND,L,240,65,26,87,29.9,5,21,23.8,8,13,61.5,19,32,51,19,5,5,15,19,-5
04/09/2002,HOU,MIL @ IND,W,290,120,47,89,52.8,7,13,53.8,19,25,76.0,12,35,47,29,6,3,17,27,3
04/07/2002,LAL,HOU @ MIA,L,240,88,37,89,41.6,4,16,25.0,10,14,71.4,14,30,44,21,5,1,7,26,-8
04/05/2002,MIL,HOU @ MEM,W,240,102,38,82,46.3,8,16,50.0,18,22,81.8,11,31,42,23,2,4,12,22,5
04/03/2002,CHH,HOU @ MEM,L,240,90,36,80,45.0,6,16,37.5,12,16,75.0,7,29,36,21,9,6,12,24,-7
04/02/2002,DET,DET @ MIA,L,240,87,33,78,42.3,2,8,25.0,19,26,73.1,7,33,40,18,12,3,11,22,-3
03/31/2002,IND,DET @ MIA,L,240,81,31,74,41.9,2,10,20.0,17,22,77.3,9,25,34,15,11,5,15,26,-19
03/29/2002,ATL,ATL @ MIA,W,240,92,38,83,45.8,4,7,57.1,12,24,50.0,16,27,43,22,11,7,10,24,12
03/27/2002,TOR,ATL @ MIA,L,240,80,33,74,44.6,5,7,71.4,9,18,50.0,19,29,48,23,7,7,20,19,-1
03/25/2002,BOS,CHI @ ORL,L,240,82,26,68,38.2,6,17,35.3,24,32,75.0,9,36,45,17,3,6,21,31,-5
03/23/2002,SAS,CHI @ ORL,L,240,79,31,74,41.9,2,10,20.0,15,17,88.2,12,29,41,18,5,5,18,26,-10
03/22/2002,IND,SEA @ DEN,L,240,94,39,84,46.4,4,10,40.0,12,15,80.0,10,23,33,17,8,3,11,28,-10
03/20/2002,PHI,SEA @ DEN,W,240,82,33,73,45.2,3,11,27.3,13,19,68.4,11,32,43,18,7,3,13,21,5
03/19/2002,PHI,GSW @ SEA,L,240,79,34,70,48.6,1,8,12.5,10,17,58.8,11,19,30,23,4,2,19,21,-12
03/16/2002,DEN,GSW @ SEA,W,240,101,39,75,52.0,5,12,41.7,18,23,78.3,7,33,40,23,5,8,14,27,25
03/15/2002,NJN,PHX @ CHH,L,240,78,28,81,34.6,4,8,50.0,18,19,94.7,10,24,34,16,4,7,13,26,-19
03/12/2002,PHX,SEA @ HOU,W,240,90,36,74,48.6,5,11,45.5,13,16,81.3,10,36,46,20,6,4,11,15,12
03/09/2002,MEM,POR @ DEN,W,240,93,34,78,43.6,4,8,50.0,21,28,75.0,14,33,47,23,8,9,14,18,5
03/08/2002,TOR,POR @ DEN,L,240,74,26,61,42.6,4,8,50.0,18,27,66.7,9,31,40,14,6,5,23,23,-9
03/06/2002,CHI,POR @ DEN,W,240,92,32,72,44.4,3,8,37.5,25,36,69.4,10,29,39,23,10,6,12,20,5
03/05/2002,DET,CLE @ PHI,W,240,93,37,83,44.6,3,9,33.3,16,22,72.7,13,34,47,15,7,4,12,24,2
03/02/2002,DAL,CHI @ NJN,W,240,109,42,76,55.3,3,5,60.0,22,28,78.6,7,38,45,26,11,6,17,20,14
02/28/2002,NYK,CHI @ NJN,W,240,100,38,79,48.1,5,7,71.4,19,28,67.9,12,33,45,21,9,4,13,26,14
02/27/2002,PHI,CHI @ NJN,L,240,72,28,83,33.7,5,16,31.3,11,16,68.8,18,29,47,18,5,2,12,31,-10
02/24/2002,WAS,MIA @ PHI,W,240,92,39,75,52.0,1,6,16.7,13,16,81.3,10,32,42,17,8,7,14,11,12
02/23/2002,WAS,MIN @ SAS,W,240,97,41,79,51.9,2,9,22.2,13,15,86.7,9,27,36,28,6,9,12,20,2
02/20/2002,LAC,GSW @ PHI,L,240,71,25,76,32.9,1,15,6.7,20,25,80.0,14,31,45,13,5,9,12,20,-10
02/18/2002,CHI,GSW @ PHI,W,240,102,44,79,55.7,3,9,33.3,11,20,55.0,9,34,43,30,10,3,14,26,22
02/17/2002,MIN,GSW @ PHI,L,240,80,32,80,40.0,7,19,36.8,9,14,64.3,13,25,38,22,8,2,19,15,-13
02/15/2002,MIL,MEM @ CHH,W,265,90,34,88,38.6,5,12,41.7,17,21,81.0,15,34,49,26,12,5,15,21,2
02/13/2002,ORL,PHX @ MIN,W,240,112,48,87,55.2,7,15,46.7,9,10,90.0,12,33,45,24,4,5,12,22,17
02/05/2002,ATL,HOU @ CLE,L,240,73,32,78,41.0,1,13,7.7,8,12,66.7,10,34,44,17,8,7,14,18,-3
02/03/2002,NYK,HOU @ CLE,W,240,94,34,81,42.0,4,11,36.4,22,26,84.6,9,38,47,18,2,4,6,19,11
02/01/2002,SAS,LAC @ BOS,W,240,88,34,82,41.5,6,12,50.0,14,17,82.4,9,29,38,23,7,2,9,26,5
01/29/2002,DEN,MIN @ PHI,W,265,100,40,90,44.4,3,10,30.0,17,17,100,12,29,41,20,9,8,13,22,6
01/28/2002,UTA,MIN @ PHI,L,240,89,33,80,41.3,5,16,31.3,18,21,85.7,17,20,37,16,8,4,17,33,-12
01/26/2002,NJN,PHX @ WAS,W,240,90,34,65,52.3,3,5,60.0,19,28,67.9,13,32,45,16,7,6,17,20,13
01/24/2002,ORL,PHX @ WAS,L,240,87,32,75,42.7,3,9,33.3,20,26,76.9,10,39,49,18,6,4,19,29,-5
01/22/2002,CHI,DAL @ HOU,W,240,92,34,67,50.7,4,14,28.6,20,23,87.0,5,35,40,19,12,3,21,14,13
01/21/2002,CLE,DAL @ HOU,W,265,95,38,80,47.5,7,12,58.3,12,19,63.2,8,33,41,28,4,9,12,27,2
01/19/2002,IND,MIL @ ATL,W,240,100,43,79,54.4,4,10,40.0,10,13,76.9,8,33,41,29,4,2,15,16,12
01/17/2002,POR,MIL @ ATL,W,265,92,35,82,42.7,5,13,38.5,17,21,81.0,14,35,49,28,9,6,14,20,2
01/16/2002,LAL,MIL @ ATL,W,240,102,40,79,50.6,4,12,33.3,18,22,81.8,12,27,39,22,6,5,8,20,6
01/14/2002,GSW,POR @ PHX,W,240,85,31,69,44.9,6,14,42.9,17,22,77.3,7,27,34,21,8,5,18,23,6
01/12/2002,PHX,POR @ PHX,L,240,74,30,92,32.6,4,11,36.4,10,14,71.4,16,29,45,14,8,8,18,18,-34
01/10/2002,POR,MIN @ WAS,L,240,85,32,70,45.7,2,15,13.3,19,21,90.5,15,28,43,14,5,5,19,27,-7
01/08/2002,NJN,TOR @ CHI,L,240,95,38,72,52.8,3,8,37.5,16,18,88.9,7,28,35,21,3,1,15,25,-9
01/06/2002,GSW,TOR @ CHI,W,240,92,33,79,41.8,3,9,33.3,23,36,63.9,16,38,54,23,7,5,19,28,8
01/04/2002,BOS,CLE @ DET,W,240,89,36,76,47.4,4,12,33.3,13,18,72.2,9,46,55,26,5,8,15,23,23
12/31/2001,IND,DET @ SAS,W,240,89,33,69,47.8,1,3,33.3,22,29,75.9,10,36,46,22,5,6,21,23,2
12/30/2001,DET,DET @ SAS,L,240,80,32,72,44.4,4,15,26.7,12,16,75.0,4,26,30,24,12,2,18,32,-6
12/28/2001,MEM,DET @ ORL,L,240,86,39,89,43.8,2,10,20.0,6,15,40.0,16,32,48,22,7,7,20,25,-5
12/27/2001,ATL,DET @ ORL,L,240,96,36,77,46.8,4,11,36.4,20,31,64.5,11,31,42,21,7,10,15,26,-4
12/23/2001,TOR,IND @ ORL,L,240,76,28,72,38.9,2,12,16.7,18,27,66.7,9,34,43,17,7,5,15,16,-7
12/21/2001,CLE,IND @ ORL,L,265,81,32,91,35.2,2,13,15.4,15,20,75.0,14,33,47,12,9,9,8,17,-5
12/18/2001,UTA,LAL @ MEM,L,240,56,23,83,27.7,4,14,28.6,6,9,66.7,10,20,30,13,4,8,12,19,-39
12/15/2001,HOU,LAC @ PHX,W,240,76,34,77,44.2,1,4,25.0,7,10,70.0,6,36,42,17,8,5,11,17,3
12/14/2001,NJN,LAC @ PHX,L,240,86,36,70,51.4,4,6,66.7,10,14,71.4,8,31,39,18,5,7,22,19,-9
12/12/2001,WAS,CHI @ BOS,L,240,80,32,77,41.6,4,12,33.3,12,15,80.0,13,25,38,22,6,4,15,20,-2
12/11/2001,MIL,CHI @ BOS,W,240,99,36,73,49.3,4,9,44.4,23,31,74.2,12,32,44,21,4,6,15,24,2
12/09/2001,SAC,ORL @ LAC,L,240,88,37,83,44.6,1,5,20.0,13,19,68.4,12,32,44,24,7,4,14,23,-7
12/07/2001,SEA,ORL @ LAC,W,265,98,34,73,46.6,2,12,16.7,28,42,66.7,8,39,47,19,6,9,16,24,4
12/04/2001,LAC,TOR @ MIL,L,240,83,29,81,35.8,4,10,40.0,21,33,63.6,16,24,40,18,6,2,8,23,-4
11/30/2001,WAS,BOS @ TOR,L,240,75,31,82,37.8,5,11,45.5,8,10,80.0,12,29,41,16,5,7,9,15,-9
11/29/2001,CHI,BOS @ TOR,L,240,72,29,72,40.3,1,6,16.7,13,16,81.3,11,32,43,19,3,6,21,31,-6
11/27/2001,BOS,MEM @ TOR,L,240,83,27,70,38.6,6,19,31.6,23,31,74.2,11,30,41,17,6,9,16,19,-1
11/24/2001,CLE,PHI @ TOR,L,265,96,34,76,44.7,8,14,57.1,20,30,66.7,10,29,39,27,8,6,15,24,-4
11/23/2001,DAL,PHI @ TOR,L,240,94,35,78,44.9,8,15,53.3,16,27,59.3,12,25,37,25,6,5,12,23,-10
11/20/2001,MIN,DAL @ CHH,L,240,73,30,74,40.5,4,10,40.0,9,18,50.0,14,29,43,16,2,2,17,19,-7
11/16/2001,CHH,CLE @ MEM,L,240,87,34,76,44.7,3,13,23.1,16,26,61.5,8,30,38,13,5,9,10,18,-9
11/15/2001,NYK,CLE @ MEM,L,240,74,32,78,41.0,3,11,27.3,7,11,63.6,8,27,35,18,6,2,16,20,-9
11/13/2001,PHI,TOR @ GSW,L,240,76,30,71,42.3,2,11,18.2,14,19,73.7,9,31,40,18,6,5,18,23,-6
11/10/2001,SAC,TOR @ GSW,L,240,75,34,78,43.6,0,4,0.0,7,13,53.8,9,29,38,16,7,7,15,26,-15
11/08/2001,MIL,CHH @ CHI,L,240,82,34,82,41.5,3,12,25.0,11,15,73.3,9,33,42,26,11,8,13,24,-4
11/06/2001,SEA,SAC @ IND,W,265,87,36,80,45.0,6,13,46.2,9,16,56.3,5,38,43,29,6,3,22,20,2
11/03/2001,ATL,SAC @ IND,L,240,83,34,81,42.0,4,10,40.0,11,19,57.9,12,27,39,17,5,7,17,28,-7
11/02/2001,CLE,MIN @ HOU,L,240,83,33,80,41.3,5,13,38.5,12,13,92.3,10,21,31,18,9,9,14,23,-7
10/31/2001,TOR,MIN @ HOU,W,240,97,32,71,45.1,3,3,100,30,42,71.4,15,31,46,18,4,9,18,35,5
