,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/10/2022,LAC,CHI @ MIN,L,240,88,37,98,37.8,9,34,26.5,5,9,55.6,12,28,40,17,6,2,10,16,-50
04/08/2022,LAL,CHI @ MIN,L,240,101,40,88,45.5,6,29,20.7,15,19,78.9,9,35,44,21,5,3,14,26,-19
04/06/2022,UTA,NYK @ WAS,L,240,101,37,90,41.1,16,37,43.2,11,17,64.7,11,21,32,27,9,1,10,22,-36
04/05/2022,POR,NYK @ WAS,W,240,98,39,81,48.1,9,29,31.0,11,22,50.0,13,34,47,15,12,12,17,10,4
04/03/2022,PHX,PHI @ IND,W,240,117,43,87,49.4,17,41,41.5,14,18,77.8,12,42,54,33,7,4,18,18,21
04/01/2022,DET,IND @ BOS,L,240,101,36,84,42.9,11,34,32.4,18,29,62.1,12,42,54,24,1,8,17,15,-9
03/30/2022,ATL,IND @ BOS,L,240,118,41,87,47.1,17,41,41.5,19,27,70.4,10,32,42,31,5,2,18,17,-18
03/28/2022,POR,LAL @ DAL,W,265,134,48,90,53.3,20,45,44.4,18,25,72.0,11,38,49,32,7,3,21,15,3
03/26/2022,DEN,LAL @ DAL,L,240,107,39,84,46.4,14,36,38.9,15,16,93.8,5,31,36,29,8,5,17,19,-6
03/23/2022,ORL,NYK @ MIA,W,240,118,38,79,48.1,17,41,41.5,25,30,83.3,5,39,44,21,6,6,12,16,16
03/21/2022,BOS,LAC @ DEN,L,240,123,48,93,51.6,17,37,45.9,10,14,71.4,10,32,42,23,5,4,11,26,-9
03/20/2022,ORL,LAC @ DEN,L,240,85,30,92,32.6,13,48,27.1,12,18,66.7,14,33,47,19,13,7,16,24,-5
03/18/2022,MIA,LAL @ TOR,L,240,108,40,84,47.6,10,34,29.4,18,23,78.3,11,36,47,19,4,5,12,10,-12
03/16/2022,SAS,LAL @ TOR,L,240,120,43,82,52.4,13,35,37.1,21,29,72.4,10,37,47,24,11,1,19,18,-2
03/14/2022,CHA,BKN @ ORL,L,240,116,42,90,46.7,16,44,36.4,16,19,84.2,13,36,49,31,4,3,18,19,-18
03/13/2022,MEM,BKN @ ORL,L,240,118,41,97,42.3,13,41,31.7,23,28,82.1,14,30,44,25,7,8,11,21,-7
03/09/2022,MIN,MIN @ MIA,L,240,102,36,87,41.4,14,43,32.6,16,24,66.7,9,33,42,26,8,0,16,18,-30
03/08/2022,MIL,NYK @ DAL,L,240,115,42,84,50.0,16,39,41.0,15,21,71.4,6,30,36,26,6,5,16,20,-27
