,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/14/2004,PHI,NOH @ WAS,W,240,95,35,78,44.9,3,11,27.3,22,27,81.5,12,33,45,16,9,4,14,16,6
04/12/2004,CHI,NOH @ WAS,W,240,93,33,81,40.7,1,7,14.3,26,39,66.7,13,39,52,18,6,4,9,22,9
04/10/2004,DET,SAS @ POR,L,240,89,39,78,50.0,3,10,30.0,8,13,61.5,10,26,36,18,3,6,17,17,-12
04/08/2004,NJN,NJN @ IND,L,240,81,31,76,40.8,1,9,11.1,18,28,64.3,12,31,43,16,8,2,14,20,-20
04/06/2004,DET,NJN @ IND,L,240,86,32,81,39.5,7,17,41.2,15,22,68.2,15,26,41,13,8,3,21,20,-16
04/02/2004,ATL,MEM @ UTA,L,240,87,31,82,37.8,6,16,37.5,19,25,76.0,16,31,47,15,8,1,14,26,-8
03/31/2004,CHI,MIA @ DET,L,240,91,35,87,40.2,3,12,25.0,18,23,78.3,20,31,51,15,5,0,19,21,-18
03/28/2004,DAL,CLE @ SAS,L,240,88,32,91,35.2,5,15,33.3,19,24,79.2,16,27,43,13,2,1,13,12,-30
03/26/2004,IND,NJN @ BOS,L,240,92,36,73,49.3,4,10,40.0,16,20,80.0,12,25,37,12,6,2,21,22,-15
03/24/2004,MIA,NJN @ BOS,L,240,90,32,77,41.6,7,16,43.8,19,21,90.5,8,23,31,14,6,5,15,22,-15
03/21/2004,SEA,LAC @ DEN,L,240,67,24,69,34.8,5,14,35.7,14,22,63.6,7,24,31,14,5,2,13,16,-17
03/20/2004,POR,LAC @ DEN,L,240,73,28,89,31.5,2,14,14.3,15,25,60.0,23,23,46,17,7,0,13,17,-19
03/17/2004,GSW,DEN @ DET,L,240,85,32,80,40.0,6,12,50.0,15,21,71.4,11,24,35,16,8,1,17,24,-25
03/15/2004,LAL,PHX @ HOU,L,265,110,43,90,47.8,4,18,22.2,20,31,64.5,15,32,47,25,3,3,13,33,-3
03/13/2004,SEA,PHX @ HOU,L,240,101,34,75,45.3,6,16,37.5,27,33,81.8,13,22,35,11,5,2,11,17,-14
03/10/2004,WAS,CHI @ NJN,W,240,108,37,91,40.7,7,22,31.8,27,40,67.5,17,30,47,20,10,4,12,22,9
03/09/2004,MIA,CHI @ NJN,L,240,89,37,75,49.3,4,14,28.6,11,15,73.3,4,37,41,23,5,3,17,25,-11
03/07/2004,SAC,PHX @ DAL,L,240,90,35,89,39.3,3,10,30.0,17,19,89.5,11,36,47,19,5,2,12,18,-17
03/05/2004,ATL,IND @ UTA,W,240,101,40,77,51.9,8,19,42.1,13,21,61.9,6,24,30,19,9,6,11,23,5
03/03/2004,MIL,IND @ UTA,L,240,97,39,90,43.3,9,23,39.1,10,15,66.7,12,30,42,21,6,9,11,19,-8
