,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/19/1998,TOR,UTA @ LAL,W,240,107,45,99,45.5,1,6,16.7,16,26,61.5,22,35,57,30,13,10,11,21,29
04/17/1998,CHI,UTA @ LAL,L,240,80,27,65,41.5,2,8,25.0,24,32,75.0,10,25,35,19,10,8,23,21,-7
04/14/1998,ATL,MIL @ DET,L,240,94,40,82,48.8,3,9,33.3,11,15,73.3,17,27,44,19,6,8,20,24,-1
04/11/1998,CLE,LAL @ SAS,L,240,95,32,72,44.4,2,6,33.3,29,35,82.9,13,25,38,18,6,3,20,29,-11
04/10/1998,MIN,LAL @ SAS,L,240,102,38,88,43.2,2,9,22.2,24,33,72.7,15,27,42,24,7,3,13,30,-5
04/08/1998,CHH,HOU @ SAC,W,240,109,36,73,49.3,2,5,40.0,35,44,79.5,13,28,41,27,7,7,12,26,8
04/06/1998,ORL,PHI @ ORL,L,240,92,37,80,46.3,3,12,25.0,15,23,65.2,12,24,36,21,11,3,18,21,-21
04/05/1998,TOR,PHI @ ORL,W,240,116,44,86,51.2,4,10,40.0,24,29,82.8,13,28,41,28,11,7,10,20,12
04/03/1998,LAC,LAC @ PHI,W,240,93,37,93,39.8,0,5,0.0,19,22,86.4,16,38,54,22,11,4,8,27,15
04/01/1998,WAS,LAC @ PHI,W,240,112,43,85,50.6,5,12,41.7,21,26,80.8,11,34,45,21,11,6,17,22,21
03/31/1998,CHH,LAC @ PHI,L,240,93,39,88,44.3,7,16,43.8,8,15,53.3,11,22,33,20,9,6,10,20,-8
03/29/1998,BOS,PHX @ HOU,W,240,99,34,74,45.9,1,8,12.5,30,44,68.2,13,30,43,27,9,4,18,22,5
03/27/1998,SAS,PHX @ HOU,L,240,85,33,78,42.3,4,14,28.6,15,21,71.4,13,20,33,20,6,5,18,27,-25
03/25/1998,NJN,BOS @ NJN,L,240,86,35,73,47.9,1,7,14.3,15,18,83.3,13,25,38,18,11,4,25,25,-5
03/23/1998,DET,ORL @ ATL,L,240,79,26,74,35.1,2,10,20.0,25,31,80.6,14,28,42,20,8,4,9,34,-15
03/22/1998,BOS,ORL @ ATL,L,240,90,32,72,44.4,2,8,25.0,24,31,77.4,15,23,38,22,8,4,22,18,-18
03/20/1998,UTA,DEN @ MIN,L,240,79,31,70,44.3,3,8,37.5,14,20,70.0,8,25,33,21,7,6,17,25,-12
03/18/1998,DET,DEN @ MIN,W,240,104,37,86,43.0,2,13,15.4,28,33,84.8,19,29,48,20,10,5,13,24,8
03/17/1998,NYK,DEN @ MIN,L,240,96,31,78,39.7,5,18,27.8,29,39,74.4,11,24,35,20,14,1,14,22,-4
03/14/1998,MIL,PHI @ MIL,W,240,93,38,77,49.4,0,4,0.0,17,24,70.8,12,29,41,18,11,6,16,17,4
03/13/1998,ATL,PHI @ MIL,W,240,107,44,91,48.4,2,8,25.0,17,22,77.3,20,35,55,27,7,7,14,21,21
03/11/1998,WAS,PHI @ MIL,W,240,88,33,76,43.4,2,9,22.2,20,28,71.4,15,32,47,19,11,5,19,26,2
03/09/1998,ORL,WAS @ MIL,L,240,78,28,68,41.2,4,10,40.0,18,26,69.2,11,29,40,19,7,7,17,32,-10
03/08/1998,WAS,WAS @ MIL,L,240,91,29,73,39.7,1,5,20.0,32,36,88.9,8,30,38,16,5,7,12,24,-9
03/06/1998,NYK,DEN @ ATL,W,240,80,28,70,40.0,1,8,12.5,23,30,76.7,12,33,45,19,8,7,13,17,9
03/04/1998,MIL,DEN @ ATL,W,240,87,34,80,42.5,0,0,-,19,33,57.6,16,28,44,22,12,7,14,17,7
02/28/1998,SAS,SEA @ MIA,L,240,88,34,94,36.2,4,11,36.4,16,20,80.0,19,24,43,22,3,9,5,24,-12
02/27/1998,DEN,TOR @ ORL,W,240,79,31,78,39.7,2,7,28.6,15,20,75.0,19,26,45,16,7,6,14,21,1
02/25/1998,LAC,TOR @ ORL,L,240,108,45,93,48.4,3,9,33.3,15,25,60.0,18,21,39,20,7,4,14,28,-9
02/24/1998,PHX,TOR @ ORL,W,240,85,32,83,38.6,3,13,23.1,18,25,72.0,10,29,39,21,17,6,19,26,1
02/22/1998,IND,PHI @ PHX,L,240,92,37,73,50.7,4,12,33.3,14,24,58.3,8,24,32,19,8,5,12,13,-5
02/21/1998,NJN,PHI @ PHX,W,240,98,33,74,44.6,3,7,42.9,29,42,69.0,15,29,44,15,9,6,14,24,9
02/19/1998,IND,HOU @ MIN,L,240,77,29,84,34.5,1,10,10.0,18,23,78.3,25,28,53,15,10,8,18,27,-5
02/17/1998,CLE,HOU @ MIN,W,240,98,33,75,44.0,2,4,50.0,30,38,78.9,18,23,41,24,10,8,17,28,1
02/14/1998,NJN,CLE @ PHI,L,240,98,34,81,42.0,4,15,26.7,26,33,78.8,17,32,49,21,8,11,19,16,-7
02/13/1998,CHH,CLE @ PHI,L,240,96,36,72,50.0,8,16,50.0,16,23,69.6,7,28,35,23,6,6,12,19,-7
02/11/1998,DAL,PHI @ CHH,W,240,91,31,66,47.0,8,15,53.3,21,27,77.8,12,35,47,22,7,6,24,21,1
02/04/1998,MIA,DAL @ NJN,L,240,84,27,70,38.6,4,11,36.4,26,29,89.7,12,22,34,19,10,7,15,22,-14
02/02/1998,PHX,NJN @ POR,L,240,97,38,78,48.7,5,15,33.3,16,20,80.0,15,22,37,23,12,4,17,20,-9
01/31/1998,HOU,ATL @ CHH,L,240,86,37,74,50.0,1,11,9.1,11,16,68.8,13,19,32,25,8,10,19,18,-16
01/29/1998,ATL,ATL @ CHH,L,265,99,36,80,45.0,8,15,53.3,19,22,86.4,10,27,37,22,5,3,20,24,-10
01/28/1998,IND,ATL @ CHH,L,265,90,30,79,38.0,2,11,18.2,28,35,80.0,11,39,50,18,8,8,21,30,-3
01/26/1998,TOR,LAC @ SAS,L,240,87,36,80,45.0,0,7,0.0,15,24,62.5,16,28,44,26,8,8,18,21,-4
01/24/1998,CLE,LAC @ SAS,L,240,92,35,81,43.2,2,10,20.0,20,30,66.7,19,25,44,20,5,4,20,18,-19
01/23/1998,POR,MIN @ TOR,W,240,98,34,77,44.2,2,7,28.6,28,35,80.0,10,30,40,17,11,8,16,25,11
01/21/1998,MIA,MIN @ TOR,L,240,87,32,65,49.2,4,14,28.6,19,26,73.1,7,28,35,14,8,7,20,18,-5
01/19/1998,SAC,SAC @ TOR,W,240,98,37,77,48.1,4,8,50.0,20,30,66.7,13,38,51,29,8,14,12,16,13
01/17/1998,GSW,SAC @ TOR,W,240,112,41,82,50.0,7,15,46.7,23,32,71.9,14,32,46,31,9,12,13,19,28
01/15/1998,CHI,NYK @ TOR,W,240,106,35,76,46.1,4,15,26.7,32,44,72.7,17,22,39,16,13,9,14,20,10
01/13/1998,VAN,CLE @ PHX,W,240,107,43,79,54.4,5,16,31.3,16,27,59.3,13,36,49,30,13,10,19,22,18
01/06/1998,UTA,PHX @ IND,L,265,95,37,88,42.0,4,15,26.7,17,20,85.0,17,25,42,18,10,12,15,25,-3
01/04/1998,LAL,PHX @ IND,W,240,113,38,83,45.8,2,6,33.3,35,39,89.7,15,31,46,22,9,9,14,32,6
01/02/1998,SEA,CHI @ DET,L,240,73,25,74,33.8,2,11,18.2,21,24,87.5,19,25,44,14,6,5,25,20,-17
01/01/1998,VAN,CHI @ DET,W,240,115,44,79,55.7,4,8,50.0,23,32,71.9,17,29,46,25,13,5,14,24,11
12/30/1997,POR,CHI @ DET,L,240,86,31,79,39.2,4,8,50.0,20,28,71.4,16,27,43,20,12,7,19,20,-10
12/28/1997,SAC,DAL @ MIL,L,240,90,29,81,35.8,2,6,33.3,30,43,69.8,16,26,42,18,14,7,15,20,-2
12/27/1997,GSW,DAL @ MIL,W,240,85,29,81,35.8,0,9,0.0,27,39,69.2,21,32,53,15,11,3,11,17,7
12/22/1997,DET,MIA @ DET,L,240,92,29,75,38.7,2,11,18.2,32,44,72.7,9,27,36,21,7,2,11,29,-4
12/20/1997,DET,GSW @ PHX,L,240,78,29,78,37.2,2,11,18.2,18,25,72.0,9,30,39,19,6,9,17,31,-37
12/19/1997,MIA,GSW @ PHX,L,240,84,27,79,34.2,3,13,23.1,27,32,84.4,17,27,44,17,9,3,9,21,-7
12/17/1997,MIN,GSW @ LAC,L,240,90,34,81,42.0,4,16,25.0,18,32,56.3,14,36,50,23,5,4,13,24,-4
12/15/1997,BOS,GSW @ LAC,L,240,83,24,66,36.4,6,11,54.5,29,38,76.3,10,26,36,17,2,7,29,24,-17
12/13/1997,NYK,UTA @ WAS,L,240,83,30,76,39.5,3,14,21.4,20,23,87.0,15,28,43,11,5,2,16,17,-12
12/12/1997,DEN,UTA @ WAS,W,240,106,36,74,48.6,7,13,53.8,27,32,84.4,7,32,39,27,10,5,15,30,15
12/10/1997,TOR,MIN @ NYK,L,240,97,37,83,44.6,3,9,33.3,20,32,62.5,19,27,46,25,10,10,16,23,-7
12/08/1997,ORL,PHI @ ORL,L,240,86,34,84,40.5,3,11,27.3,15,24,62.5,19,25,44,12,9,4,21,19,-9
12/07/1997,NYK,PHI @ ORL,W,240,93,33,68,48.5,4,6,66.7,23,30,76.7,9,29,38,26,7,6,20,26,15
12/05/1997,NJN,PHI @ ORL,L,240,88,33,75,44.0,1,8,12.5,21,30,70.0,16,23,39,14,5,2,24,25,-19
12/03/1997,MIA,CHH @ MIL,L,240,90,36,77,46.8,3,10,30.0,15,20,75.0,12,25,37,24,10,4,22,24,-4
11/30/1997,IND,CHH @ MIL,L,240,89,37,81,45.7,1,7,14.3,14,27,51.9,17,17,34,18,12,3,15,23,-12
11/28/1997,LAL,VAN @ DET,W,240,105,40,85,47.1,1,8,12.5,24,31,77.4,18,33,51,27,9,3,13,20,10
11/26/1997,CLE,SAC @ LAC,L,240,89,30,73,41.1,5,13,38.5,24,32,75.0,9,28,37,24,17,4,24,32,-6
11/22/1997,ORL,SAS @ UTA,L,240,94,39,87,44.8,2,10,20.0,14,21,66.7,13,24,37,28,7,1,8,17,-14
11/19/1997,WAS,WAS @ PHI,W,240,97,33,77,42.9,2,8,25.0,29,34,85.3,8,36,44,19,8,7,15,23,11
11/15/1997,BOS,WAS @ PHI,L,240,101,36,82,43.9,4,8,50.0,25,35,71.4,15,42,57,27,8,11,23,27,-6
