,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/19/2000,GSW,LAL @ SAS,W,240,99,39,76,51.3,7,11,63.6,14,18,77.8,10,41,51,26,9,5,29,26,11
04/18/2000,HOU,LAL @ SAS,L,240,98,39,87,44.8,6,22,27.3,14,19,73.7,17,24,41,23,11,5,13,26,-9
04/16/2000,UTA,MIL @ ORL,L,240,82,32,72,44.4,7,19,36.8,11,19,57.9,7,24,31,21,8,4,18,25,-14
04/14/2000,LAC,MIL @ ORL,W,240,112,40,85,47.1,10,19,52.6,22,30,73.3,14,39,53,31,8,1,13,29,24
04/12/2000,VAN,NYK @ TOR,W,265,122,46,93,49.5,8,23,34.8,22,26,84.6,12,32,44,32,9,5,18,32,6
04/11/2000,LAC,NYK @ TOR,W,240,95,33,74,44.6,5,15,33.3,24,32,75.0,11,36,47,20,8,1,18,21,7
04/09/2000,SAC,POR @ UTA,W,240,102,39,78,50.0,5,10,50.0,19,32,59.4,12,36,48,28,7,5,16,27,5
04/06/2000,UTA,MIN @ SAC,L,240,85,32,71,45.1,0,8,0.0,21,26,80.8,7,28,35,14,3,6,18,25,-20
04/04/2000,LAL,CHI @ MIL,L,240,83,33,84,39.3,3,15,20.0,14,19,73.7,10,35,45,24,5,7,13,27,-1
04/02/2000,MIN,CHI @ MIL,W,240,87,35,77,45.5,2,14,14.3,15,19,78.9,7,32,39,26,14,5,19,16,1
03/31/2000,DET,NYK @ VAN,W,240,98,37,79,46.8,9,25,36.0,15,20,75.0,9,25,34,27,8,10,16,25,1
03/30/2000,ATL,NYK @ VAN,W,240,118,49,94,52.1,8,12,66.7,12,13,92.3,12,37,49,32,20,7,9,18,44
03/28/2000,MIA,NYK @ VAN,L,240,78,25,78,32.1,7,24,29.2,21,31,67.7,17,21,38,15,9,0,14,26,-3
03/26/2000,GSW,IND @ NJN,W,240,90,33,73,45.2,0,12,0.0,24,32,75.0,10,35,45,20,5,12,18,22,8
03/24/2000,LAL,CHH @ TOR,L,240,101,40,85,47.1,8,16,50.0,13,18,72.2,17,31,48,17,6,0,18,29,-8
03/22/2000,SAC,CHH @ TOR,W,240,114,46,85,54.1,7,13,53.8,15,22,68.2,15,37,52,35,13,7,26,27,21
03/20/2000,BOS,NYK @ IND,W,240,110,37,82,45.1,4,16,25.0,32,36,88.9,11,31,42,27,7,8,15,25,4
03/19/2000,GSW,NYK @ IND,W,240,99,37,83,44.6,11,18,61.1,14,20,70.0,14,41,55,31,5,6,20,26,17
03/17/2000,VAN,DEN @ SAS,W,240,101,43,96,44.8,4,16,25.0,11,12,91.7,13,31,44,32,17,4,20,29,15
03/14/2000,MIN,HOU @ NYK,W,240,107,31,75,41.3,2,13,15.4,43,49,87.8,12,31,43,23,11,3,15,18,7
03/11/2000,DAL,HOU @ NYK,L,240,99,36,81,44.4,4,18,22.2,23,35,65.7,10,37,47,22,7,2,16,34,-5
03/10/2000,UTA,IND @ CLE,L,240,96,34,71,47.9,6,16,37.5,22,23,95.7,7,23,30,27,6,2,15,23,-3
03/07/2000,HOU,CLE @ UTA,W,240,108,39,82,47.6,6,12,50.0,24,26,92.3,12,30,42,23,11,5,11,19,7
03/06/2000,MIA,CLE @ UTA,W,240,100,41,77,53.2,1,6,16.7,17,27,63.0,10,27,37,33,12,4,17,29,8
03/04/2000,DAL,SAC @ SAS,W,240,110,43,93,46.2,9,24,37.5,15,19,78.9,14,32,46,36,10,3,11,19,14
03/02/2000,IND,SAC @ SAS,W,240,118,47,93,50.5,6,11,54.5,18,21,85.7,15,34,49,31,10,3,10,22,31
02/29/2000,CLE,CHI @ TOR,W,240,100,36,85,42.4,5,16,31.3,23,31,74.2,14,31,45,25,12,4,14,25,7
02/27/2000,TOR,CHI @ TOR,L,240,102,36,73,49.3,7,14,50.0,23,31,74.2,9,22,31,23,13,9,21,27,-1
02/25/2000,NYK,CHH @ NJN,L,240,79,31,75,41.3,4,15,26.7,13,14,92.9,8,34,42,25,6,5,15,21,-5
02/24/2000,WAS,CHH @ NJN,W,240,92,34,74,45.9,5,8,62.5,19,28,67.9,8,32,40,21,14,4,18,20,9
