,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
08/13/2020,BKN,DEN @ TOR,W,240,134,50,104,48.1,13,39,33.3,21,24,87.5,14,28,42,25,10,4,9,21,1
08/11/2020,DAL,DEN @ TOR,W,240,134,46,98,46.9,15,38,39.5,27,29,93.1,12,36,48,18,9,3,8,31,3
08/09/2020,PHI,DEN @ LAL,W,240,124,43,91,47.3,11,35,31.4,27,29,93.1,7,34,41,19,8,6,10,16,3
08/08/2020,LAC,DEN @ LAL,L,240,117,44,90,48.9,17,43,39.5,12,17,70.6,9,32,41,24,5,2,11,26,-5
08/06/2020,DEN,DEN @ LAL,W,240,125,43,92,46.7,23,39,59.0,16,20,80.0,13,26,39,30,7,6,9,18,10
08/04/2020,HOU,IND @ PHX,W,240,110,39,95,41.1,12,31,38.7,20,29,69.0,15,49,64,18,7,5,12,21,8
08/02/2020,BOS,IND @ PHX,L,240,124,45,90,50.0,19,42,45.2,15,16,93.8,9,26,35,31,8,5,12,25,-4
07/31/2020,MEM,MIA @ DEN,W,265,140,49,91,53.8,13,30,43.3,29,34,85.3,9,33,42,27,10,9,17,36,5
03/10/2020,PHX,MIA @ DEN,W,240,121,45,89,50.6,17,35,48.6,14,17,82.4,9,37,46,20,9,9,11,17,16
03/07/2020,SAC,BOS @ IND,L,240,111,42,89,47.2,10,39,25.6,17,26,65.4,10,31,41,22,9,3,11,16,-12
03/06/2020,PHX,POR @ PHX,L,240,117,43,87,49.4,13,32,40.6,18,24,75.0,9,30,39,26,6,6,16,19,-10
03/04/2020,WAS,POR @ PHX,W,240,125,42,81,51.9,13,31,41.9,28,32,87.5,7,40,47,24,7,11,16,24,21
03/02/2020,ORL,LAC @ OKC,W,240,130,49,88,55.7,16,33,48.5,16,16,100,6,43,49,27,6,4,12,24,23
02/29/2020,ATL,LAC @ OKC,L,240,117,47,94,50.0,8,28,28.6,15,21,71.4,13,29,42,14,9,4,17,26,-12
02/27/2020,IND,CLE @ NOP,L,240,100,41,89,46.1,9,30,30.0,9,14,64.3,10,35,45,14,5,5,14,21,-6
02/25/2020,BOS,DET @ DEN,L,240,106,38,85,44.7,13,31,41.9,17,23,73.9,8,33,41,24,8,4,17,15,-12
02/23/2020,DET,DET @ DEN,W,240,107,41,84,48.8,13,30,43.3,12,19,63.2,9,32,41,20,6,5,10,18,3
02/21/2020,NOP,PHI @ MIL,L,240,115,43,94,45.7,10,27,37.0,19,25,76.0,13,33,46,20,7,9,14,22,-13
02/12/2020,MEM,PHI @ MIL,L,240,104,36,97,37.1,13,37,35.1,19,24,79.2,16,35,51,21,7,3,11,16,-7
02/11/2020,NOP,MIL @ IND,L,240,117,44,93,47.3,7,29,24.1,22,28,78.6,12,28,40,21,5,3,15,26,-21
02/09/2020,MIA,MIL @ IND,W,240,115,40,85,47.1,19,42,45.2,16,22,72.7,5,38,43,20,9,6,14,22,6
02/07/2020,UTA,NYK @ DET,L,240,114,44,97,45.4,17,40,42.5,9,14,64.3,10,33,43,14,9,4,9,18,-3
02/06/2020,SAS,NYK @ DET,W,240,125,49,92,53.3,18,37,48.6,9,12,75.0,9,41,50,28,2,6,12,19,8
02/04/2020,DEN,MIA @ LAC,L,240,99,36,91,39.6,9,31,29.0,18,22,81.8,9,27,36,16,5,6,9,22,-28
02/01/2020,UTA,UTA @ POR,W,240,124,47,92,51.1,15,29,51.7,15,18,83.3,14,37,51,20,4,5,12,19,17
01/31/2020,LAL,UTA @ POR,W,240,127,49,97,50.5,13,36,36.1,16,21,76.2,6,34,40,25,10,8,7,22,8
01/29/2020,HOU,UTA @ POR,W,240,125,46,89,51.7,13,36,36.1,20,27,74.1,10,40,50,24,8,8,19,20,13
01/26/2020,IND,MEM @ NYK,W,240,139,49,90,54.4,20,35,57.1,21,25,84.0,12,31,43,27,1,7,17,21,10
01/23/2020,DAL,OKC @ MIN,L,240,125,46,91,50.5,21,39,53.8,12,15,80.0,11,32,43,20,4,4,15,20,-8
01/20/2020,GSW,OKC @ ORL,W,265,129,44,100,44.0,14,44,31.8,27,30,90.0,12,42,54,21,4,11,12,19,5
01/18/2020,OKC,POR @ OKC,L,240,106,39,91,42.9,12,32,37.5,16,21,76.2,12,28,40,11,7,7,12,28,-13
01/17/2020,DAL,POR @ OKC,L,240,112,44,85,51.8,9,30,30.0,15,22,68.2,8,32,40,25,6,5,12,22,-8
01/15/2020,HOU,CHA @ DEN,W,240,117,41,95,43.2,11,36,30.6,24,29,82.8,12,46,58,22,6,4,8,19,10
