,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/21/1996,GOS,PHL @ TOR,W,240,107,44,95,46.3,7,14,50.0,12,25,48.0,25,32,57,24,8,7,15,21,7
04/20/1996,UTH,PHL @ TOR,L,240,92,35,72,48.6,6,15,40.0,16,23,69.6,11,20,31,20,10,4,16,18,-12
04/17/1996,PHX,DAL @ PHX,W,240,103,35,86,40.7,6,23,26.1,27,39,69.2,19,29,48,26,8,4,12,21,1
04/15/1996,DEN,CHH @ IND,W,240,90,33,71,46.5,5,14,35.7,19,24,79.2,7,30,37,12,2,6,8,28,4
04/14/1996,LAC,CHH @ IND,W,240,101,34,79,43.0,4,12,33.3,29,41,70.7,21,28,49,22,9,5,20,30,5
04/12/1996,VAN,CHH @ IND,L,240,98,40,81,49.4,4,11,36.4,14,20,70.0,11,23,34,25,16,3,19,21,-1
04/10/1996,SEA,IND @ ORL,L,240,89,34,77,44.2,8,20,40.0,13,20,65.0,10,24,34,23,7,7,24,26,-19
04/09/1996,DAL,IND @ ORL,W,240,95,41,79,51.9,4,11,36.4,9,15,60.0,10,32,42,26,11,9,17,17,9
04/07/1996,UTH,TOR @ MIN,L,240,92,30,80,37.5,8,15,53.3,24,33,72.7,14,28,42,22,2,5,9,28,-15
04/05/1996,HOU,TOR @ MIN,W,240,96,33,81,40.7,3,11,27.3,27,40,67.5,14,34,48,24,10,9,16,18,5
04/03/1996,SAN,ATL @ NJN,L,240,96,37,79,46.8,2,10,20.0,20,25,80.0,10,26,36,24,10,1,17,27,-21
04/02/1996,DAL,ATL @ NJN,W,240,104,39,74,52.7,5,11,45.5,21,27,77.8,10,36,46,23,10,7,18,23,7
03/31/1996,CLE,DET @ MIL,W,265,105,33,64,51.6,8,21,38.1,31,43,72.1,13,27,40,22,5,9,21,26,5
03/29/1996,CHH,ORL @ TOR,W,265,107,35,73,47.9,6,15,40.0,31,46,67.4,11,33,44,21,8,5,19,21,6
03/26/1996,PHX,VAN @ DET,L,240,98,35,83,42.2,10,24,41.7,18,26,69.2,13,26,39,26,6,7,7,34,-4
03/24/1996,SEA,VAN @ DET,L,240,110,42,90,46.7,9,23,39.1,17,27,63.0,17,27,44,26,7,3,12,22,-2
03/22/1996,POR,CLE @ UTH,W,240,80,27,79,34.2,3,15,20.0,23,34,67.6,17,33,50,14,10,6,15,27,2
03/20/1996,MIL,CLE @ UTH,W,240,122,41,79,51.9,6,16,37.5,34,43,79.1,13,29,42,23,9,2,14,25,25
03/19/1996,CHI,DET @ ORL,L,240,67,23,82,28.0,3,14,21.4,18,24,75.0,23,28,51,13,6,5,22,29,-22
03/17/1996,CLE,DET @ ORL,L,240,84,27,76,35.5,6,17,35.3,24,28,85.7,14,28,42,19,1,1,17,28,-31
03/15/1996,MIN,PHX @ PHL,L,240,87,30,70,42.9,6,18,33.3,21,32,65.6,9,25,34,25,8,5,26,26,-26
03/13/1996,MIL,PHX @ PHL,W,240,104,36,90,40.0,6,16,37.5,26,32,81.3,18,32,50,21,4,2,10,22,9
03/11/1996,VAN,ORL @ DEN,W,240,92,36,75,48.0,7,11,63.6,13,19,68.4,13,31,44,29,8,6,20,21,4
03/10/1996,GOS,ORL @ DEN,W,240,96,37,85,43.5,10,16,62.5,12,18,66.7,10,28,38,25,8,3,15,27,1
03/08/1996,POR,LAL @ PHX,L,240,105,38,85,44.7,9,20,45.0,20,30,66.7,14,23,37,22,6,4,15,29,-12
03/07/1996,LAL,LAL @ PHX,L,240,89,34,77,44.2,7,11,63.6,14,19,73.7,10,24,34,21,7,3,14,26,-13
03/05/1996,UTH,UTH @ SAC,L,240,97,36,69,52.2,5,11,45.5,20,26,76.9,10,22,32,20,4,10,20,30,-15
03/03/1996,WAS,UTH @ SAC,L,240,99,41,78,52.6,5,14,35.7,12,21,57.1,11,24,35,22,8,7,18,24,-9
02/29/1996,LAC,PHL @ SAN,L,240,110,41,87,47.1,5,15,33.3,23,27,85.2,21,24,45,18,5,6,15,28,-12
