,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/19/1992,UTH,DET @ CHI,L,240,90,34,81,42.0,2,10,20.0,20,27,74.1,14,21,35,16,7,5,14,22,-11
04/17/1992,DEN,DET @ CHI,W,240,108,38,78,48.7,2,4,50.0,30,42,71.4,16,26,42,21,11,6,12,22,14
04/16/1992,PHX,MIN @ LAC,L,240,101,41,95,43.2,0,7,0.0,19,28,67.9,14,30,44,24,9,8,15,23,-20
04/14/1992,DAL,MIN @ LAC,W,240,120,42,88,47.7,0,3,0.0,36,50,72.0,22,37,59,21,8,6,14,19,12
04/12/1992,POR,MIL @ PHL,L,240,97,43,97,44.3,1,10,10.0,10,17,58.8,15,25,40,26,6,6,12,21,-26
04/09/1992,LAL,MIL @ PHL,W,240,102,41,82,50.0,2,4,50.0,18,21,85.7,11,32,43,29,6,6,13,14,8
04/07/1992,HOU,CHH @ CLE,L,240,92,37,89,41.6,4,13,30.8,14,19,73.7,10,24,34,23,10,7,9,19,-3
04/05/1992,DEN,CHH @ CLE,W,240,90,37,85,43.5,2,7,28.6,14,19,73.7,18,31,49,19,8,3,15,22,3
04/03/1992,ORL,PHX @ LAL,L,265,106,43,100,43.0,1,6,16.7,19,24,79.2,19,36,55,22,11,9,18,34,-7
04/01/1992,LAL,MIA @ PHL,W,240,104,41,80,51.3,2,8,25.0,20,26,76.9,16,32,48,20,5,10,16,16,18
03/30/1992,NJN,MIA @ PHL,L,240,109,42,95,44.2,6,8,75.0,19,24,79.2,19,21,40,17,10,9,12,19,-8
03/29/1992,DET,MIA @ PHL,L,240,103,47,95,49.5,2,6,33.3,7,12,58.3,14,25,39,24,7,5,9,23,-4
03/27/1992,MIA,HOU @ POR,L,240,101,37,87,42.5,1,2,50.0,26,39,66.7,15,25,40,14,9,5,10,24,-17
03/25/1992,CHH,HOU @ POR,L,240,108,46,102,45.1,1,6,16.7,15,20,75.0,18,28,46,24,5,7,13,28,-5
03/23/1992,PHL,BOS @ NJN,L,240,92,37,85,43.5,3,7,42.9,15,19,78.9,18,23,41,27,10,3,15,17,-13
03/21/1992,SEA,ORL @ CHI,W,240,101,36,68,52.9,0,2,0.0,29,42,69.0,14,32,46,24,8,7,20,17,5
03/18/1992,SAC,ORL @ CHI,W,240,118,50,97,51.5,2,5,40.0,16,21,76.2,19,34,53,31,8,3,10,16,29
03/16/1992,CHH,LAC @ HOU,L,240,112,43,90,47.8,3,10,30.0,23,29,79.3,20,23,43,22,9,6,17,17,-5
03/14/1992,UTH,LAC @ HOU,W,240,113,43,77,55.8,1,5,20.0,26,31,83.9,11,25,36,28,11,6,15,19,7
03/12/1992,HOU,DEN @ MIA,W,240,104,41,76,53.9,1,3,33.3,21,27,77.8,12,29,41,22,9,7,17,18,6
03/10/1992,ATL,DEN @ MIA,W,240,103,43,91,47.3,1,3,33.3,16,20,80.0,18,33,51,23,11,5,16,17,11
03/08/1992,DAL,PHX @ CLE,W,240,93,36,79,45.6,4,7,57.1,17,22,77.3,17,31,48,20,10,10,15,15,12
