,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/26/2012,GSW,CLE @ CHI,W,240,107,42,96,43.8,9,31,29.0,14,17,82.4,19,35,54,27,7,5,13,14,6
04/25/2012,PHX,CLE @ CHI,W,240,110,41,88,46.6,8,22,36.4,20,23,87.0,12,33,45,23,6,2,14,19,4
04/23/2012,POR,CLE @ MEM,W,240,124,48,81,59.3,12,22,54.5,16,21,76.2,8,39,47,34,11,8,16,9,35
04/22/2012,CLE,CLE @ MEM,W,240,114,42,77,54.5,8,20,40.0,22,29,75.9,5,40,45,23,6,4,14,20,16
04/20/2012,LAL,CLE @ MEM,W,240,121,47,77,61.0,10,15,66.7,17,18,94.4,11,31,42,27,9,5,16,22,24
04/18/2012,SAC,NYK @ CLE,W,240,127,47,80,58.8,8,21,38.1,25,31,80.6,9,31,40,26,7,3,11,20,25
04/17/2012,LAL,IND @ PHI,W,240,112,50,84,59.5,7,18,38.9,5,11,45.5,6,31,37,29,8,5,12,17,21
04/16/2012,GSW,IND @ PHI,W,240,120,36,92,39.1,12,27,44.4,36,43,83.7,19,36,55,27,6,4,14,14,21
04/14/2012,PHX,GSW @ LAC,W,240,105,40,76,52.6,9,18,50.0,16,19,84.2,10,39,49,24,12,1,24,20,14
04/12/2012,MEM,GSW @ LAC,W,240,107,37,76,48.7,7,20,35.0,26,31,83.9,10,31,41,19,9,4,18,21,10
04/11/2012,LAL,IND @ CLE,L,240,84,33,81,40.7,13,24,54.2,5,9,55.6,1,32,33,26,9,7,7,14,-14
04/09/2012,UTA,IND @ CLE,L,240,84,35,87,40.2,7,24,29.2,7,10,70.0,12,26,38,16,10,5,14,22,-7
04/08/2012,UTA,IND @ CLE,W,240,114,35,69,50.7,6,22,27.3,38,43,88.4,7,38,45,19,5,8,16,24,10
04/06/2012,NOH,UTA @ SAS,W,240,128,51,84,60.7,9,18,50.0,17,21,81.0,11,29,40,31,8,8,13,21,25
04/04/2012,BOS,WAS @ NJN,W,240,87,36,86,41.9,7,28,25.0,8,11,72.7,12,41,53,17,7,4,17,8,1
