,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/12/2017,CLE,TOR @ CLE,W,240,98,40,86,46.5,8,26,30.8,10,16,62.5,12,36,48,20,8,2,9,20,15
04/09/2017,NYK,SAS @ POR,W,240,110,40,77,51.9,10,31,32.3,20,23,87.0,5,36,41,20,8,1,11,14,13
04/07/2017,MIA,SAS @ POR,W,240,96,35,85,41.2,9,20,45.0,17,24,70.8,12,32,44,14,10,4,18,24,2
04/05/2017,DET,NOP @ DEN,W,240,105,41,87,47.1,10,30,33.3,13,15,86.7,7,29,36,29,7,2,12,14,3
04/04/2017,IND,NOP @ DEN,L,240,90,34,76,44.7,5,23,21.7,17,19,89.5,6,34,40,11,7,5,14,19,-18
04/02/2017,PHI,DAL @ SAC,W,240,113,46,85,54.1,6,19,31.6,15,19,78.9,10,27,37,25,12,9,15,19,8
03/31/2017,IND,WAS @ UTA,W,240,111,37,82,45.1,14,27,51.9,23,35,65.7,16,37,53,23,7,5,14,23,11
03/29/2017,CHA,WAS @ UTA,L,240,106,38,83,45.8,11,31,35.5,19,24,79.2,13,31,44,23,4,7,14,22,-4
03/27/2017,ORL,MIA @ DET,W,240,131,49,83,59.0,10,15,66.7,23,35,65.7,9,34,43,24,7,8,15,25,19
03/25/2017,DAL,MIA @ DET,W,240,94,39,81,48.1,9,21,42.9,7,9,77.8,12,32,44,22,9,3,15,21,8
03/23/2017,MIA,NOP @ HOU,W,240,101,35,79,44.3,6,23,26.1,25,32,78.1,11,40,51,10,9,3,18,21,17
03/21/2017,CHI,PHX @ MIA,W,265,122,47,95,49.5,8,23,34.8,20,27,74.1,16,34,50,18,6,4,17,23,2
03/19/2017,IND,PHX @ MIA,W,240,116,45,91,49.5,12,27,44.4,14,16,87.5,14,37,51,25,7,7,17,20,25
03/17/2017,DET,UTA @ CHI,W,240,87,30,78,38.5,9,27,33.3,18,20,90.0,8,45,53,19,5,2,12,21,12
03/16/2017,OKC,UTA @ CHI,L,240,102,37,81,45.7,5,20,25.0,23,30,76.7,6,26,32,15,10,10,14,20,-21
03/13/2017,DAL,NOP @ MIA,W,240,100,37,78,47.4,9,25,36.0,17,18,94.4,9,46,55,19,7,6,14,16,22
03/11/2017,MIA,PHX @ DAL,L,240,89,33,88,37.5,2,15,13.3,21,25,84.0,16,32,48,7,6,5,13,20,-15
03/10/2017,ATL,PHX @ DAL,L,240,99,37,92,40.2,4,25,16.0,21,27,77.8,16,30,46,19,17,5,12,28,-6
03/08/2017,NOP,SAC @ SAS,W,240,94,36,76,47.4,8,21,38.1,14,23,60.9,8,34,42,21,6,6,12,18,7
03/04/2017,MIL,UTA @ SAC,L,240,94,35,75,46.7,7,21,33.3,17,20,85.0,3,33,36,20,2,4,12,23,-7
03/03/2017,WAS,UTA @ SAC,W,240,114,41,81,50.6,11,25,44.0,21,27,77.8,11,40,51,16,5,9,18,23,8
03/01/2017,WAS,PHI @ MIA,L,240,96,33,90,36.7,7,20,35.0,23,26,88.5,16,34,50,11,8,4,12,18,-9
02/27/2017,NYK,PHI @ MIA,W,240,92,33,78,42.3,7,26,26.9,19,23,82.6,11,30,41,12,9,3,12,18,1
02/26/2017,POR,UTA @ WAS,W,240,112,42,78,53.8,7,20,35.0,21,27,77.8,5,34,39,16,7,5,10,24,6
02/24/2017,BOS,UTA @ WAS,W,240,107,40,81,49.4,5,15,33.3,22,29,75.9,10,31,41,15,7,4,11,21,10
02/15/2017,CHA,DEN @ SAC,W,240,90,32,84,38.1,12,32,37.5,14,19,73.7,8,38,46,19,8,4,16,13,5
02/14/2017,CHI,DEN @ SAC,L,240,94,35,77,45.5,5,20,25.0,19,24,79.2,8,26,34,15,9,1,18,26,-11
