,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/14/2010,PHX,DET @ MIN,L,240,86,30,80,37.5,7,19,36.8,19,24,79.2,10,31,41,17,5,2,19,26,-14
04/13/2010,GSW,DET @ MIN,W,240,103,41,85,48.2,5,18,27.8,16,20,80.0,15,46,61,29,10,3,22,23,9
04/09/2010,NOH,DAL @ LAC,W,240,114,44,80,55.0,8,20,40.0,18,24,75.0,7,34,41,32,10,4,12,23,11
04/07/2010,HOU,NYK @ ORL,L,240,96,39,79,49.4,3,14,21.4,15,21,71.4,12,30,42,25,9,5,26,23,-17
04/06/2010,OKC,DET @ PHI,W,265,140,49,94,52.1,12,21,57.1,30,37,81.1,16,27,43,29,7,2,16,31,1
04/02/2010,LAL,ATL @ CLE,L,240,92,38,85,44.7,4,15,26.7,12,21,57.1,9,36,45,22,6,4,14,26,-14
03/31/2010,GSW,ATL @ CLE,W,240,128,46,87,52.9,8,19,42.1,28,38,73.7,14,43,57,37,9,5,17,31,24
03/29/2010,NYK,SAC @ IND,W,240,103,41,80,51.3,9,16,56.3,12,18,66.7,7,37,44,24,6,5,16,21,5
03/27/2010,WAS,SAC @ IND,W,240,103,39,66,59.1,5,12,41.7,20,26,76.9,5,40,45,32,7,8,23,22,16
03/26/2010,IND,ATL @ PHI,L,240,106,37,86,43.0,10,18,55.6,22,26,84.6,12,37,49,27,6,5,15,24,-16
03/24/2010,TOR,ATL @ PHI,W,240,113,43,87,49.4,8,20,40.0,19,27,70.4,14,38,52,31,11,7,15,25,26
03/22/2010,BOS,CHA @ WAS,W,240,110,38,74,51.4,7,21,33.3,27,31,87.1,8,32,40,25,9,5,18,28,13
03/20/2010,NOH,CHA @ WAS,W,240,106,43,77,55.8,3,13,23.1,17,26,65.4,11,30,41,28,12,4,12,20,20
03/19/2010,PHX,CHA @ MIA,L,240,100,34,88,38.6,0,9,0.0,32,39,82.1,18,30,48,23,14,2,15,28,-10
03/17/2010,MIN,CHA @ MIA,W,240,122,49,91,53.8,5,20,25.0,19,20,95.0,9,35,44,30,15,4,13,25,22
03/15/2010,WAS,NOH @ GSW,W,240,112,43,82,52.4,5,13,38.5,21,35,60.0,8,34,42,28,10,6,11,26,23
03/14/2010,OKC,NOH @ GSW,L,240,111,39,77,50.6,11,19,57.9,22,34,64.7,7,23,30,27,8,2,11,25,-8
03/12/2010,MIL,DET @ ATL,L,240,87,35,84,41.7,0,10,0.0,17,23,73.9,14,35,49,18,4,5,16,22,-8
03/10/2010,DET,DET @ ATL,W,240,115,45,80,56.3,6,17,35.3,19,25,76.0,15,29,44,35,5,5,15,22,11
03/09/2010,CHI,MEM @ BOS,W,240,132,45,83,54.2,12,20,60.0,30,39,76.9,14,28,42,34,11,3,11,21,24
03/06/2010,LAC,SAS @ MEM,W,240,107,42,93,45.2,7,14,50.0,16,21,76.2,12,33,45,28,12,3,6,15,22
03/04/2010,PHX,SAS @ MEM,W,240,116,38,83,45.8,12,24,50.0,28,38,73.7,19,24,43,19,11,3,12,27,8
03/01/2010,LAC,PHI @ ATL,L,240,104,38,89,42.7,4,15,26.7,24,31,77.4,15,25,40,30,15,7,12,22,-4
02/27/2010,HOU,WAS @ NJN,W,240,133,52,77,67.5,14,25,56.0,15,26,57.7,5,34,39,36,5,7,17,31,23
02/26/2010,SAC,WAS @ NJN,L,240,99,36,88,40.9,5,21,23.8,22,28,78.6,13,35,48,29,3,5,13,20,-4
02/24/2010,CHA,MIL @ IND,W,240,102,39,82,47.6,9,21,42.9,15,23,65.2,15,27,42,25,7,2,16,24,9
02/22/2010,ATL,MIL @ IND,L,240,100,41,85,48.2,4,17,23.5,14,21,66.7,19,24,43,24,5,6,11,21,-5
02/21/2010,POR,HOU @ NOH,W,265,93,33,83,39.8,4,15,26.7,23,34,67.6,16,36,52,22,7,4,17,25,4
02/19/2010,GSW,HOU @ NOH,W,240,100,38,89,42.7,8,21,38.1,16,24,66.7,14,34,48,32,13,10,15,20,11
02/17/2010,NOH,TOR @ NJN,W,240,98,38,70,54.3,3,9,33.3,19,22,86.4,6,36,42,26,9,7,22,16,8
02/16/2010,HOU,MIN @ DET,W,240,104,41,79,51.9,2,10,20.0,20,24,83.3,10,33,43,30,11,10,21,22,9
02/10/2010,LAL,MIN @ DET,L,240,81,33,75,44.0,2,13,15.4,13,25,52.0,9,28,37,19,10,6,17,19,-15
02/09/2010,LAC,MIN @ DET,W,240,109,42,83,50.6,4,15,26.7,21,28,75.0,13,28,41,32,10,3,11,28,10
02/06/2010,DEN,NOH @ ORL,W,240,116,40,81,49.4,5,17,29.4,31,40,77.5,11,27,38,27,10,8,13,26,10
02/03/2010,POR,SAS @ POR,W,240,118,42,67,62.7,5,13,38.5,29,32,90.6,4,31,35,32,6,7,12,19,13
02/01/2010,DAL,SAS @ POR,W,240,104,39,79,49.4,4,14,28.6,22,25,88.0,13,30,43,26,11,6,15,16,12
01/29/2010,SAC,PHX @ NOH,W,240,101,35,72,48.6,4,12,33.3,27,40,67.5,10,31,41,20,9,9,16,19,7
01/27/2010,POR,MIA @ DET,W,240,106,38,63,60.3,6,15,40.0,24,35,68.6,8,36,44,27,6,9,21,27,11
01/25/2010,PHX,CHA @ DEN,W,240,124,44,84,52.4,7,20,35.0,29,37,78.4,13,35,48,29,8,5,11,17,9
01/23/2010,NJN,CHA @ DEN,W,240,116,44,72,61.1,2,7,28.6,26,34,76.5,10,36,46,28,11,6,16,21,33
