,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
04/22/1989,GOS,SAC @ POR,W,240,111,37,79,46.8,2,4,50.0,35,41,85.4,17,33,50,23,12,6,25,12,16
04/21/1989,DAL,SAC @ POR,L,240,89,32,71,45.1,4,9,44.4,21,28,75.0,13,31,44,26,11,7,21,24,-2
04/18/1989,LAC,POR @ SEA,L,240,92,37,83,44.6,1,6,16.7,17,25,68.0,17,29,46,24,12,8,18,17,-3
04/17/1989,LAC,POR @ SEA,W,240,108,46,99,46.5,0,3,0.0,16,19,84.2,19,29,48,32,9,6,13,26,6
04/15/1989,POR,NYK @ PHL,W,240,99,38,77,49.4,0,3,0.0,23,27,85.2,12,32,44,21,7,5,20,24,4
04/14/1989,HOU,NYK @ PHL,W,240,122,44,72,61.1,0,3,0.0,34,42,81.0,7,25,32,28,11,6,16,29,26
04/12/1989,DEN,MIL @ WAS,W,240,107,36,76,47.4,3,5,60.0,32,40,80.0,7,41,48,26,11,10,20,20,5
04/08/1989,DEN,UTH @ DEN,L,240,106,40,75,53.3,1,5,20.0,25,35,71.4,7,34,41,25,8,7,17,33,-4
04/07/1989,LAL,UTH @ DEN,W,240,99,36,60,60.0,2,3,66.7,25,29,86.2,7,27,34,25,10,3,21,26,2
04/05/1989,PHX,UTH @ DEN,L,240,104,37,90,41.1,1,4,25.0,29,37,78.4,17,26,43,25,10,2,18,31,-10
04/04/1989,DAL,NJN @ WAS,W,240,95,39,70,55.7,1,7,14.3,16,21,76.2,11,36,47,29,8,2,17,15,15
04/01/1989,SAC,NJN @ WAS,L,240,97,36,79,45.6,0,4,0.0,25,34,73.5,11,28,39,28,7,3,22,26,-20
03/29/1989,DET,POR @ WAS,L,290,104,32,78,41.0,1,8,12.5,39,47,83.0,13,31,44,24,5,6,24,38,-4
03/27/1989,SEA,WAS @ SAN,W,240,124,44,79,55.7,1,3,33.3,35,43,81.4,17,35,52,24,7,9,16,14,19
03/25/1989,DEN,WAS @ SAN,W,240,112,40,73,54.8,1,3,33.3,31,44,70.5,6,40,46,30,10,9,17,27,22
03/24/1989,HOU,WAS @ SAN,W,240,102,33,72,45.8,0,3,0.0,36,42,85.7,10,32,42,24,9,7,15,18,3
03/21/1989,SEA,SAN @ PHL,L,240,96,33,73,45.2,1,2,50.0,29,37,78.4,15,27,42,23,8,3,22,26,-5
03/18/1989,SAN,ATL @ LAL,L,240,98,34,74,45.9,0,7,0.0,30,45,66.7,12,29,41,16,8,9,21,21,-16
03/17/1989,MIA,ATL @ LAL,W,240,118,42,77,54.5,2,5,40.0,32,42,76.2,10,29,39,29,14,5,14,27,22
03/15/1989,POR,PHL @ NYK,W,240,102,34,83,41.0,2,7,28.6,32,41,78.0,21,34,55,25,10,7,18,22,7
03/13/1989,CLE,PHL @ NYK,W,240,98,39,91,42.9,0,2,0.0,20,26,76.9,15,32,47,24,13,7,11,24,15
03/10/1989,GOS,CLE @ POR,W,240,126,49,98,50.0,2,9,22.2,26,40,65.0,21,32,53,31,13,7,16,16,14
03/08/1989,HOU,HOU @ UTH,W,240,117,43,82,52.4,2,3,66.7,29,38,76.3,17,39,56,33,5,9,14,16,37
03/05/1989,ATL,HOU @ UTH,W,240,85,34,71,47.9,3,7,42.9,14,15,93.3,11,35,46,23,8,8,24,24,2
03/03/1989,MIA,SAC @ GOS,W,240,107,41,79,51.9,2,5,40.0,23,27,85.2,9,26,35,28,11,7,17,21,12
03/01/1989,DET,SAC @ GOS,L,240,85,32,71,45.1,1,4,25.0,20,32,62.5,14,16,30,24,4,1,15,25,-11
02/27/1989,NJN,PHL @ LAC,W,240,109,44,81,54.3,4,5,80.0,17,22,77.3,9,34,43,27,7,12,14,22,13
02/26/1989,IND,PHL @ LAC,L,240,89,28,68,41.2,2,5,40.0,31,41,75.6,12,20,32,19,5,4,16,25,-39
02/24/1989,DEN,UTH @ DEN,L,240,102,35,78,44.9,1,2,50.0,31,44,70.5,17,28,45,22,10,4,25,23,-19
02/22/1989,LAL,UTH @ DEN,W,240,105,41,88,46.6,1,6,16.7,22,28,78.6,22,40,62,23,12,9,20,15,26
02/20/1989,PHX,DAL @ SAN,W,240,118,46,92,50.0,0,3,0.0,26,33,78.8,15,36,51,28,13,4,15,31,26
02/18/1989,SAN,DAL @ SAN,W,240,107,39,80,48.8,1,6,16.7,28,34,82.4,15,31,46,24,13,19,21,26,14
02/16/1989,BOS,LAL @ POR,W,240,129,46,83,55.4,1,2,50.0,36,42,85.7,8,31,39,36,12,12,10,29,15
02/14/1989,DEN,LAL @ POR,W,240,119,42,84,50.0,0,1,0.0,35,43,81.4,8,42,50,33,11,10,16,24,14
