,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
08/13/2020,BOS,DEN @ TOR,W,240,96,34,88,38.6,10,26,38.5,18,24,75.0,18,38,56,22,11,6,18,19,6
08/11/2020,MIL,DEN @ TOR,L,240,113,39,95,41.1,12,35,34.3,23,30,76.7,11,33,44,22,2,3,11,23,-13
08/09/2020,OKC,DEN @ LAL,L,240,103,38,92,41.3,9,36,25.0,18,22,81.8,13,31,44,23,6,3,16,18,-18
08/07/2020,NOP,DEN @ LAL,L,240,107,38,90,42.2,10,27,37.0,21,23,91.3,10,30,40,22,9,4,16,27,-11
08/05/2020,PHI,IND @ PHX,L,240,98,36,85,42.4,7,21,33.3,19,24,79.2,9,39,48,17,8,5,15,26,-9
08/03/2020,IND,IND @ PHX,L,240,100,41,94,43.6,11,30,36.7,7,13,53.8,9,36,45,30,6,7,13,19,-11
08/02/2020,BKN,IND @ PHX,L,240,110,40,88,45.5,9,31,29.0,21,27,77.8,10,36,46,26,6,6,13,31,-8
07/31/2020,PHX,MIA @ DEN,L,240,112,42,91,46.2,8,22,36.4,20,23,87.0,8,28,36,18,7,2,18,26,-13
03/10/2020,NYK,MIA @ DEN,W,240,122,35,74,47.3,14,35,40.0,38,45,84.4,9,28,37,23,8,4,19,25,7
03/08/2020,MIA,BOS @ IND,L,240,89,26,78,33.3,19,47,40.4,18,21,85.7,4,25,29,19,11,2,14,26,-11
03/06/2020,ATL,POR @ PHX,W,240,118,36,76,47.4,15,31,48.4,31,35,88.6,9,29,38,24,9,4,18,19,6
03/04/2020,POR,POR @ PHX,L,240,104,40,103,38.8,11,35,31.4,13,21,61.9,18,30,48,27,8,4,10,29,-21
03/03/2020,SAC,POR @ PHX,L,240,126,41,80,51.3,16,38,42.1,28,34,82.4,2,29,31,28,10,5,14,22,-7
03/01/2020,GSW,LAC @ OKC,W,240,124,40,82,48.8,20,30,66.7,24,27,88.9,5,29,34,24,10,5,13,20,14
02/28/2020,UTA,CLE @ NOP,L,240,119,45,98,45.9,14,37,37.8,15,21,71.4,13,28,41,23,12,4,11,20,-10
02/26/2020,BKN,CLE @ NOP,W,240,110,41,96,42.7,15,39,38.5,13,16,81.3,9,30,39,22,9,2,11,26,4
02/24/2020,MIL,DET @ DEN,L,265,134,47,98,48.0,15,35,42.9,25,33,75.8,6,35,41,27,8,0,17,27,-3
02/23/2020,CHI,DET @ DEN,L,240,117,37,73,50.7,12,30,40.0,31,36,86.1,7,27,34,24,15,3,24,27,-9
02/21/2020,CLE,PHI @ MIL,L,240,108,41,106,38.7,9,37,24.3,17,23,73.9,17,30,47,24,12,3,12,26,-5
02/12/2020,NYK,MIL @ IND,W,240,114,40,84,47.6,10,28,35.7,24,33,72.7,6,34,40,25,13,7,14,21,18
02/11/2020,CHI,MIL @ IND,W,240,126,48,89,53.9,11,32,34.4,19,24,79.2,9,35,44,28,11,6,17,16,12
02/09/2020,MEM,MIL @ IND,L,240,99,35,100,35.0,7,33,21.2,22,29,75.9,9,41,50,25,7,4,7,22,-7
02/07/2020,DAL,NYK @ DET,W,240,119,45,90,50.0,19,38,50.0,10,13,76.9,8,31,39,28,8,4,13,19,1
02/03/2020,GSW,MIA @ LAC,L,240,117,42,83,50.6,9,22,40.9,24,29,82.8,2,33,35,28,6,4,11,24,-8
02/01/2020,BKN,UTA @ POR,W,240,113,44,100,44.0,9,32,28.1,16,26,61.5,18,33,51,21,9,8,10,20,6
01/30/2020,CHA,UTA @ POR,W,240,121,41,86,47.7,14,37,37.8,25,27,92.6,19,38,57,24,3,6,20,22,14
01/28/2020,MIL,MEM @ NYK,L,240,131,44,94,46.8,14,32,43.8,29,34,85.3,11,24,35,28,6,6,11,27,-20
01/26/2020,ATL,MEM @ NYK,L,240,133,42,88,47.7,11,33,33.3,38,42,90.5,8,26,34,20,5,7,12,26,-19
01/23/2020,CLE,OKC @ MIN,W,240,124,47,85,55.3,16,36,44.4,14,18,77.8,7,34,41,28,3,3,10,18,12
01/22/2020,MIA,OKC @ MIN,L,265,129,50,99,50.5,13,42,31.0,16,20,80.0,7,34,41,30,10,5,11,29,-5
01/20/2020,DET,OKC @ ORL,W,240,106,42,82,51.2,9,24,37.5,13,16,81.3,6,38,44,22,9,6,20,23,6
01/17/2020,TOR,POR @ OKC,L,240,111,40,89,44.9,15,35,42.9,16,23,69.6,13,30,43,19,9,3,28,16,-29
01/15/2020,CHI,CHA @ DEN,L,240,106,37,79,46.8,11,27,40.7,21,26,80.8,7,31,38,25,8,6,17,17,-9
01/12/2020,UTA,CHA @ DEN,L,240,116,47,93,50.5,7,22,31.8,15,17,88.2,9,28,37,28,5,4,10,18,-11
01/10/2020,ATL,LAC @ DEN,W,240,111,42,112,37.5,10,29,34.5,17,28,60.7,19,38,57,26,11,1,9,22,10
01/08/2020,ORL,WAS @ ORL,L,240,89,36,84,42.9,6,23,26.1,11,19,57.9,10,30,40,24,8,5,23,22,-34
01/06/2020,BOS,WAS @ ORL,W,240,99,39,84,46.4,7,21,33.3,14,23,60.9,7,40,47,18,8,9,14,22,5
01/04/2020,DEN,MEM @ PHX,W,240,128,50,91,54.9,6,16,37.5,22,27,81.5,14,35,49,20,5,6,11,28,14
01/03/2020,POR,MEM @ PHX,L,240,103,38,90,42.2,11,33,33.3,16,25,64.0,14,27,41,19,5,4,13,28,-19
01/01/2020,ORL,GSW @ MIN,L,240,101,33,87,37.9,9,31,29.0,26,31,83.9,9,37,46,18,5,4,13,23,-21
12/30/2019,MIA,GSW @ MIN,W,240,123,43,84,51.2,17,37,45.9,20,30,66.7,9,31,40,26,13,6,10,27,18
12/28/2019,NYK,IND @ NOP,L,240,100,33,96,34.4,10,25,40.0,24,31,77.4,14,35,49,16,15,3,12,22,-7
12/26/2019,DET,IND @ NOP,L,240,102,38,92,41.3,7,24,29.2,19,27,70.4,18,26,44,18,7,5,12,25,-30
12/23/2019,NYK,HOU @ GSW,W,240,121,47,100,47.0,10,30,33.3,17,30,56.7,16,32,48,27,12,7,9,12,6
12/21/2019,PHI,HOU @ GSW,L,240,108,36,88,40.9,7,31,22.6,29,34,85.3,7,31,38,18,7,3,11,21,-17
12/20/2019,TOR,MIL @ NYK,L,240,118,40,87,46.0,14,39,35.9,24,32,75.0,8,31,39,24,6,1,15,28,-4
12/18/2019,CHI,MIA @ PHI,L,265,109,34,95,35.8,14,45,31.1,27,32,84.4,14,41,55,21,8,7,16,20,-1
12/16/2019,DET,MIA @ PHI,W,240,133,49,88,55.7,18,34,52.9,17,21,81.0,7,28,35,31,6,5,16,27,14
12/14/2019,MEM,MIA @ PHI,L,240,111,36,85,42.4,14,38,36.8,25,32,78.1,11,23,34,22,12,4,18,22,-17
12/10/2019,CHA,ATL @ CHI,L,240,107,38,90,42.2,11,35,31.4,20,25,80.0,13,32,45,27,7,7,10,24,-7
12/08/2019,LAC,ATL @ CHI,L,240,119,40,88,45.5,14,33,42.4,25,30,83.3,8,30,38,28,5,3,14,22,-16
12/06/2019,MIA,PHX @ HOU,L,240,103,39,91,42.9,12,39,30.8,13,14,92.9,9,30,39,29,6,4,11,20,-9
12/05/2019,PHI,PHX @ HOU,W,240,119,41,90,45.6,11,27,40.7,26,32,81.3,13,28,41,25,9,1,12,20,6
12/03/2019,ORL,MIA @ BOS,L,240,120,45,89,50.6,12,35,34.3,18,23,78.3,5,33,38,22,9,3,10,23,-7
12/01/2019,LAC,MIA @ BOS,L,240,125,47,102,46.1,11,30,36.7,20,27,74.1,12,31,43,32,10,1,14,29,-25
11/29/2019,LAL,BOS @ NYK,L,240,103,38,96,39.6,10,37,27.0,17,19,89.5,13,32,45,25,10,2,19,23,-22
11/27/2019,PHX,BOS @ NYK,W,240,140,51,89,57.3,19,35,54.3,19,20,95.0,4,30,34,32,9,5,16,20,8
11/26/2019,DEN,OKC @ POR,L,240,104,40,95,42.1,10,40,25.0,14,21,66.7,5,31,36,26,9,3,12,22,-13
11/24/2019,SAC,OKC @ POR,L,240,106,42,92,45.7,13,34,38.2,9,12,75.0,12,33,45,29,5,2,17,23,-7
11/22/2019,CHA,NOP @ UTA,W,240,125,48,91,52.7,14,34,41.2,15,20,75.0,6,35,41,34,10,3,11,13,7
11/20/2019,SAS,UTA @ MIN,W,240,138,54,92,58.7,18,30,60.0,12,15,80.0,6,32,38,37,4,3,17,20,6
11/17/2019,ORL,UTA @ MIN,L,240,121,46,97,47.4,19,41,46.3,10,12,83.3,9,29,38,31,7,2,9,21,-4
11/15/2019,MIN,BOS @ SAC,W,240,137,54,100,54.0,10,28,35.7,19,25,76.0,13,38,51,38,10,5,14,22,21
11/13/2019,BOS,LAC @ HOU,L,240,133,50,96,52.1,11,29,37.9,22,27,81.5,9,27,36,28,5,4,9,23,-7
11/08/2019,CLE,BKN @ PHX,L,240,100,45,96,46.9,7,31,22.6,3,6,50.0,17,30,47,26,5,5,19,24,-13
11/06/2019,IND,ORL @ DAL,L,240,106,37,95,38.9,13,40,32.5,19,19,100,16,32,48,24,3,3,17,26,-15
11/04/2019,DET,ORL @ DAL,W,240,115,43,93,46.2,8,29,27.6,21,25,84.0,13,28,41,27,9,7,12,23,16
11/02/2019,MIN,CHA @ GSW,L,240,109,37,95,38.9,12,35,34.3,23,27,85.2,8,31,39,21,11,4,17,18,-22
10/30/2019,HOU,MIN @ PHI,L,240,158,57,91,62.6,20,36,55.6,24,29,82.8,11,29,40,31,6,4,19,27,-1
10/26/2019,SAS,NOP @ HOU,L,240,122,47,95,49.5,16,34,47.1,12,17,70.6,8,33,41,30,3,8,13,15,-2
10/25/2019,OKC,NOP @ HOU,W,240,97,39,97,40.2,11,41,26.8,8,10,80.0,8,39,47,21,9,6,15,21,12
