,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Michael Porter Jr.,29:48,6.0,10.0,60.0,3.0,6.0,50.0,0.0,0.0,0.0,1.0,8.0,9.0,0.0,1.0,0.0,2.0,3.0,15.0,27.0,11/05/2022,San Antonio Spurs,28.75
Aaron Gordon,22:33,4.0,6.0,66.7,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0,8.0,15.0,11/05/2022,San Antonio Spurs,18.5
Nikola Jokic,26:34,9.0,10.0,90.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,6.0,6.0,10.0,2.0,0.0,4.0,2.0,21.0,20.0,11/05/2022,San Antonio Spurs,46.0
Kentavious Caldwell-Pope,26:58,5.0,6.0,83.3,2.0,3.0,66.7,0.0,3.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,2.0,3.0,12.0,16.0,11/05/2022,San Antonio Spurs,25.75
Jamal Murray,23:02,6.0,10.0,60.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,13.0,17.0,11/05/2022,San Antonio Spurs,27.75
Bruce Brown,19:58,3.0,9.0,33.3,0.0,3.0,0.0,3.0,3.0,100.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,9.0,17.0,11/05/2022,San Antonio Spurs,19.25
Bones Hyland,24:58,9.0,17.0,52.9,6.0,8.0,75.0,0.0,0.0,0.0,1.0,4.0,5.0,7.0,2.0,0.0,1.0,0.0,24.0,8.0,11/05/2022,San Antonio Spurs,47.25
Jeff Green,25:27,4.0,8.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,4.0,1.0,9.0,10.0,11/05/2022,San Antonio Spurs,14.0
DeAndre Jordan,16:37,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,0.0,1.0,3.0,10.0,5.0,11/05/2022,San Antonio Spurs,21.0
Christian Braun,14:27,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,-10.0,11/05/2022,San Antonio Spurs,6.0
Davon Reed,4:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11/05/2022,San Antonio Spurs,-0.5
Vlatko Cancar,4:49,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11/05/2022,San Antonio Spurs,6.0
