,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Saddiq Bey,35:07,5.0,12.0,41.7,3.0,7.0,42.9,9.0,10.0,90.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,22.0,-22.0,11/02/2022,Milwaukee Bucks,31.25
Bojan Bogdanovic,27:48,5.0,12.0,41.7,3.0,7.0,42.9,1.0,1.0,100.0,0.0,3.0,3.0,2.0,0.0,0.0,7.0,3.0,14.0,-24.0,11/02/2022,Milwaukee Bucks,18.75
Isaiah Stewart,32:30,6.0,9.0,66.7,2.0,3.0,66.7,2.0,2.0,100.0,1.0,9.0,10.0,1.0,0.0,1.0,2.0,1.0,16.0,-21.0,11/02/2022,Milwaukee Bucks,32.0
Cade Cunningham,31:14,5.0,13.0,38.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,2.0,3.0,10.0,-24.0,11/02/2022,Milwaukee Bucks,24.5
Jaden Ivey,30:15,3.0,11.0,27.3,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,2.0,0.0,7.0,-13.0,11/02/2022,Milwaukee Bucks,18.5
Hamidou Diallo,11:23,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,4.0,-8.0,11/02/2022,Milwaukee Bucks,6.0
Nerlens Noel,13:15,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,-7.0,11/02/2022,Milwaukee Bucks,9.25
Killian Hayes,22:29,1.0,5.0,20.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,-3.0,11/02/2022,Milwaukee Bucks,9.5
Isaiah Livers,16:42,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,-8.0,11/02/2022,Milwaukee Bucks,8.25
Cory Joseph,10:28,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,-6.0,11/02/2022,Milwaukee Bucks,13.5
Kevin Knox II,5:04,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,11/02/2022,Milwaukee Bucks,4.0
Braxton Key,2:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11/02/2022,Milwaukee Bucks,1.25
Rodney McGruder,1:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,11/02/2022,Milwaukee Bucks,0.0
