,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Andrew Wiggins,30:41,5.0,9.0,55.6,2.0,3.0,66.7,1.0,3.0,33.3,2.0,6.0,8.0,2.0,1.0,1.0,1.0,2.0,13.0,24.0,04/18/2022,30.5
Draymond Green,29:39,2.0,5.0,40.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,3.0,3.0,6.0,2.0,1.0,1.0,4.0,6.0,20.0,04/18/2022,24.75
Kevon Looney,11:20,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,04/18/2022,2.75
Klay Thompson,35:49,9.0,19.0,47.4,3.0,8.0,37.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,21.0,13.0,04/18/2022,28.5
Jordan Poole,33:41,10.0,16.0,62.5,5.0,10.0,50.0,4.0,4.0,100.0,0.0,5.0,5.0,8.0,2.0,1.0,2.0,2.0,29.0,7.0,04/18/2022,54.75
Otto Porter Jr.,22:28,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,3.0,4.0,04/18/2022,13.5
Stephen Curry,22:57,12.0,17.0,70.6,5.0,10.0,50.0,5.0,7.0,71.4,0.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,34.0,32.0,04/18/2022,49.25
Nemanja Bjelica,16:20,5.0,6.0,83.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,10.0,3.0,04/18/2022,16.0
Gary Payton II,17:60,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,4.0,5.0,1.0,1.0,2.0,0.0,1.0,3.0,7.0,04/18/2022,16.75
Juan Toscano-Anderson,4:46,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,-3.0,04/18/2022,7.75
Damion Lee,4:46,1.0,2.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-3.0,04/18/2022,4.0
Moses Moody,4:46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,04/18/2022,0.75
Jonathan Kuminga,4:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-3.0,04/18/2022,1.0
