,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Andrew Wiggins,34:39,8.0,12.0,66.7,4.0,7.0,57.1,1.0,2.0,50.0,1.0,3.0,4.0,5.0,0.0,2.0,1.0,3.0,21.0,8.0,11/01/2022,Miami Heat,39.0
Draymond Green,32:11,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,0.0,1.0,4.0,5.0,7.0,11/01/2022,Miami Heat,23.0
Kevon Looney,23:50,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,4.0,11.0,11/01/2022,Miami Heat,12.75
Klay Thompson,30:37,7.0,19.0,36.8,4.0,12.0,33.3,1.0,1.0,100.0,0.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,19.0,6.0,11/01/2022,Miami Heat,29.75
Stephen Curry,34:29,7.0,14.0,50.0,4.0,10.0,40.0,5.0,5.0,100.0,4.0,9.0,13.0,13.0,1.0,0.0,5.0,3.0,23.0,3.0,11/01/2022,Miami Heat,60.25
Jordan Poole,28:54,3.0,10.0,30.0,1.0,7.0,14.3,2.0,4.0,50.0,0.0,2.0,2.0,2.0,0.0,0.0,5.0,2.0,9.0,-23.0,11/01/2022,Miami Heat,12.5
James Wiseman,9:27,2.0,4.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,-9.0,11/01/2022,Miami Heat,6.5
JaMychal Green,17:41,4.0,11.0,36.4,0.0,2.0,0.0,1.0,1.0,100.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,9.0,-22.0,11/01/2022,Miami Heat,25.25
Moses Moody,14:45,2.0,5.0,40.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,6.0,-8.0,11/01/2022,Miami Heat,11.0
Ty Jerome,13:27,2.0,4.0,50.0,2.0,4.0,50.0,2.0,2.0,100.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,-8.0,11/01/2022,Miami Heat,11.75
