,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
De'Andre Hunter,17:07,4.0,5.0,80.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,9.0,9.0,01/26/2022,Sacramento Kings,10.25
John Collins,24:44,4.0,8.0,50.0,0.0,4.0,0.0,1.0,1.0,100.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,1.0,9.0,1.0,01/26/2022,Sacramento Kings,20.5
Clint Capela,20:46,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,1.0,1.0,1.0,0.0,1.0,8.0,7.0,01/26/2022,Sacramento Kings,23.5
Kevin Huerter,18:49,4.0,8.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,8.0,9.0,01/26/2022,Sacramento Kings,13.25
Trae Young,24:44,7.0,18.0,38.9,3.0,8.0,37.5,0.0,0.0,0.0,1.0,2.0,3.0,10.0,4.0,0.0,4.0,0.0,17.0,1.0,01/26/2022,Sacramento Kings,43.25
Delon Wright,28:18,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,12.0,01/26/2022,Sacramento Kings,12.0
Danilo Gallinari,23:28,3.0,9.0,33.3,1.0,5.0,20.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,01/26/2022,Sacramento Kings,18.75
Bogdan Bogdanovic,23:24,6.0,11.0,54.5,3.0,8.0,37.5,3.0,4.0,75.0,0.0,3.0,3.0,7.0,1.0,0.0,1.0,3.0,18.0,16.0,01/26/2022,Sacramento Kings,35.25
Onyeka Okongwu,19:30,6.0,9.0,66.7,0.0,0.0,0.0,6.0,7.0,85.7,2.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,18.0,22.0,01/26/2022,Sacramento Kings,31.25
Lou Williams,19:16,5.0,7.0,71.4,3.0,3.0,100.0,2.0,2.0,100.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,15.0,20.0,01/26/2022,Sacramento Kings,25.25
Skylar Mays,4:36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-6.0,01/26/2022,Sacramento Kings,3.75
Timothe Luwawu-Cabarrot,4:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,01/26/2022,Sacramento Kings,0.0
Kevin Knox II,3:46,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.0,01/26/2022,Sacramento Kings,2.75
Jalen Johnson,3:46,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,-6.0,01/26/2022,Sacramento Kings,5.5
Gorgui Dieng,3:46,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,01/26/2022,Sacramento Kings,3.25
