,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Jayson Tatum,41:28,14.0,28.0,50.0,6.0,12.0,50.0,7.0,7.0,100.0,1.0,6.0,7.0,8.0,0.0,1.0,2.0,3.0,41.0,22.0,10/25/2021,Charlotte Hornets,65.75
Jaylen Brown,37:59,12.0,20.0,60.0,3.0,7.0,42.9,3.0,4.0,75.0,3.0,6.0,9.0,3.0,3.0,1.0,3.0,3.0,30.0,12.0,10/25/2021,Charlotte Hornets,53.75
Robert Williams III,35:59,5.0,7.0,71.4,0.0,0.0,0.0,2.0,4.0,50.0,6.0,10.0,16.0,4.0,0.0,3.0,2.0,5.0,12.0,8.0,10/25/2021,Charlotte Hornets,43.0
Marcus Smart,38:28,3.0,12.0,25.0,1.0,9.0,11.1,0.0,0.0,0.0,0.0,4.0,4.0,5.0,3.0,1.0,2.0,1.0,7.0,13.0,10/25/2021,Charlotte Hornets,27.0
Dennis Schroder,36:08,6.0,14.0,42.9,4.0,9.0,44.4,7.0,8.0,87.5,0.0,6.0,6.0,8.0,0.0,1.0,1.0,3.0,23.0,12.0,10/25/2021,Charlotte Hornets,46.0
Grant Williams,24:57,3.0,6.0,50.0,1.0,4.0,25.0,2.0,2.0,100.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,9.0,-5.0,10/25/2021,Charlotte Hornets,17.75
Josh Richardson,14:49,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,-2.0,10/25/2021,Charlotte Hornets,3.5
Jabari Parker,17:01,5.0,8.0,62.5,3.0,4.0,75.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,13.0,3.0,10/25/2021,Charlotte Hornets,22.75
Payton Pritchard,13:50,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,-5.0,10/25/2021,Charlotte Hornets,8.5
Juancho Hernangomez,4:21,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,-3.0,10/25/2021,Charlotte Hornets,5.25
