,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Bruce Brown,25:52,4.0,6.0,66.7,1.0,1.0,100.0,2.0,4.0,50.0,1.0,4.0,5.0,0.0,2.0,0.0,1.0,2.0,11.0,-23.0,02/12/2022,Miami Heat,21.25
Kessler Edwards,29:29,5.0,13.0,38.5,1.0,7.0,14.3,2.0,2.0,100.0,0.0,5.0,5.0,0.0,3.0,1.0,0.0,5.0,13.0,-1.0,02/12/2022,Miami Heat,27.75
Blake Griffin,20:53,3.0,8.0,37.5,1.0,3.0,33.3,1.0,2.0,50.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,8.0,-27.0,02/12/2022,Miami Heat,15.0
Patty Mills,34:30,3.0,11.0,27.3,3.0,9.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,9.0,1.0,02/12/2022,Miami Heat,17.5
Kyrie Irving,41:13,10.0,22.0,45.5,3.0,8.0,37.5,6.0,6.0,100.0,0.0,5.0,5.0,5.0,2.0,1.0,2.0,3.0,29.0,-5.0,02/12/2022,Miami Heat,49.25
James Johnson,15:29,4.0,7.0,57.1,1.0,3.0,33.3,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,9.0,-4.0,02/12/2022,Miami Heat,13.0
David Duke Jr.,6:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,02/12/2022,Miami Heat,3.25
Day'Ron Sharpe,27:05,5.0,6.0,83.3,0.0,0.0,0.0,0.0,3.0,0.0,5.0,7.0,12.0,3.0,1.0,0.0,1.0,5.0,10.0,24.0,02/12/2022,Miami Heat,31.0
Cam Thomas,32:28,8.0,18.0,44.4,2.0,7.0,28.6,4.0,4.0,100.0,0.0,4.0,4.0,4.0,1.0,0.0,1.0,4.0,22.0,11.0,02/12/2022,Miami Heat,35.5
Jevon Carter,6:47,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,02/12/2022,Miami Heat,2.75
