,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Cody Martin,28:34,3.0,5.0,60.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,3.0,7.0,-19.0,01/23/2022,Atlanta Hawks,18.25
Miles Bridges,34:11,8.0,13.0,61.5,0.0,4.0,0.0,3.0,4.0,75.0,0.0,6.0,6.0,0.0,0.0,1.0,3.0,3.0,19.0,-17.0,01/23/2022,Atlanta Hawks,27.0
Mason Plumlee,19:24,3.0,5.0,60.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,11.0,2.0,0.0,1.0,1.0,3.0,6.0,-11.0,01/23/2022,Atlanta Hawks,24.25
Terry Rozier,29:43,2.0,14.0,14.3,0.0,6.0,0.0,3.0,5.0,60.0,1.0,4.0,5.0,7.0,3.0,0.0,1.0,2.0,7.0,-5.0,01/23/2022,Atlanta Hawks,29.25
LaMelo Ball,33:58,6.0,17.0,35.3,0.0,8.0,0.0,7.0,7.0,100.0,1.0,5.0,6.0,4.0,0.0,1.0,4.0,4.0,19.0,-18.0,01/23/2022,Atlanta Hawks,32.5
P.J. Washington,31:13,4.0,7.0,57.1,2.0,4.0,50.0,2.0,2.0,100.0,1.0,6.0,7.0,4.0,0.0,2.0,3.0,2.0,12.0,-5.0,01/23/2022,Atlanta Hawks,30.25
Kelly Oubre Jr.,22:49,5.0,13.0,38.5,1.0,9.0,11.1,1.0,2.0,50.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,12.0,-9.0,01/23/2022,Atlanta Hawks,18.25
Ish Smith,13:30,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,1.0,0.0,1.0,2.0,0.0,7.0,01/23/2022,Atlanta Hawks,12.0
James Bouknight,17:02,3.0,8.0,37.5,0.0,4.0,0.0,3.0,3.0,100.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,9.0,-9.0,01/23/2022,Atlanta Hawks,15.5
Kai Jones,2:24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,01/23/2022,Atlanta Hawks,0.0
Vernon Carey Jr.,2:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,01/23/2022,Atlanta Hawks,2.5
Nick Richards,2:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,01/23/2022,Atlanta Hawks,1.25
JT Thor,2:24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,01/23/2022,Atlanta Hawks,0.0
