,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Alex Caruso,37:36,3.0,9.0,33.3,1.0,4.0,25.0,5.0,6.0,83.3,4.0,6.0,10.0,9.0,2.0,2.0,1.0,4.0,12.0,5.0,11/17/2021,Portland Trail Blazers,46.0
DeMar DeRozan,36:26,7.0,19.0,36.8,1.0,5.0,20.0,7.0,8.0,87.5,1.0,3.0,4.0,5.0,1.0,2.0,5.0,3.0,22.0,6.0,11/17/2021,Portland Trail Blazers,38.5
Tony Bradley,21:19,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,3.0,6.0,-3.0,11/17/2021,Portland Trail Blazers,12.5
Zach LaVine,37:22,11.0,20.0,55.0,7.0,12.0,58.3,1.0,2.0,50.0,0.0,6.0,6.0,2.0,0.0,1.0,4.0,0.0,30.0,-10.0,11/17/2021,Portland Trail Blazers,44.0
Lonzo Ball,37:22,7.0,13.0,53.8,3.0,5.0,60.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,5.0,17.0,-10.0,11/17/2021,Portland Trail Blazers,37.0
Ayo Dosunmu,17:02,3.0,3.0,100.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,-9.0,11/17/2021,Portland Trail Blazers,13.0
Javonte Green,20:12,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,-1.0,11/17/2021,Portland Trail Blazers,8.75
Derrick Jones Jr.,20:18,3.0,7.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,6.0,7.0,11/17/2021,Portland Trail Blazers,14.25
Coby White,10:29,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,11/17/2021,Portland Trail Blazers,2.75
Alize Johnson,1:54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-7.0,11/17/2021,Portland Trail Blazers,0.75
