,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Isaac Okoro,32:02,5.0,7.0,71.4,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,11.0,-15.0,02/02/2022,Houston Rockets,19.5
Evan Mobley,36:20,12.0,20.0,60.0,0.0,1.0,0.0,5.0,9.0,55.6,5.0,7.0,12.0,2.0,1.0,0.0,4.0,4.0,29.0,-9.0,02/02/2022,Houston Rockets,47.0
Jarrett Allen,23:15,5.0,7.0,71.4,0.0,0.0,0.0,1.0,4.0,25.0,3.0,3.0,6.0,2.0,0.0,1.0,2.0,3.0,11.0,-3.0,02/02/2022,Houston Rockets,22.5
Brandon Goodwin,32:26,2.0,6.0,33.3,1.0,3.0,33.3,2.0,2.0,100.0,0.0,7.0,7.0,8.0,1.0,0.0,1.0,1.0,7.0,4.0,02/02/2022,Houston Rockets,29.75
Cedi Osman,35:27,5.0,12.0,41.7,3.0,6.0,50.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,13.0,-11.0,02/02/2022,Houston Rockets,17.75
Kevin Love,29:05,8.0,20.0,40.0,1.0,7.0,14.3,4.0,5.0,80.0,3.0,10.0,13.0,3.0,0.0,1.0,1.0,1.0,21.0,-11.0,02/02/2022,Houston Rockets,43.75
Rajon Rondo,15:24,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,4.0,5.0,1.0,0.0,3.0,2.0,2.0,-9.0,02/02/2022,Houston Rockets,15.0
Lamar Stevens,16:24,3.0,5.0,60.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,7.0,4.0,02/02/2022,Houston Rockets,9.0
Dean Wade,13:12,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,-8.0,02/02/2022,Houston Rockets,10.25
Ed Davis,4:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-1.0,02/02/2022,Houston Rockets,-1.0
Kevin Pangos,1:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02/02/2022,Houston Rockets,0.0
Dylan Windler,1:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02/02/2022,Houston Rockets,0.0
