,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Dorian Finney-Smith,18:16,4.0,5.0,80.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,5.0,10.0,12.0,01/03/2022,Denver Nuggets,16.5
Maxi Kleber,30:37,3.0,7.0,42.9,2.0,6.0,33.3,2.0,2.0,100.0,2.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0,10.0,6.0,01/03/2022,Denver Nuggets,26.25
Dwight Powell,26:38,5.0,6.0,83.3,1.0,1.0,100.0,4.0,4.0,100.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,15.0,15.0,01/03/2022,Denver Nuggets,21.25
Jalen Brunson,33:48,4.0,14.0,28.6,2.0,4.0,50.0,3.0,3.0,100.0,0.0,3.0,3.0,4.0,2.0,0.0,2.0,1.0,13.0,10.0,01/03/2022,Denver Nuggets,26.75
Luka Doncic,33:54,7.0,18.0,38.9,1.0,6.0,16.7,6.0,8.0,75.0,0.0,8.0,8.0,15.0,4.0,0.0,3.0,5.0,21.0,25.0,01/03/2022,Denver Nuggets,60.5
Marquese Chriss,15:54,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,-3.0,01/03/2022,Denver Nuggets,4.0
Tim Hardaway Jr.,21:57,2.0,8.0,25.0,1.0,4.0,25.0,1.0,1.0,100.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,6.0,-7.0,01/03/2022,Denver Nuggets,13.75
Reggie Bullock,28:54,5.0,11.0,45.5,4.0,8.0,50.0,1.0,1.0,100.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,15.0,11.0,01/03/2022,Denver Nuggets,23.0
Sterling Brown,10:08,1.0,2.0,50.0,1.0,2.0,50.0,2.0,2.0,100.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,01/03/2022,Denver Nuggets,8.25
Josh Green,16:42,3.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,-1.0,01/03/2022,Denver Nuggets,6.25
Theo Pinson,1:36,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,01/03/2022,Denver Nuggets,0.0
Frank Ntilikina,1:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,01/03/2022,Denver Nuggets,1.5
