,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Aaron Gordon,30:05,5.0,14.0,35.7,0.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,10.0,5.0,0.0,1.0,1.0,2.0,10.0,2.0,02/16/2022,Golden State Warriors,31.5
Jeff Green,18:09,2.0,4.0,50.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,-10.0,02/16/2022,Golden State Warriors,5.25
Nikola Jokic,34:21,13.0,24.0,54.2,3.0,5.0,60.0,6.0,9.0,66.7,5.0,12.0,17.0,8.0,1.0,0.0,5.0,3.0,35.0,6.0,02/16/2022,Golden State Warriors,69.25
Will Barton,20:36,1.0,6.0,16.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,-11.0,02/16/2022,Golden State Warriors,6.25
Monte Morris,31:28,4.0,6.0,66.7,2.0,4.0,50.0,3.0,3.0,100.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,2.0,13.0,5.0,02/16/2022,Golden State Warriors,27.5
Austin Rivers,27:46,4.0,5.0,80.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,10.0,10.0,02/16/2022,Golden State Warriors,18.0
Bryn Forbes,29:51,8.0,12.0,66.7,4.0,7.0,57.1,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,22.0,11.0,02/16/2022,Golden State Warriors,25.5
Bones Hyland,16:32,2.0,11.0,18.2,1.0,5.0,20.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,2.0,5.0,-4.0,02/16/2022,Golden State Warriors,15.0
JaMychal Green,17:57,2.0,5.0,40.0,1.0,3.0,33.3,4.0,4.0,100.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,9.0,-2.0,02/16/2022,Golden State Warriors,14.0
DeMarcus Cousins,13:15,2.0,4.0,50.0,1.0,1.0,100.0,1.0,2.0,50.0,3.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,6.0,-2.0,02/16/2022,Golden State Warriors,15.25
