,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Saddiq Bey,32:55,8.0,21.0,38.1,3.0,11.0,27.3,2.0,4.0,50.0,6.0,7.0,13.0,8.0,1.0,0.0,1.0,2.0,21.0,-3.0,02/03/2022,Minnesota Timberwolves,52.25
Jerami Grant,31:31,7.0,16.0,43.8,3.0,8.0,37.5,3.0,5.0,60.0,0.0,5.0,5.0,1.0,0.0,2.0,3.0,2.0,20.0,-4.0,02/03/2022,Minnesota Timberwolves,31.75
Isaiah Stewart,31:59,5.0,9.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,13.0,1.0,0.0,0.0,1.0,2.0,10.0,4.0,02/03/2022,Minnesota Timberwolves,27.25
Rodney McGruder,17:22,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,6.0,-2.0,02/03/2022,Minnesota Timberwolves,11.25
Cory Joseph,30:56,2.0,6.0,33.3,1.0,4.0,25.0,2.0,2.0,100.0,0.0,4.0,4.0,6.0,0.0,1.0,3.0,5.0,7.0,1.0,02/03/2022,Minnesota Timberwolves,22.0
Frank Jackson,27:14,8.0,14.0,57.1,5.0,11.0,45.5,4.0,5.0,80.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,25.0,-9.0,02/03/2022,Minnesota Timberwolves,35.25
Kelly Olynyk,14:48,2.0,8.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,-11.0,02/03/2022,Minnesota Timberwolves,13.0
Trey Lyles,18:01,4.0,6.0,66.7,1.0,2.0,50.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,-10.0,02/03/2022,Minnesota Timberwolves,12.5
Hamidou Diallo,15:05,1.0,3.0,33.3,0.0,1.0,0.0,7.0,8.0,87.5,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,9.0,-8.0,02/03/2022,Minnesota Timberwolves,14.75
Killian Hayes,20:09,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,2.0,-13.0,02/03/2022,Minnesota Timberwolves,11.75
