,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Andrew Wiggins,32:31,7.0,13.0,53.8,2.0,5.0,40.0,1.0,4.0,25.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,17.0,-9.0,01/05/2022,Dallas Mavericks,30.75
Draymond Green,31:48,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,1.0,5.0,2.0,2.0,-3.0,01/05/2022,Dallas Mavericks,15.25
Kevon Looney,21:28,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,2.0,1.0,2.0,6.0,5.0,01/05/2022,Dallas Mavericks,17.0
Gary Payton II,24:14,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,9.0,11.0,3.0,2.0,0.0,1.0,2.0,11.0,7.0,01/05/2022,Dallas Mavericks,33.25
Stephen Curry,36:04,5.0,24.0,20.8,1.0,9.0,11.1,3.0,4.0,75.0,0.0,9.0,9.0,5.0,0.0,1.0,5.0,2.0,14.0,0.0,01/05/2022,Dallas Mavericks,32.75
Jordan Poole,23:60,3.0,8.0,37.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,6.0,-21.0,01/05/2022,Dallas Mavericks,12.0
Juan Toscano-Anderson,19:42,4.0,7.0,57.1,0.0,2.0,0.0,1.0,2.0,50.0,1.0,4.0,5.0,2.0,2.0,0.0,0.0,3.0,9.0,-15.0,01/05/2022,Dallas Mavericks,22.25
Damion Lee,18:45,2.0,5.0,40.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,7.0,-14.0,01/05/2022,Dallas Mavericks,12.0
Jonathan Kuminga,12:22,0.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,-13.0,01/05/2022,Dallas Mavericks,6.0
Nemanja Bjelica,14:29,2.0,5.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,-10.0,01/05/2022,Dallas Mavericks,10.75
Quinndary Weatherspoon,1:33,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0,01/05/2022,Dallas Mavericks,2.0
Moses Moody,1:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,01/05/2022,Dallas Mavericks,0.0
Chris Chiozza,1:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,01/05/2022,Dallas Mavericks,0.0
