,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Jae'Sean Tate,28:15,5.0,10.0,50.0,0.0,2.0,0.0,1.0,2.0,50.0,0.0,5.0,5.0,4.0,3.0,0.0,3.0,4.0,11.0,-1.0,12/18/2021,Detroit Pistons,27.75
Josh Christopher,27:46,4.0,6.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,4.0,4.0,7.0,1.0,0.0,5.0,1.0,10.0,-3.0,12/18/2021,Detroit Pistons,26.0
Christian Wood,30:12,9.0,19.0,47.4,2.0,6.0,33.3,1.0,2.0,50.0,3.0,5.0,8.0,1.0,1.0,1.0,2.0,3.0,21.0,15.0,12/18/2021,Detroit Pistons,36.5
Garrison Mathews,35:45,6.0,12.0,50.0,4.0,9.0,44.4,0.0,0.0,0.0,0.0,5.0,5.0,2.0,3.0,1.0,2.0,1.0,16.0,10.0,12/18/2021,Detroit Pistons,34.25
Eric Gordon,28:15,7.0,11.0,63.6,3.0,4.0,75.0,1.0,2.0,50.0,0.0,1.0,1.0,5.0,2.0,0.0,2.0,0.0,18.0,5.0,12/18/2021,Detroit Pistons,31.25
Alperen Sengun,22:06,3.0,8.0,37.5,0.0,2.0,0.0,3.0,3.0,100.0,4.0,1.0,5.0,4.0,0.0,2.0,1.0,4.0,9.0,13.0,12/18/2021,Detroit Pistons,24.75
Kenyon Martin Jr.,27:45,4.0,7.0,57.1,1.0,2.0,50.0,1.0,2.0,50.0,3.0,8.0,11.0,1.0,1.0,0.0,1.0,2.0,10.0,9.0,12/18/2021,Detroit Pistons,27.25
David Nwaba,17:25,5.0,9.0,55.6,1.0,3.0,33.3,2.0,4.0,50.0,2.0,5.0,7.0,1.0,1.0,1.0,0.0,2.0,13.0,2.0,12/18/2021,Detroit Pistons,27.75
D.J. Augustin,16:59,3.0,9.0,33.3,1.0,5.0,20.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,8.0,13.0,12/18/2021,Detroit Pistons,17.75
Trevelin Queen,2:46,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,12/18/2021,Detroit Pistons,0.0
Usman Garuba,2:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-9.0,12/18/2021,Detroit Pistons,-0.5
