,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Chris Duarte,26:12,4.0,7.0,57.1,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,9.0,-1.0,11/05/2021,Portland Trail Blazers,20.75
Domantas Sabonis,35:34,7.0,12.0,58.3,0.0,4.0,0.0,1.0,4.0,25.0,1.0,11.0,12.0,4.0,0.0,0.0,6.0,4.0,15.0,-5.0,11/05/2021,Portland Trail Blazers,33.0
Myles Turner,30:43,5.0,10.0,50.0,3.0,7.0,42.9,3.0,4.0,75.0,0.0,6.0,6.0,2.0,0.0,1.0,1.0,2.0,16.0,-8.0,11/05/2021,Portland Trail Blazers,29.5
Caris LeVert,33:52,6.0,21.0,28.6,0.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,6.0,1.0,0.0,0.0,3.0,12.0,-5.0,11/05/2021,Portland Trail Blazers,28.0
T.J. McConnell,32:58,8.0,13.0,61.5,3.0,4.0,75.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,2.0,1.0,2.0,2.0,19.0,-5.0,11/05/2021,Portland Trail Blazers,37.25
Justin Holiday,30:12,4.0,9.0,44.4,4.0,7.0,57.1,0.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0,2.0,12.0,-2.0,11/05/2021,Portland Trail Blazers,25.5
Torrey Craig,16:57,3.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,6.0,4.0,11/05/2021,Portland Trail Blazers,12.5
Brad Wanamaker,17:05,2.0,5.0,40.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,2.0,5.0,-4.0,11/05/2021,Portland Trail Blazers,15.25
Kelan Martin,12:48,3.0,5.0,60.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,5.0,11/05/2021,Portland Trail Blazers,12.5
Goga Bitadze,3:39,1.0,2.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,11/05/2021,Portland Trail Blazers,5.25
